,pageviews
2007-12-10,1536.0
2007-12-17,8044.0
2007-12-24,5329.0
2007-12-31,3721.0
2008-01-07,6534.0
2008-01-14,8155.0
2008-01-21,8269.0
2008-01-28,9462.0
2008-02-04,9830.0
2008-02-11,9890.0
2008-02-18,10254.0
2008-02-25,11195.0
2008-03-03,6531.0
2008-03-10,9708.0
2008-03-17,11720.0
2008-03-24,9294.0
2008-03-31,11003.0
2008-04-07,12301.0
2008-04-14,8209.0
2008-04-21,12375.0
2008-04-28,13134.0
2008-05-05,12880.0
2008-05-12,13632.0
2008-05-19,14729.0
2008-05-26,12780.0
2008-06-02,10179.0
2008-06-09,12737.0
2008-06-16,11981.0
2008-06-23,10279.0
2008-06-30,8799.0
2008-07-07,6440.0
2008-07-14,5780.0
2008-07-21,
2008-07-28,
2008-08-04,4126.0
2008-08-11,7964.0
2008-08-18,7522.0
2008-08-25,8835.0
2008-09-01,10146.0
2008-09-08,12393.0
2008-09-15,12438.0
2008-09-22,12305.0
2008-09-29,11821.0
2008-10-06,11603.0
2008-10-13,12423.0
2008-10-20,12643.0
2008-10-27,8353.0
2008-11-03,12511.0
2008-11-10,12500.0
2008-11-17,13947.0
2008-11-24,12548.0
2008-12-01,10406.0
2008-12-08,12729.0
2008-12-15,12046.0
2008-12-22,9314.0
2008-12-29,5606.0
2009-01-05,7752.0
2009-01-12,10894.0
2009-01-19,11936.0
2009-01-26,12720.0
2009-02-02,13343.0
2009-02-09,13278.0
2009-02-16,13158.0
2009-02-23,14479.0
2009-03-02,15300.0
2009-03-09,14501.0
2009-03-16,14250.0
2009-03-23,13594.0
2009-03-30,13677.0
2009-04-06,13718.0
2009-04-13,12430.0
2009-04-20,13633.0
2009-04-27,14373.0
2009-05-04,14059.0
2009-05-11,14304.0
2009-05-18,16794.0
2009-05-25,14167.0
2009-06-01,14427.0
2009-06-08,13350.0
2009-06-15,12156.0
2009-06-22,11265.0
2009-06-29,8849.0
2009-07-06,8586.0
2009-07-13,8910.0
2009-07-20,9324.0
2009-07-27,9294.0
2009-08-03,9353.0
2009-08-10,9625.0
2009-08-17,10074.0
2009-08-24,10084.0
2009-08-31,12060.0
2009-09-07,12715.0
