,pageviews
2007-12-10,74.0
2007-12-17,393.0
2007-12-24,338.0
2007-12-31,305.0
2008-01-07,461.0
2008-01-14,427.0
2008-01-21,441.0
2008-01-28,832.0
2008-02-04,394.0
2008-02-11,506.0
2008-02-18,474.0
2008-02-25,477.0
2008-03-03,291.0
2008-03-10,430.0
2008-03-17,478.0
2008-03-24,445.0
2008-03-31,431.0
2008-04-07,466.0
2008-04-14,431.0
2008-04-21,437.0
2008-04-28,488.0
2008-05-05,483.0
2008-05-12,513.0
2008-05-19,607.0
2008-05-26,490.0
2008-06-02,383.0
2008-06-09,550.0
2008-06-16,474.0
2008-06-23,542.0
2008-06-30,450.0
2008-07-07,334.0
2008-07-14,272.0
2008-07-21,
2008-07-28,
2008-08-04,240.0
2008-08-11,432.0
2008-08-18,393.0
2008-08-25,412.0
2008-09-01,359.0
2008-09-08,439.0
2008-09-15,412.0
2008-09-22,449.0
2008-09-29,485.0
2008-10-06,417.0
2008-10-13,486.0
2008-10-20,437.0
2008-10-27,1000.0
2008-11-03,597.0
2008-11-10,417.0
2008-11-17,496.0
2008-11-24,477.0
2008-12-01,471.0
2008-12-08,474.0
2008-12-15,388.0
2008-12-22,332.0
2008-12-29,318.0
2009-01-05,349.0
2009-01-12,363.0
2009-01-19,412.0
2009-01-26,443.0
2009-02-02,408.0
2009-02-09,465.0
2009-02-16,396.0
2009-02-23,445.0
2009-03-02,458.0
2009-03-09,444.0
2009-03-16,497.0
2009-03-23,506.0
2009-03-30,417.0
2009-04-06,461.0
2009-04-13,496.0
2009-04-20,468.0
2009-04-27,448.0
2009-05-04,422.0
2009-05-11,706.0
2009-05-18,480.0
2009-05-25,487.0
2009-06-01,462.0
2009-06-08,502.0
2009-06-15,420.0
2009-06-22,415.0
2009-06-29,424.0
2009-07-06,431.0
2009-07-13,397.0
2009-07-20,433.0
2009-07-27,433.0
2009-08-03,485.0
2009-08-10,469.0
2009-08-17,443.0
2009-08-24,473.0
2009-08-31,485.0
2009-09-07,488.0
2009-09-14,550.0
2009-09-21,432.0
2009-09-28,215.0
2009-10-05,529.0
2009-10-12,506.0
2009-10-19,253.0
2009-10-26,463.0
2009-11-02,461.0
2009-11-09,575.0
2009-11-16,448.0
2009-11-23,445.0
2009-11-30,408.0
2009-12-07,424.0
2009-12-14,392.0
2009-12-21,417.0
2009-12-28,369.0
2010-01-04,420.0
2010-01-11,339.0
2010-01-18,396.0
2010-01-25,327.0
2010-02-01,433.0
2010-02-08,325.0
2010-02-15,398.0
2010-02-22,384.0
2010-03-01,289.0
2010-03-08,375.0
2010-03-15,438.0
2010-03-22,401.0
2010-03-29,439.0
2010-04-05,375.0
2010-04-12,410.0
2010-04-19,426.0
2010-04-26,428.0
2010-05-03,482.0
2010-05-10,478.0
2010-05-17,364.0
2010-05-24,348.0
2010-05-31,341.0
2010-06-07,344.0
2010-06-14,190.0
2010-06-21,279.0
2010-06-28,186.0
2010-07-05,249.0
2010-07-12,104.0
2010-07-19,295.0
2010-07-26,345.0
2010-08-02,326.0
2010-08-09,413.0
2010-08-16,389.0
2010-08-23,412.0
2010-08-30,469.0
2010-09-06,437.0
2010-09-13,452.0
2010-09-20,516.0
2010-09-27,487.0
2010-10-04,564.0
2010-10-11,459.0
2010-10-18,474.0
2010-10-25,508.0
2010-11-01,505.0
2010-11-08,535.0
2010-11-15,564.0
2010-11-22,492.0
2010-11-29,422.0
2010-12-06,485.0
2010-12-13,482.0
2010-12-20,445.0
2010-12-27,335.0
2011-01-03,363.0
2011-01-10,440.0
2011-01-17,479.0
2011-01-24,443.0
2011-01-31,458.0
2011-02-07,508.0
2011-02-14,402.0
2011-02-21,378.0
2011-02-28,415.0
2011-03-07,439.0
2011-03-14,408.0
2011-03-21,402.0
2011-03-28,433.0
2011-04-04,436.0
2011-04-11,396.0
2011-04-18,367.0
2011-04-25,404.0
2011-05-02,491.0
2011-05-09,472.0
2011-05-16,415.0
2011-05-23,355.0
2011-05-30,1719.0
2011-06-06,2625.0
2011-06-13,418.0
2011-06-20,608.0
2011-06-27,360.0
2011-07-04,293.0
2011-07-11,371.0
2011-07-18,351.0
2011-07-25,422.0
2011-08-01,377.0
2011-08-08,374.0
2011-08-15,403.0
2011-08-22,310.0
2011-08-29,348.0
2011-09-05,288.0
2011-09-12,350.0
2011-09-19,322.0
2011-09-26,427.0
2011-10-03,454.0
2011-10-10,397.0
2011-10-17,399.0
2011-10-24,408.0
2011-10-31,441.0
2011-11-07,412.0
2011-11-14,485.0
2011-11-21,473.0
2011-11-28,465.0
2011-12-05,489.0
2011-12-12,537.0
2011-12-19,418.0
2011-12-26,176.0
2012-01-02,404.0
2012-01-09,520.0
2012-01-16,440.0
2012-01-23,398.0
2012-01-30,409.0
2012-02-06,459.0
2012-02-13,517.0
2012-02-20,443.0
2012-02-27,468.0
2012-03-05,464.0
2012-03-12,495.0
2012-03-19,462.0
2012-03-26,398.0
2012-04-02,405.0
2012-04-09,345.0
2012-04-16,443.0
2012-04-23,385.0
2012-04-30,388.0
2012-05-07,493.0
2012-05-14,527.0
2012-05-21,490.0
2012-05-28,463.0
2012-06-04,426.0
2012-06-11,455.0
2012-06-18,429.0
2012-06-25,449.0
2012-07-02,414.0
2012-07-09,419.0
2012-07-16,390.0
2012-07-23,458.0
2012-07-30,465.0
2012-08-06,406.0
2012-08-13,372.0
2012-08-20,418.0
2012-08-27,386.0
2012-09-03,425.0
2012-09-10,595.0
2012-09-17,607.0
2012-09-24,512.0
2012-10-01,631.0
2012-10-08,565.0
2012-10-15,548.0
2012-10-22,530.0
2012-10-29,562.0
2012-11-05,653.0
2012-11-12,590.0
2012-11-19,496.0
2012-11-26,512.0
2012-12-03,700.0
2012-12-10,709.0
2012-12-17,564.0
2012-12-24,406.0
2012-12-31,374.0
2013-01-07,502.0
2013-01-14,678.0
2013-01-21,808.0
2013-01-28,540.0
2013-02-04,773.0
2013-02-11,510.0
2013-02-18,444.0
2013-02-25,556.0
2013-03-04,585.0
2013-03-11,640.0
2013-03-18,548.0
2013-03-25,648.0
2013-04-01,517.0
2013-04-08,1717.0
2013-04-15,968.0
2013-04-22,683.0
2013-04-29,744.0
2013-05-06,757.0
2013-05-13,651.0
2013-05-20,630.0
2013-05-27,752.0
2013-06-03,652.0
2013-06-10,567.0
2013-06-17,540.0
2013-06-24,536.0
2013-07-01,576.0
2013-07-08,510.0
2013-07-15,534.0
2013-07-22,481.0
2013-07-29,392.0
2013-08-05,478.0
2013-08-12,430.0
2013-08-19,449.0
2013-08-26,492.0
2013-09-02,445.0
2013-09-09,551.0
2013-09-16,463.0
2013-09-23,492.0
2013-09-30,466.0
2013-10-07,529.0
2013-10-14,470.0
2013-10-21,565.0
2013-10-28,537.0
2013-11-04,551.0
2013-11-11,587.0
2013-11-18,576.0
2013-11-25,577.0
2013-12-02,474.0
2013-12-09,533.0
2013-12-16,491.0
2013-12-23,527.0
2013-12-30,334.0
2014-01-06,261.0
2014-01-13,509.0
2014-01-20,2109.0
2014-01-27,539.0
2014-02-03,491.0
2014-02-10,394.0
2014-02-17,423.0
2014-02-24,470.0
2014-03-03,466.0
2014-03-10,5709.0
2014-03-17,1058.0
2014-03-24,486.0
2014-03-31,523.0
2014-04-07,508.0
2014-04-14,608.0
2014-04-21,445.0
2014-04-28,396.0
2014-05-05,388.0
2014-05-12,401.0
2014-05-19,457.0
2014-05-26,411.0
2014-06-02,371.0
2014-06-09,364.0
2014-06-16,342.0
2014-06-23,432.0
2014-06-30,379.0
2014-07-07,347.0
2014-07-14,652.0
2014-07-21,504.0
2014-07-28,364.0
2014-08-04,420.0
2014-08-11,433.0
2014-08-18,537.0
2014-08-25,489.0
2014-09-01,404.0
2014-09-08,600.0
2014-09-15,647.0
2014-09-22,575.0
2014-09-29,556.0
2014-10-06,524.0
2014-10-13,528.0
2014-10-20,454.0
2014-10-27,563.0
2014-11-03,519.0
2014-11-10,595.0
2014-11-17,532.0
2014-11-24,545.0
2014-12-01,523.0
2014-12-08,553.0
2014-12-15,510.0
2014-12-22,441.0
2014-12-29,342.0
2015-01-05,363.0
2015-01-12,401.0
2015-01-19,712.0
2015-01-26,482.0
2015-02-02,503.0
2015-02-09,441.0
2015-02-16,476.0
2015-02-23,439.0
2015-03-02,457.0
2015-03-09,422.0
2015-03-16,377.0
2015-03-23,434.0
2015-03-30,126.0
