,pageviews
2007-12-10,223.0
2007-12-17,1329.0
2007-12-24,1082.0
2007-12-31,910.0
2008-01-07,1339.0
2008-01-14,1460.0
2008-01-21,1496.0
2008-01-28,1484.0
2008-02-04,1448.0
2008-02-11,1476.0
2008-02-18,1544.0
2008-02-25,1879.0
2008-03-03,987.0
2008-03-10,1420.0
2008-03-17,1983.0
2008-03-24,1852.0
2008-03-31,2057.0
2008-04-07,2446.0
2008-04-14,2878.0
2008-04-21,2075.0
2008-04-28,2013.0
2008-05-05,2031.0
2008-05-12,2268.0
2008-05-19,2355.0
2008-05-26,2178.0
2008-06-02,1518.0
2008-06-09,2077.0
2008-06-16,1024.0
2008-06-23,1628.0
2008-06-30,1606.0
2008-07-07,1306.0
2008-07-14,1053.0
2008-07-21,
2008-07-28,
2008-08-04,900.0
2008-08-11,2361.0
2008-08-18,1941.0
2008-08-25,2023.0
2008-09-01,1467.0
2008-09-08,1511.0
2008-09-15,1629.0
2008-09-22,1599.0
2008-09-29,1663.0
2008-10-06,1534.0
2008-10-13,1679.0
2008-10-20,1784.0
2008-10-27,1317.0
2008-11-03,1669.0
2008-11-10,1686.0
2008-11-17,1794.0
2008-11-24,1680.0
2008-12-01,1537.0
2008-12-08,1809.0
2008-12-15,1510.0
2008-12-22,1373.0
2008-12-29,967.0
2009-01-05,1227.0
2009-01-12,1525.0
2009-01-19,1599.0
2009-01-26,1796.0
2009-02-02,1994.0
2009-02-09,1610.0
2009-02-16,2185.0
2009-02-23,1966.0
2009-03-02,2320.0
2009-03-09,2422.0
2009-03-16,2586.0
2009-03-23,2464.0
2009-03-30,2217.0
2009-04-06,2300.0
2009-04-13,1954.0
2009-04-20,2123.0
2009-04-27,2323.0
2009-05-04,2403.0
2009-05-11,2241.0
2009-05-18,2556.0
2009-05-25,2352.0
2009-06-01,2226.0
2009-06-08,2231.0
2009-06-15,2084.0
2009-06-22,1997.0
2009-06-29,1996.0
2009-07-06,1759.0
2009-07-13,1860.0
2009-07-20,1859.0
2009-07-27,2018.0
2009-08-03,1919.0
2009-08-10,1706.0
2009-08-17,1810.0
2009-08-24,1693.0
2009-08-31,1827.0
2009-09-07,1760.0
2009-09-14,2031.0
2009-09-21,2079.0
2009-09-28,1009.0
2009-10-05,2139.0
2009-10-12,2227.0
2009-10-19,1116.0
2009-10-26,2404.0
2009-11-02,2213.0
2009-11-09,2428.0
2009-11-16,2103.0
2009-11-23,1862.0
2009-11-30,1921.0
2009-12-07,2121.0
2009-12-14,2003.0
2009-12-21,1849.0
2009-12-28,1608.0
2010-01-04,1556.0
2010-01-11,2542.0
2010-01-18,2248.0
2010-01-25,1853.0
2010-02-01,2412.0
2010-02-08,2013.0
2010-02-15,3063.0
2010-02-22,2819.0
2010-03-01,2324.0
2010-03-08,2506.0
2010-03-15,2462.0
2010-03-22,2438.0
2010-03-29,2314.0
2010-04-05,2177.0
2010-04-12,2279.0
2010-04-19,2301.0
2010-04-26,2579.0
2010-05-03,2553.0
2010-05-10,2605.0
2010-05-17,2357.0
2010-05-24,2255.0
2010-05-31,2100.0
2010-06-07,2098.0
2010-06-14,1270.0
2010-06-21,1723.0
2010-06-28,1179.0
2010-07-05,1425.0
2010-07-12,652.0
2010-07-19,1697.0
2010-07-26,1959.0
2010-08-02,2124.0
2010-08-09,2107.0
2010-08-16,2263.0
2010-08-23,2222.0
2010-08-30,2288.0
2010-09-06,2221.0
2010-09-13,2355.0
2010-09-20,2564.0
2010-09-27,2583.0
2010-10-04,2881.0
2010-10-11,2928.0
2010-10-18,2852.0
2010-10-25,2741.0
2010-11-01,2670.0
2010-11-08,2596.0
2010-11-15,2505.0
2010-11-22,2427.0
2010-11-29,2514.0
2010-12-06,2793.0
2010-12-13,2765.0
2010-12-20,2346.0
2010-12-27,1898.0
2011-01-03,1965.0
2011-01-10,2309.0
2011-01-17,2535.0
2011-01-24,2987.0
2011-01-31,2537.0
2011-02-07,2708.0
2011-02-14,2478.0
2011-02-21,2382.0
2011-02-28,2487.0
2011-03-07,2556.0
2011-03-14,2488.0
2011-03-21,2390.0
2011-03-28,2458.0
2011-04-04,2287.0
2011-04-11,2366.0
2011-04-18,2251.0
2011-04-25,2175.0
2011-05-02,2276.0
2011-05-09,2418.0
2011-05-16,2273.0
2011-05-23,2328.0
2011-05-30,4070.0
2011-06-06,5404.0
2011-06-13,1879.0
2011-06-20,1769.0
2011-06-27,1982.0
2011-07-04,1718.0
2011-07-11,1759.0
2011-07-18,1676.0
2011-07-25,1894.0
2011-08-01,1735.0
2011-08-08,1874.0
2011-08-15,1783.0
2011-08-22,1805.0
2011-08-29,1821.0
2011-09-05,1371.0
2011-09-12,1725.0
2011-09-19,1728.0
2011-09-26,1816.0
2011-10-03,2027.0
2011-10-10,2102.0
2011-10-17,2185.0
2011-10-24,1717.0
2011-10-31,2593.0
2011-11-07,2605.0
2011-11-14,2680.0
2011-11-21,2579.0
2011-11-28,2093.0
2011-12-05,2275.0
2011-12-12,2464.0
2011-12-19,1966.0
2011-12-26,1037.0
2012-01-02,1975.0
2012-01-09,2802.0
2012-01-16,2287.0
2012-01-23,2265.0
2012-01-30,2444.0
2012-02-06,2374.0
2012-02-13,2445.0
2012-02-20,2521.0
2012-02-27,2381.0
2012-03-05,2486.0
2012-03-12,2204.0
2012-03-19,2433.0
2012-03-26,2055.0
2012-04-02,1918.0
2012-04-09,1803.0
2012-04-16,1858.0
2012-04-23,2235.0
2012-04-30,1957.0
2012-05-07,2228.0
2012-05-14,3945.0
2012-05-21,3067.0
2012-05-28,2498.0
2012-06-04,2320.0
2012-06-11,2211.0
