,pageviews
2007-12-31,4798
2008-01-31,5567
2008-02-29,6250
2008-03-31,5445
2008-04-30,6954
2008-05-31,5769
2008-06-30,5889
2008-07-31,1541
2008-08-31,4070
2008-09-30,6534
2008-10-31,7407
2008-11-30,7394
2008-12-31,5836
2009-01-31,6252
2009-02-28,6688
2009-03-31,8062
2009-04-30,7462
2009-05-31,7383
2009-06-30,5522
2009-07-31,4753
2009-08-31,4886
2009-09-30,7383
2009-10-31,8285
2009-11-30,7777
2009-12-31,6354
2010-01-31,5964
2010-02-28,6981
2010-03-31,7841
2010-04-30,7926
2010-05-31,11308
2010-06-30,4377
2010-07-31,3882
2010-08-31,5878
2010-09-30,9221
2010-10-31,9574
2010-11-30,9962
2010-12-31,8435
2011-01-31,8602
2011-02-28,8174
2011-03-31,9132
2011-04-30,12193
2011-05-31,7947
2011-06-30,6431
2011-07-31,4895
2011-08-31,5249
2011-09-30,7632
2011-10-31,8945
2011-11-30,10804
2011-12-31,7781
2012-01-31,7886
2012-02-29,9105
2012-03-31,8813
2012-04-30,7707
2012-05-31,9201
2012-06-30,6988
2012-07-31,5483
2012-08-31,5540
2012-09-30,9219
2012-10-31,9895
2012-11-30,10460
2012-12-31,8334
2013-01-31,10631
2013-02-28,11368
2013-03-31,10847
2013-04-30,12083
2013-05-31,11563
2013-06-30,8059
2013-07-31,6382
2013-08-31,5677
2013-09-30,9449
2013-10-31,11221
2013-11-30,10467
2013-12-31,7665
2014-01-31,7286
2014-02-28,7071
2014-03-31,7354
2014-04-30,7279
2014-05-31,8246
2014-06-30,6847
2014-07-31,4708
2014-08-31,4370
2014-09-30,8718
2014-10-31,7802
2014-11-30,7965
2014-12-31,5892
2015-01-31,6382
2015-02-28,6594
2015-03-31,5519
