,pageviews
2007-12-10,164.0
2007-12-17,1112.0
2007-12-24,880.0
2007-12-31,554.0
2008-01-07,765.0
2008-01-14,1050.0
2008-01-21,1057.0
2008-01-28,933.0
2008-02-04,939.0
2008-02-11,1114.0
2008-02-18,1063.0
2008-02-25,1047.0
2008-03-03,690.0
2008-03-10,932.0
2008-03-17,1107.0
2008-03-24,996.0
2008-03-31,1007.0
2008-04-07,981.0
2008-04-14,966.0
2008-04-21,915.0
2008-04-28,1009.0
2008-05-05,1125.0
2008-05-12,1051.0
2008-05-19,1037.0
2008-05-26,883.0
2008-06-02,769.0
2008-06-09,1107.0
2008-06-16,1291.0
2008-06-23,1271.0
2008-06-30,1266.0
2008-07-07,692.0
2008-07-14,582.0
2008-07-21,
2008-07-28,
2008-08-04,369.0
2008-08-11,596.0
2008-08-18,713.0
2008-08-25,809.0
2008-09-01,1058.0
2008-09-08,1434.0
2008-09-15,1225.0
2008-09-22,1261.0
2008-09-29,1434.0
2008-10-06,1365.0
2008-10-13,1486.0
2008-10-20,1541.0
2008-10-27,1040.0
2008-11-03,1489.0
2008-11-10,1343.0
2008-11-17,1465.0
2008-11-24,1560.0
2008-12-01,1183.0
2008-12-08,1385.0
2008-12-15,1408.0
2008-12-22,1051.0
2008-12-29,644.0
2009-01-05,1154.0
2009-01-12,1560.0
2009-01-19,1594.0
2009-01-26,1602.0
2009-02-02,1575.0
2009-02-09,1399.0
2009-02-16,1333.0
2009-02-23,1381.0
2009-03-02,1389.0
2009-03-09,1212.0
2009-03-16,1360.0
2009-03-23,1128.0
2009-03-30,971.0
2009-04-06,1087.0
2009-04-13,1060.0
2009-04-20,1173.0
2009-04-27,1267.0
2009-05-04,1363.0
2009-05-11,1314.0
2009-05-18,1390.0
2009-05-25,1158.0
2009-06-01,1290.0
2009-06-08,1324.0
2009-06-15,1700.0
2009-06-22,1479.0
2009-06-29,1061.0
2009-07-06,924.0
2009-07-13,1030.0
2009-07-20,1026.0
2009-07-27,885.0
2009-08-03,949.0
2009-08-10,942.0
2009-08-17,954.0
2009-08-24,919.0
2009-08-31,1177.0
2009-09-07,1329.0
2009-09-14,1632.0
2009-09-21,1431.0
2009-09-28,764.0
2009-10-05,1532.0
2009-10-12,1649.0
2009-10-19,954.0
2009-10-26,1823.0
2009-11-02,1738.0
2009-11-09,1762.0
2009-11-16,1501.0
2009-11-23,1379.0
2009-11-30,1293.0
2009-12-07,1532.0
2009-12-14,1487.0
2009-12-21,1234.0
2009-12-28,755.0
2010-01-04,882.0
2010-01-11,1324.0
2010-01-18,1434.0
2010-01-25,991.0
2010-02-01,1299.0
2010-02-08,1157.0
2010-02-15,1441.0
2010-02-22,1847.0
2010-03-01,1261.0
2010-03-08,1491.0
2010-03-15,1462.0
2010-03-22,1400.0
2010-03-29,1453.0
2010-04-05,1288.0
2010-04-12,1163.0
2010-04-19,1414.0
2010-04-26,1427.0
2010-05-03,1397.0
2010-05-10,1392.0
2010-05-17,1193.0
2010-05-24,1383.0
2010-05-31,1166.0
2010-06-07,1150.0
2010-06-14,715.0
2010-06-21,1498.0
2010-06-28,814.0
2010-07-05,1006.0
2010-07-12,377.0
2010-07-19,880.0
2010-07-26,1188.0
2010-08-02,1269.0
2010-08-09,1408.0
2010-08-16,1344.0
2010-08-23,1386.0
2010-08-30,1856.0
2010-09-06,1696.0
2010-09-13,1843.0
2010-09-20,2021.0
2010-09-27,1864.0
2010-10-04,1986.0
2010-10-11,1870.0
2010-10-18,2182.0
2010-10-25,2289.0
2010-11-01,1923.0
2010-11-08,2013.0
2010-11-15,1891.0
2010-11-22,1961.0
2010-11-29,1844.0
2010-12-06,2036.0
2010-12-13,2254.0
2010-12-20,1494.0
2010-12-27,907.0
2011-01-03,1048.0
2011-01-10,1588.0
2011-01-17,1525.0
2011-01-24,1709.0
2011-01-31,1738.0
2011-02-07,1626.0
2011-02-14,1657.0
2011-02-21,1543.0
2011-02-28,1670.0
2011-03-07,1601.0
2011-03-14,1535.0
2011-03-21,1279.0
2011-03-28,1417.0
2011-04-04,1458.0
2011-04-11,1525.0
2011-04-18,1309.0
2011-04-25,1356.0
2011-05-02,1608.0
2011-05-09,1568.0
2011-05-16,1433.0
2011-05-23,1435.0
2011-05-30,1429.0
2011-06-06,1325.0
2011-06-13,1815.0
2011-06-20,1739.0
2011-06-27,1579.0
2011-07-04,1318.0
2011-07-11,1317.0
2011-07-18,1375.0
2011-07-25,1126.0
2011-08-01,1185.0
2011-08-08,1280.0
2011-08-15,1193.0
2011-08-22,1357.0
2011-08-29,1428.0
2011-09-05,1255.0
2011-09-12,1806.0
2011-09-19,1747.0
2011-09-26,1747.0
2011-10-03,1820.0
2011-10-10,1940.0
2011-10-17,2021.0
2011-10-24,1693.0
2011-10-31,2285.0
2011-11-07,2169.0
2011-11-14,2197.0
2011-11-21,2240.0
2011-11-28,1624.0
2011-12-05,2229.0
2011-12-12,2223.0
2011-12-19,1826.0
2011-12-26,694.0
2012-01-02,1051.0
2012-01-09,1594.0
2012-01-16,1790.0
2012-01-23,1893.0
2012-01-30,2110.0
2012-02-06,1855.0
2012-02-13,1879.0
2012-02-20,2164.0
2012-02-27,1894.0
2012-03-05,1777.0
2012-03-12,1774.0
2012-03-19,1648.0
2012-03-26,1475.0
2012-04-02,1485.0
2012-04-09,1264.0
2012-04-16,1504.0
2012-04-23,1714.0
2012-04-30,1456.0
2012-05-07,1638.0
2012-05-14,1582.0
2012-05-21,1491.0
2012-05-28,1550.0
2012-06-04,1507.0
2012-06-11,1736.0
2012-06-18,1501.0
2012-06-25,1434.0
2012-07-02,1307.0
2012-07-09,1214.0
2012-07-16,1320.0
2012-07-23,1269.0
2012-07-30,1194.0
2012-08-06,1073.0
2012-08-13,1180.0
2012-08-20,1191.0
2012-08-27,1337.0
2012-09-03,1570.0
2012-09-10,1542.0
2012-09-17,1812.0
2012-09-24,2163.0
2012-10-01,1955.0
2012-10-08,1941.0
2012-10-15,2002.0
2012-10-22,2255.0
2012-10-29,1876.0
2012-11-05,1891.0
2012-11-12,2109.0
2012-11-19,1864.0
2012-11-26,1493.0
2012-12-03,2032.0
2012-12-10,2305.0
2012-12-17,1887.0
2012-12-24,1363.0
2012-12-31,1002.0
2013-01-07,1709.0
2013-01-14,1724.0
2013-01-21,1717.0
2013-01-28,1751.0
2013-02-04,1826.0
2013-02-11,1796.0
2013-02-18,1715.0
2013-02-25,1824.0
2013-03-04,1779.0
2013-03-11,2040.0
2013-03-18,1622.0
2013-03-25,1605.0
2013-04-01,1572.0
2013-04-08,1867.0
2013-04-15,1889.0
2013-04-22,1857.0
2013-04-29,1937.0
2013-05-06,1813.0
2013-05-13,1880.0
2013-05-20,1706.0
2013-05-27,1646.0
2013-06-03,1556.0
2013-06-10,1761.0
2013-06-17,1714.0
2013-06-24,1761.0
2013-07-01,1770.0
2013-07-08,1547.0
2013-07-15,1496.0
2013-07-22,1528.0
2013-07-29,1080.0
2013-08-05,1350.0
2013-08-12,1236.0
2013-08-19,1278.0
2013-08-26,1321.0
2013-09-02,1388.0
2013-09-09,1546.0
2013-09-16,1501.0
2013-09-23,1553.0
2013-09-30,1791.0
2013-10-07,1958.0
2013-10-14,1919.0
2013-10-21,1910.0
2013-10-28,2050.0
2013-11-04,1840.0
2013-11-11,1717.0
2013-11-18,2128.0
2013-11-25,1991.0
2013-12-02,1631.0
2013-12-09,2253.0
2013-12-16,1676.0
2013-12-23,1169.0
2013-12-30,745.0
2014-01-06,785.0
2014-01-13,1387.0
2014-01-20,1382.0
2014-01-27,1506.0
2014-02-03,1406.0
2014-02-10,1480.0
2014-02-17,1457.0
2014-02-24,1545.0
2014-03-03,1541.0
2014-03-10,1592.0
2014-03-17,1430.0
2014-03-24,1260.0
2014-03-31,1325.0
2014-04-07,1452.0
2014-04-14,1357.0
2014-04-21,1180.0
2014-04-28,1350.0
2014-05-05,1587.0
2014-05-12,1311.0
2014-05-19,1308.0
2014-05-26,1170.0
2014-06-02,1136.0
2014-06-09,1212.0
2014-06-16,1101.0
