,pageviews
2007-12-10,216.0
2007-12-17,1112.0
2007-12-24,708.0
2007-12-31,449.0
2008-01-07,810.0
2008-01-14,1218.0
2008-01-21,1474.0
2008-01-28,1640.0
2008-02-04,1289.0
2008-02-11,1433.0
2008-02-18,1245.0
2008-02-25,1379.0
2008-03-03,939.0
2008-03-10,1078.0
2008-03-17,1349.0
2008-03-24,1102.0
2008-03-31,1362.0
2008-04-07,1301.0
2008-04-14,1423.0
2008-04-21,1530.0
2008-04-28,1498.0
2008-05-05,1415.0
2008-05-12,1537.0
2008-05-19,1371.0
2008-05-26,1242.0
2008-06-02,980.0
2008-06-09,1167.0
2008-06-16,1093.0
2008-06-23,992.0
2008-06-30,951.0
2008-07-07,601.0
2008-07-14,634.0
2008-07-21,
2008-07-28,
2008-08-04,433.0
2008-08-11,874.0
2008-08-18,838.0
2008-08-25,841.0
2008-09-01,1367.0
2008-09-08,2068.0
2008-09-15,2004.0
2008-09-22,1711.0
2008-09-29,1546.0
2008-10-06,1553.0
2008-10-13,1522.0
2008-10-20,1618.0
2008-10-27,1156.0
2008-11-03,1640.0
2008-11-10,1706.0
2008-11-17,1624.0
2008-11-24,1625.0
2008-12-01,1367.0
2008-12-08,1533.0
2008-12-15,1375.0
2008-12-22,1070.0
2008-12-29,585.0
2009-01-05,773.0
2009-01-12,1313.0
2009-01-19,1581.0
2009-01-26,2025.0
2009-02-02,2103.0
2009-02-09,2178.0
2009-02-16,1898.0
2009-02-23,1903.0
2009-03-02,1840.0
2009-03-09,1687.0
2009-03-16,1721.0
2009-03-23,1646.0
2009-03-30,1640.0
2009-04-06,1730.0
2009-04-13,1385.0
2009-04-20,1514.0
2009-04-27,1674.0
2009-05-04,1595.0
2009-05-11,1671.0
2009-05-18,1698.0
2009-05-25,1549.0
2009-06-01,1462.0
2009-06-08,1324.0
2009-06-15,1319.0
2009-06-22,1226.0
2009-06-29,1349.0
2009-07-06,966.0
2009-07-13,1113.0
2009-07-20,1041.0
2009-07-27,953.0
2009-08-03,1077.0
2009-08-10,1061.0
2009-08-17,1161.0
2009-08-24,1120.0
2009-08-31,1708.0
2009-09-07,2019.0
2009-09-14,2295.0
2009-09-21,2114.0
2009-09-28,1070.0
2009-10-05,2180.0
2009-10-12,2143.0
2009-10-19,1064.0
2009-10-26,1986.0
2009-11-02,1862.0
2009-11-09,2120.0
2009-11-16,1672.0
2009-11-23,1456.0
2009-11-30,1469.0
2009-12-07,1713.0
2009-12-14,1556.0
2009-12-21,1429.0
2009-12-28,818.0
2010-01-04,841.0
2010-01-11,1484.0
2010-01-18,1919.0
2010-01-25,1910.0
2010-02-01,2444.0
2010-02-08,2042.0
2010-02-15,2185.0
2010-02-22,2087.0
2010-03-01,1553.0
2010-03-08,2009.0
2010-03-15,2124.0
2010-03-22,1901.0
2010-03-29,2283.0
2010-04-05,1808.0
2010-04-12,1966.0
2010-04-19,1918.0
2010-04-26,1957.0
2010-05-03,2012.0
2010-05-10,1995.0
2010-05-17,1737.0
2010-05-24,1773.0
2010-05-31,1449.0
2010-06-07,1579.0
2010-06-14,829.0
2010-06-21,1228.0
2010-06-28,671.0
2010-07-05,819.0
2010-07-12,349.0
2010-07-19,798.0
2010-07-26,1184.0
2010-08-02,1450.0
2010-08-09,1632.0
2010-08-16,1602.0
2010-08-23,1598.0
2010-08-30,1984.0
2010-09-06,2509.0
2010-09-13,2792.0
2010-09-20,2598.0
2010-09-27,2601.0
2010-10-04,2510.0
2010-10-11,2505.0
2010-10-18,2624.0
2010-10-25,2686.0
2010-11-01,2440.0
2010-11-08,2282.0
2010-11-15,2448.0
2010-11-22,2343.0
2010-11-29,2222.0
2010-12-06,2242.0
2010-12-13,2494.0
2010-12-20,2145.0
2010-12-27,1087.0
2011-01-03,1168.0
2011-01-10,1984.0
2011-01-17,2290.0
2011-01-24,3205.0
2011-01-31,2757.0
2011-02-07,2424.0
2011-02-14,2221.0
2011-02-21,2160.0
2011-02-28,2146.0
2011-03-07,2174.0
2011-03-14,1997.0
2011-03-21,1891.0
2011-03-28,1947.0
2011-04-04,2133.0
2011-04-11,2021.0
2011-04-18,1811.0
2011-04-25,1676.0
2011-05-02,1913.0
2011-05-09,2195.0
2011-05-16,1899.0
2011-05-23,1969.0
2011-05-30,1678.0
2011-06-06,1848.0
2011-06-13,1745.0
2011-06-20,1326.0
2011-06-27,1288.0
2011-07-04,1096.0
2011-07-11,1118.0
2011-07-18,1240.0
2011-07-25,1170.0
2011-08-01,1176.0
2011-08-08,1222.0
2011-08-15,1248.0
2011-08-22,1395.0
2011-08-29,1699.0
2011-09-05,1832.0
2011-09-12,2480.0
2011-09-19,2672.0
2011-09-26,2369.0
2011-10-03,2596.0
2011-10-10,2797.0
2011-10-17,2604.0
2011-10-24,2068.0
2011-10-31,2788.0
2011-11-07,3022.0
2011-11-14,2902.0
2011-11-21,2621.0
2011-11-28,2214.0
2011-12-05,2558.0
2011-12-12,2758.0
2011-12-19,2194.0
2011-12-26,930.0
2012-01-02,1427.0
2012-01-09,2097.0
2012-01-16,2532.0
2012-01-23,2978.0
2012-01-30,3332.0
2012-02-06,3278.0
2012-02-13,3224.0
2012-02-20,2778.0
2012-02-27,2794.0
2012-03-05,2907.0
2012-03-12,2468.0
2012-03-19,2076.0
2012-03-26,2499.0
2012-04-02,2262.0
2012-04-09,1947.0
2012-04-16,2128.0
2012-04-23,2737.0
2012-04-30,1974.0
2012-05-07,2414.0
2012-05-14,2392.0
2012-05-21,2366.0
2012-05-28,2168.0
2012-06-04,2160.0
2012-06-11,1892.0
2012-06-18,1958.0
2012-06-25,1754.0
2012-07-02,1490.0
2012-07-09,1447.0
2012-07-16,1361.0
2012-07-23,1381.0
2012-07-30,1481.0
2012-08-06,1465.0
2012-08-13,1426.0
2012-08-20,1490.0
2012-08-27,2167.0
2012-09-03,2631.0
2012-09-10,3348.0
2012-09-17,3910.0
2012-09-24,3631.0
2012-10-01,3235.0
2012-10-08,3438.0
2012-10-15,2925.0
2012-10-22,2939.0
2012-10-29,2775.0
2012-11-05,2722.0
2012-11-12,2902.0
2012-11-19,2685.0
2012-11-26,2469.0
2012-12-03,2623.0
2012-12-10,2634.0
2012-12-17,2550.0
2012-12-24,1715.0
2012-12-31,1342.0
2013-01-07,1763.0
2013-01-14,2539.0
2013-01-21,3308.0
2013-01-28,3685.0
2013-02-04,3733.0
2013-02-11,3774.0
2013-02-18,3712.0
2013-02-25,3277.0
2013-03-04,3324.0
2013-03-11,3226.0
2013-03-18,3396.0
2013-03-25,3324.0
2013-04-01,2689.0
2013-04-08,2892.0
2013-04-15,2934.0
2013-04-22,3064.0
2013-04-29,2946.0
2013-05-06,2998.0
2013-05-13,2903.0
2013-05-20,2848.0
2013-05-27,2853.0
2013-06-03,2569.0
2013-06-10,2510.0
2013-06-17,7066.0
2013-06-24,2113.0
2013-07-01,1925.0
2013-07-08,1654.0
2013-07-15,1938.0
2013-07-22,1723.0
2013-07-29,1101.0
2013-08-05,1598.0
2013-08-12,1531.0
2013-08-19,1520.0
2013-08-26,1822.0
2013-09-02,2111.0
2013-09-09,2764.0
2013-09-16,2975.0
2013-09-23,2905.0
2013-09-30,2718.0
2013-10-07,2990.0
2013-10-14,2804.0
2013-10-21,2809.0
2013-10-28,2749.0
2013-11-04,2391.0
2013-11-11,2541.0
2013-11-18,2957.0
2013-11-25,2594.0
2013-12-02,2287.0
2013-12-09,2823.0
2013-12-16,2088.0
2013-12-23,1290.0
2013-12-30,910.0
2014-01-06,857.0
2014-01-13,2026.0
2014-01-20,2145.0
2014-01-27,2291.0
2014-02-03,2524.0
2014-02-10,2502.0
2014-02-17,2282.0
2014-02-24,2181.0
2014-03-03,2079.0
2014-03-10,2013.0
2014-03-17,2071.0
2014-03-24,1982.0
2014-03-31,2087.0
2014-04-07,2050.0
2014-04-14,1973.0
2014-04-21,1681.0
2014-04-28,1928.0
2014-05-05,1935.0
2014-05-12,1889.0
2014-05-19,1828.0
2014-05-26,1727.0
2014-06-02,1611.0
2014-06-09,1505.0
2014-06-16,1361.0
2014-06-23,1323.0
2014-06-30,1331.0
2014-07-07,1132.0
2014-07-14,1224.0
2014-07-21,1197.0
2014-07-28,1324.0
2014-08-04,1223.0
2014-08-11,1279.0
2014-08-18,1196.0
2014-08-25,1475.0
2014-09-01,1430.0
2014-09-08,2498.0
2014-09-15,2507.0
2014-09-22,2342.0
2014-09-29,2315.0
2014-10-06,2050.0
2014-10-13,2146.0
2014-10-20,2047.0
2014-10-27,1940.0
2014-11-03,1902.0
2014-11-10,2171.0
2014-11-17,2142.0
2014-11-24,1844.0
2014-12-01,1550.0
2014-12-08,1920.0
2014-12-15,1762.0
2014-12-22,1358.0
2014-12-29,904.0
2015-01-05,1064.0
2015-01-12,1627.0
2015-01-19,1978.0
2015-01-26,2356.0
2015-02-02,2277.0
2015-02-09,2119.0
2015-02-16,2031.0
2015-02-23,1898.0
2015-03-02,1843.0
2015-03-09,1828.0
2015-03-16,2011.0
2015-03-23,1862.0
2015-03-30,678.0
