,pageviews
2007-12-20,43
2007-12-21,29
2007-12-22,40
2007-12-23,23
2007-12-24,23
2007-12-25,21
2007-12-26,34
2007-12-27,26
2007-12-28,23
2007-12-29,39
2007-12-19,55
2007-12-18,48
2007-12-31,26
2007-12-30,26
2007-12-15,42
2007-12-14,64
2007-12-17,55
2007-12-16,51
2007-12-11,58
2007-12-10,71
2007-12-13,65
2007-12-12,69
2008-01-30,142
2008-01-16,137
2008-01-17,147
2008-01-14,157
2008-01-15,130
2008-01-12,54
2008-01-13,73
2008-01-10,115
2008-01-11,70
2008-01-18,130
2008-01-19,53
2008-01-29,154
2008-01-28,106
2008-01-27,105
2008-01-26,80
2008-01-25,145
2008-01-24,123
2008-01-23,145
2008-01-22,129
2008-01-21,77
2008-01-20,84
2008-01-05,33
2008-01-04,31
2008-01-07,61
2008-01-06,32
2008-01-01,28
2008-01-03,50
2008-01-02,44
2008-01-09,86
2008-01-08,87
2008-02-28,0
2008-02-26,77
2008-02-29,61
2008-02-01,125
2008-02-02,51
2008-02-03,58
2008-02-04,98
2008-02-05,102
2008-02-06,129
2008-02-07,116
2008-02-08,99
2008-02-09,71
2008-02-24,60
2008-02-25,81
2008-02-22,65
2008-02-23,34
2008-02-20,86
2008-02-21,125
2008-02-27,83
2008-02-17,56
2008-02-16,57
2008-02-15,83
2008-02-14,100
2008-02-13,107
2008-02-12,97
2008-02-11,140
2008-02-10,60
2008-02-19,95
2008-02-18,86
2008-03-14,55
2008-03-15,31
2008-03-16,61
2008-03-17,51
2008-03-10,99
2008-03-11,104
2008-03-12,123
2008-03-13,161
2008-03-18,52
2008-03-19,63
2008-03-30,29
2008-03-09,55
2008-03-31,66
2008-03-03,0
2008-03-02,60
2008-03-01,0
2008-03-07,60
2008-03-06,68
2008-03-05,77
2008-03-04,0
2008-03-21,58
2008-03-20,43
2008-03-23,49
2008-03-22,30
2008-03-25,75
2008-03-24,59
2008-03-27,82
2008-03-26,89
2008-03-29,29
2008-03-28,44
2008-03-08,54
2008-04-30,63
2008-04-15,51
2008-04-14,47
2008-04-17,61
2008-04-16,97
2008-04-11,56
2008-04-10,66
2008-04-13,55
2008-04-12,40
2008-04-19,42
2008-04-18,64
2008-04-28,89
2008-04-29,65
2008-04-20,31
2008-04-21,51
2008-04-22,48
2008-04-23,49
2008-04-24,60
2008-04-25,52
2008-04-26,26
2008-04-27,48
2008-04-06,56
2008-04-07,73
2008-04-04,57
2008-04-05,30
2008-04-02,114
2008-04-03,97
2008-04-01,81
2008-04-08,67
2008-04-09,83
2008-05-12,45
2008-05-13,55
2008-05-10,31
2008-05-11,69
2008-05-16,58
2008-05-31,22
2008-05-14,53
2008-05-15,115
2008-05-18,46
2008-05-19,50
2008-05-29,55
2008-05-28,35
2008-05-23,62
2008-05-22,55
2008-05-21,86
2008-05-20,69
2008-05-27,41
2008-05-26,40
2008-05-25,41
2008-05-24,37
2008-05-01,58
2008-05-03,40
2008-05-02,37
2008-05-05,44
2008-05-04,43
2008-05-07,68
2008-05-06,49
2008-05-09,45
2008-05-08,56
2008-05-17,35
2008-05-30,19
2008-06-21,105
2008-06-27,46
2008-06-24,54
2008-06-25,74
2008-06-13,17
2008-06-12,27
2008-06-11,42
2008-06-10,33
2008-06-17,69
2008-06-16,50
2008-06-15,47
2008-06-14,21
2008-06-30,47
2008-06-19,80
2008-06-18,84
2008-06-28,18
2008-06-29,32
2008-06-08,23
2008-06-09,30
2008-06-04,31
2008-06-05,22
2008-06-06,23
2008-06-07,26
2008-06-26,60
2008-06-01,0
2008-06-02,0
2008-06-03,44
2008-06-22,28
2008-06-23,43
2008-06-20,115
2008-07-10,21
2008-07-11,18
2008-07-12,16
2008-07-07,21
2008-07-06,20
2008-07-05,10
2008-07-04,19
2008-07-03,22
2008-07-02,26
2008-07-09,25
2008-07-08,29
2008-08-04,27
2008-08-31,20
2008-08-30,26
2008-08-11,49
2008-08-10,20
2008-08-13,35
2008-08-12,38
2008-08-15,24
2008-08-14,30
2008-08-17,28
2008-08-16,21
2008-08-19,53
2008-08-18,33
2008-08-05,43
2008-08-02,19
2008-08-03,24
2008-08-26,88
2008-08-01,18
2008-08-06,20
2008-08-21,49
2008-08-22,33
2008-08-23,44
2008-08-08,16
2008-08-09,22
2008-08-28,125
2008-08-29,72
2008-08-24,40
2008-08-25,57
2008-08-27,125
2008-08-20,33
2008-08-07,34
2008-09-02,62
2008-09-27,35
2008-09-26,92
2008-09-25,122
2008-09-24,103
2008-09-09,157
2008-09-22,123
2008-09-21,104
2008-09-20,71
2008-09-05,162
2008-09-23,117
2008-09-07,102
2008-09-06,107
2008-09-01,48
2008-09-03,136
2008-09-28,48
2008-09-08,149
2008-09-04,155
2008-09-30,92
2008-09-29,83
2008-09-18,93
2008-09-19,94
2008-09-16,128
2008-09-17,131
2008-09-14,117
2008-09-15,101
2008-09-12,66
2008-09-13,92
2008-09-10,173
2008-09-11,158
2008-10-09,105
2008-10-08,97
2008-10-03,90
2008-10-02,129
2008-10-01,101
2008-10-07,95
2008-10-06,104
2008-10-05,81
2008-10-04,56
2008-10-21,0
2008-10-20,80
2008-10-23,44
2008-10-22,0
2008-10-25,35
2008-10-24,29
2008-10-27,44
2008-10-26,37
2008-10-29,45
2008-10-28,26
2008-10-30,30
2008-10-31,40
2008-10-14,75
2008-10-15,96
2008-10-16,86
2008-10-17,66
2008-10-10,71
2008-10-11,51
2008-10-12,82
2008-10-13,94
2008-10-18,61
2008-10-19,69
2008-11-28,43
2008-11-07,67
2008-11-17,89
2008-11-16,79
2008-11-15,63
2008-11-14,56
2008-11-13,77
2008-11-12,92
2008-11-11,81
2008-11-10,72
2008-11-30,80
2008-11-19,75
2008-11-18,86
2008-11-26,70
2008-11-01,30
2008-11-02,65
2008-11-03,84
2008-11-04,77
2008-11-05,63
2008-11-06,58
2008-11-29,39
2008-11-08,42
2008-11-27,40
2008-11-24,78
2008-11-25,97
2008-11-22,60
2008-11-23,68
2008-11-20,75
2008-11-21,78
2008-11-09,43
2008-12-29,38
2008-12-28,36
2008-12-27,31
2008-12-26,35
2008-12-25,21
2008-12-24,28
2008-12-23,31
2008-12-22,38
