,pageviews
2007-12-10,71.0
2007-12-17,404.0
2007-12-24,261.0
2007-12-31,195.0
2008-01-07,279.0
2008-01-14,642.0
2008-01-21,758.0
2008-01-28,833.0
2008-02-04,628.0
2008-02-11,717.0
2008-02-18,586.0
2008-02-25,546.0
2008-03-03,281.0
2008-03-10,413.0
2008-03-17,586.0
2008-03-24,354.0
2008-03-31,414.0
2008-04-07,508.0
2008-04-14,414.0
2008-04-21,397.0
2008-04-28,372.0
2008-05-05,350.0
2008-05-12,363.0
2008-05-19,412.0
2008-05-26,390.0
2008-06-02,172.0
2008-06-09,199.0
2008-06-16,237.0
2008-06-23,524.0
2008-06-30,331.0
2008-07-07,118.0
2008-07-14,109.0
2008-07-21,
2008-07-28,
2008-08-04,88.0
2008-08-11,204.0
2008-08-18,209.0
2008-08-25,309.0
2008-09-01,504.0
2008-09-08,873.0
2008-09-15,864.0
2008-09-22,744.0
2008-09-29,600.0
2008-10-06,653.0
2008-10-13,595.0
2008-10-20,533.0
2008-10-27,189.0
2008-11-03,320.0
2008-11-10,422.0
2008-11-17,537.0
2008-11-24,520.0
2008-12-01,442.0
2008-12-08,539.0
2008-12-15,458.0
2008-12-22,311.0
2008-12-29,220.0
2009-01-05,235.0
2009-01-12,346.0
2009-01-19,734.0
2009-01-26,847.0
2009-02-02,741.0
2009-02-09,314.0
2009-02-16,447.0
2009-02-23,224.0
2009-03-02,378.0
2009-03-09,577.0
2009-03-16,551.0
2009-03-23,532.0
2009-03-30,416.0
2009-04-06,329.0
2009-04-13,435.0
2009-04-20,485.0
2009-04-27,452.0
2009-05-04,477.0
2009-05-11,504.0
2009-05-18,459.0
2009-05-25,390.0
2009-06-01,222.0
2009-06-08,303.0
2009-06-15,378.0
2009-06-22,408.0
2009-06-29,320.0
2009-07-06,410.0
2009-07-13,269.0
2009-07-20,306.0
2009-07-27,289.0
2009-08-03,326.0
2009-08-10,357.0
2009-08-17,252.0
2009-08-24,321.0
2009-08-31,744.0
2009-09-07,984.0
2009-09-14,829.0
2009-09-21,665.0
2009-09-28,358.0
2009-10-05,645.0
2009-10-12,638.0
2009-10-19,314.0
2009-10-26,641.0
2009-11-02,659.0
2009-11-09,657.0
