,pageviews
2007-12-10,373.0
2007-12-17,1894.0
2007-12-24,982.0
2007-12-31,533.0
2008-01-07,953.0
2008-01-14,1611.0
2008-01-21,1881.0
2008-01-28,2254.0
2008-02-04,1842.0
2008-02-11,2230.0
2008-02-18,2193.0
2008-02-25,2182.0
2008-03-03,1511.0
2008-03-10,2016.0
2008-03-17,2349.0
2008-03-24,1984.0
2008-03-31,2013.0
2008-04-07,2703.0
2008-04-14,2901.0
2008-04-21,2996.0
2008-04-28,3091.0
2008-05-05,2876.0
2008-05-12,2640.0
2008-05-19,2623.0
2008-05-26,2258.0
2008-06-02,1728.0
2008-06-09,2278.0
2008-06-16,2074.0
2008-06-23,1494.0
2008-06-30,1436.0
2008-07-07,1085.0
2008-07-14,1012.0
2008-07-21,
2008-07-28,
2008-08-04,711.0
2008-08-11,1085.0
2008-08-18,1245.0
2008-08-25,1411.0
2008-09-01,1959.0
2008-09-08,2668.0
2008-09-15,2900.0
2008-09-22,2809.0
2008-09-29,2517.0
2008-10-06,1499.0
2008-10-13,3107.0
2008-10-20,2384.0
2008-10-27,1475.0
2008-11-03,2859.0
2008-11-10,3036.0
2008-11-17,3002.0
2008-11-24,2958.0
2008-12-01,2301.0
2008-12-08,3410.0
2008-12-15,2136.0
2008-12-22,1567.0
2008-12-29,857.0
2009-01-05,1192.0
2009-01-12,1939.0
2009-01-19,2426.0
2009-01-26,2573.0
2009-02-02,2541.0
2009-02-09,2948.0
2009-02-16,2661.0
2009-02-23,1430.0
2009-03-02,1175.0
2009-03-09,1310.0
2009-03-16,3060.0
2009-03-23,1557.0
2009-03-30,1923.0
2009-04-06,2971.0
2009-04-13,2988.0
2009-04-20,3403.0
2009-04-27,3392.0
2009-05-04,3242.0
2009-05-11,3227.0
2009-05-18,3358.0
2009-05-25,3020.0
2009-06-01,3027.0
2009-06-08,3110.0
2009-06-15,2676.0
2009-06-22,1972.0
2009-06-29,1797.0
2009-07-06,1439.0
2009-07-13,1776.0
2009-07-20,1638.0
2009-07-27,1739.0
2009-08-03,1691.0
2009-08-10,1825.0
2009-08-17,1921.0
2009-08-24,2053.0
2009-08-31,2799.0
2009-09-07,3131.0
2009-09-14,3593.0
2009-09-21,3859.0
2009-09-28,1949.0
2009-10-05,3737.0
2009-10-12,3913.0
2009-10-19,1911.0
2009-10-26,4005.0
2009-11-02,3763.0
2009-11-09,4104.0
2009-11-16,3534.0
2009-11-23,2880.0
2009-11-30,2476.0
2009-12-07,3335.0
2009-12-14,3596.0
2009-12-21,2471.0
2009-12-28,1189.0
2010-01-04,1405.0
2010-01-11,2466.0
2010-01-18,2847.0
2010-01-25,2638.0
2010-02-01,3402.0
2010-02-08,3247.0
2010-02-15,3401.0
2010-02-22,3599.0
2010-03-01,3114.0
2010-03-08,3941.0
2010-03-15,3570.0
2010-03-22,3584.0
2010-03-29,3388.0
2010-04-05,3214.0
2010-04-12,3500.0
2010-04-19,4189.0
2010-04-26,4254.0
2010-05-03,4301.0
2010-05-10,3875.0
2010-05-17,3706.0
2010-05-24,3217.0
2010-05-31,2925.0
2010-06-07,3210.0
2010-06-14,1821.0
2010-06-21,2047.0
2010-06-28,1269.0
2010-07-05,1369.0
2010-07-12,675.0
2010-07-19,1544.0
2010-07-26,2536.0
2010-08-02,2529.0
2010-08-09,2582.0
2010-08-16,2570.0
2010-08-23,2837.0
2010-08-30,3483.0
2010-09-06,3717.0
2010-09-13,4443.0
2010-09-20,4921.0
2010-09-27,4724.0
2010-10-04,4958.0
2010-10-11,4634.0
2010-10-18,4969.0
2010-10-25,4641.0
2010-11-01,4809.0
2010-11-08,4964.0
2010-11-15,4309.0
2010-11-22,4643.0
2010-11-29,3725.0
2010-12-06,4732.0
2010-12-13,5408.0
2010-12-20,4170.0
2010-12-27,1826.0
2011-01-03,1890.0
2011-01-10,3256.0
2011-01-17,3975.0
2011-01-24,4942.0
2011-01-31,4216.0
2011-02-07,4025.0
2011-02-14,6764.0
2011-02-21,3953.0
2011-02-28,4068.0
2011-03-07,4126.0
2011-03-14,3942.0
2011-03-21,3657.0
2011-03-28,3986.0
2011-04-04,4064.0
2011-04-11,4123.0
2011-04-18,4342.0
2011-04-25,3790.0
2011-05-02,4009.0
2011-05-09,4561.0
2011-05-16,4077.0
2011-05-23,4003.0
2011-05-30,3390.0
2011-06-06,3838.0
2011-06-13,3161.0
2011-06-20,2695.0
2011-06-27,2434.0
2011-07-04,2086.0
2011-07-11,2079.0
2011-07-18,2134.0
2011-07-25,2077.0
2011-08-01,2278.0
2011-08-08,2395.0
2011-08-15,2170.0
2011-08-22,2223.0
2011-08-29,2846.0
2011-09-05,2529.0
2011-09-12,3789.0
2011-09-19,3869.0
2011-09-26,4074.0
2011-10-03,4328.0
2011-10-10,4354.0
2011-10-17,4456.0
2011-10-24,3440.0
2011-10-31,4467.0
2011-11-07,4620.0
2011-11-14,4577.0
2011-11-21,4463.0
2011-11-28,3604.0
2011-12-05,4622.0
2011-12-12,4776.0
2011-12-19,3517.0
2011-12-26,1089.0
2012-01-02,1595.0
2012-01-09,2658.0
2012-01-16,3442.0
2012-01-23,4054.0
2012-01-30,4549.0
2012-02-06,4648.0
2012-02-13,4482.0
2012-02-20,4260.0
2012-02-27,4506.0
2012-03-05,4620.0
2012-03-12,4341.0
2012-03-19,3885.0
2012-03-26,3783.0
2012-04-02,3910.0
2012-04-09,3469.0
2012-04-16,4298.0
2012-04-23,4481.0
2012-04-30,4026.0
2012-05-07,4833.0
2012-05-14,4499.0
2012-05-21,4330.0
2012-05-28,4045.0
2012-06-04,4305.0
2012-06-11,3609.0
2012-06-18,3316.0
2012-06-25,2585.0
2012-07-02,2493.0
2012-07-09,2317.0
2012-07-16,2396.0
2012-07-23,2425.0
2012-07-30,3048.0
2012-08-06,2674.0
2012-08-13,2701.0
2012-08-20,2674.0
2012-08-27,3240.0
2012-09-03,3892.0
2012-09-10,4747.0
2012-09-17,5389.0
2012-09-24,5027.0
2012-10-01,5209.0
2012-10-08,5096.0
2012-10-15,4793.0
2012-10-22,4519.0
2012-10-29,4434.0
2012-11-05,4466.0
2012-11-12,4477.0
2012-11-19,4436.0
2012-11-26,3641.0
2012-12-03,5121.0
2012-12-10,5112.0
2012-12-17,4405.0
2012-12-24,2535.0
2012-12-31,1944.0
2013-01-07,2630.0
2013-01-14,3578.0
2013-01-21,5528.0
2013-01-28,6365.0
2013-02-04,5715.0
2013-02-11,5193.0
2013-02-18,5148.0
2013-02-25,5470.0
2013-03-04,6098.0
2013-03-11,5724.0
2013-03-18,5998.0
2013-03-25,5509.0
2013-04-01,4655.0
2013-04-08,5596.0
2013-04-15,6381.0
2013-04-22,5830.0
2013-04-29,6111.0
2013-05-06,6043.0
2013-05-13,5722.0
2013-05-20,5602.0
2013-05-27,4845.0
2013-06-03,5345.0
2013-06-10,4505.0
2013-06-17,3715.0
2013-06-24,2872.0
2013-07-01,2800.0
2013-07-08,2512.0
2013-07-15,2570.0
2013-07-22,2784.0
2013-07-29,1822.0
2013-08-05,2628.0
2013-08-12,2506.0
2013-08-19,2770.0
2013-08-26,2886.0
2013-09-02,2992.0
2013-09-09,3793.0
2013-09-16,4487.0
2013-09-23,4408.0
2013-09-30,4452.0
2013-10-07,4629.0
2013-10-14,4272.0
2013-10-21,4563.0
2013-10-28,4478.0
2013-11-04,4277.0
2013-11-11,3954.0
2013-11-18,4105.0
2013-11-25,3889.0
2013-12-02,3256.0
2013-12-09,4845.0
2013-12-16,3471.0
2013-12-23,1977.0
2013-12-30,1172.0
2014-01-06,1001.0
2014-01-13,2557.0
2014-01-20,2631.0
2014-01-27,3125.0
2014-02-03,3137.0
2014-02-10,3335.0
2014-02-17,3263.0
2014-02-24,3481.0
2014-03-03,3345.0
2014-03-10,3669.0
2014-03-17,3288.0
2014-03-24,3177.0
2014-03-31,3329.0
2014-04-07,3438.0
2014-04-14,3401.0
2014-04-21,3410.0
2014-04-28,3829.0
2014-05-05,3971.0
2014-05-12,3720.0
2014-05-19,3518.0
2014-05-26,3248.0
2014-06-02,3229.0
2014-06-09,2973.0
2014-06-16,2463.0
2014-06-23,2112.0
2014-06-30,1874.0
2014-07-07,1623.0
2014-07-14,1682.0
2014-07-21,1680.0
2014-07-28,1740.0
2014-08-04,1807.0
2014-08-11,1931.0
2014-08-18,1998.0
2014-08-25,2220.0
2014-09-01,2009.0
2014-09-08,2936.0
2014-09-15,3525.0
2014-09-22,3483.0
2014-09-29,3686.0
2014-10-06,3359.0
2014-10-13,3466.0
2014-10-20,3082.0
2014-10-27,2810.0
2014-11-03,2899.0
2014-11-10,3241.0
2014-11-17,3085.0
2014-11-24,3225.0
2014-12-01,2757.0
2014-12-08,3630.0
2014-12-15,3151.0
2014-12-22,2087.0
2014-12-29,1297.0
2015-01-05,1466.0
2015-01-12,2272.0
2015-01-19,2663.0
2015-01-26,3356.0
2015-02-02,3112.0
2015-02-09,2959.0
2015-02-16,3185.0
2015-02-23,3031.0
2015-03-02,3099.0
2015-03-09,3057.0
2015-03-16,2949.0
2015-03-23,2856.0
2015-03-30,1055.0
