,pageviews
2007-12-10,70.0
2007-12-17,395.0
2007-12-24,274.0
2007-12-31,218.0
2008-01-07,305.0
2008-01-14,374.0
2008-01-21,286.0
2008-01-28,424.0
2008-02-04,290.0
2008-02-11,341.0
2008-02-18,315.0
2008-02-25,427.0
2008-03-03,210.0
2008-03-10,425.0
2008-03-17,504.0
2008-03-24,286.0
2008-03-31,367.0
2008-04-07,356.0
2008-04-14,416.0
2008-04-21,393.0
2008-04-28,411.0
2008-05-05,441.0
2008-05-12,477.0
2008-05-19,504.0
2008-05-26,607.0
2008-06-02,411.0
2008-06-09,522.0
2008-06-16,538.0
2008-06-23,381.0
2008-06-30,406.0
2008-07-07,291.0
2008-07-14,178.0
2008-07-21,
2008-07-28,
2008-08-04,107.0
2008-08-11,175.0
2008-08-18,166.0
2008-08-25,207.0
2008-09-01,177.0
2008-09-08,288.0
2008-09-15,316.0
2008-09-22,275.0
2008-09-29,295.0
2008-10-06,291.0
2008-10-13,299.0
2008-10-20,219.0
2008-10-27,138.0
2008-11-03,204.0
2008-11-10,308.0
2008-11-17,331.0
2008-11-24,343.0
2008-12-01,357.0
2008-12-08,405.0
2008-12-15,361.0
2008-12-22,258.0
2008-12-29,178.0
2009-01-05,261.0
2009-01-12,264.0
2009-01-19,350.0
2009-01-26,373.0
2009-02-02,322.0
2009-02-09,294.0
2009-02-16,347.0
2009-02-23,335.0
2009-03-02,362.0
2009-03-09,313.0
2009-03-16,347.0
2009-03-23,377.0
2009-03-30,324.0
2009-04-06,329.0
2009-04-13,340.0
2009-04-20,363.0
2009-04-27,340.0
2009-05-04,335.0
2009-05-11,304.0
2009-05-18,377.0
2009-05-25,349.0
2009-06-01,381.0
2009-06-08,342.0
2009-06-15,282.0
2009-06-22,264.0
2009-06-29,270.0
2009-07-06,221.0
2009-07-13,227.0
2009-07-20,270.0
2009-07-27,275.0
2009-08-03,227.0
2009-08-10,231.0
2009-08-17,237.0
2009-08-24,304.0
2009-08-31,262.0
2009-09-07,254.0
2009-09-14,304.0
2009-09-21,322.0
2009-09-28,123.0
2009-10-05,321.0
2009-10-12,291.0
2009-10-19,193.0
2009-10-26,373.0
2009-11-02,430.0
2009-11-09,369.0
2009-11-16,349.0
2009-11-23,330.0
2009-11-30,332.0
2009-12-07,395.0
2009-12-14,767.0
2009-12-21,344.0
2009-12-28,226.0
2010-01-04,225.0
2010-01-11,328.0
2010-01-18,301.0
2010-01-25,316.0
2010-02-01,348.0
2010-02-08,296.0
2010-02-15,278.0
2010-02-22,462.0
2010-03-01,338.0
2010-03-08,314.0
2010-03-15,387.0
2010-03-22,382.0
2010-03-29,383.0
2010-04-05,308.0
2010-04-12,320.0
2010-04-19,353.0
2010-04-26,332.0
2010-05-03,320.0
2010-05-10,374.0
2010-05-17,267.0
2010-05-24,312.0
2010-05-31,394.0
2010-06-07,438.0
2010-06-14,224.0
2010-06-21,328.0
2010-06-28,176.0
2010-07-05,228.0
2010-07-12,72.0
2010-07-19,214.0
2010-07-26,259.0
2010-08-02,284.0
2010-08-09,363.0
2010-08-16,261.0
2010-08-23,339.0
2010-08-30,318.0
2010-09-06,352.0
2010-09-13,480.0
2010-09-20,427.0
2010-09-27,438.0
2010-10-04,469.0
2010-10-11,1079.0
2010-10-18,713.0
2010-10-25,540.0
2010-11-01,514.0
2010-11-08,521.0
2010-11-15,512.0
2010-11-22,481.0
2010-11-29,594.0
2010-12-06,564.0
2010-12-13,618.0
2010-12-20,507.0
2010-12-27,424.0
2011-01-03,403.0
2011-01-10,503.0
2011-01-17,607.0
2011-01-24,558.0
2011-01-31,470.0
2011-02-07,507.0
2011-02-14,430.0
2011-02-21,525.0
2011-02-28,469.0
2011-03-07,519.0
2011-03-14,542.0
2011-03-21,421.0
2011-03-28,473.0
2011-04-04,526.0
2011-04-11,423.0
2011-04-18,479.0
2011-04-25,439.0
