,pageviews
2007-12-10,8053.0
2007-12-17,48155.0
2007-12-24,38820.0
2007-12-31,30348.0
2008-01-07,38591.0
2008-01-14,50316.0
2008-01-21,51716.0
2008-01-28,54317.0
2008-02-04,48217.0
2008-02-11,58930.0
2008-02-18,56540.0
2008-02-25,60324.0
2008-03-03,39611.0
2008-03-10,87081.0
2008-03-17,326407.0
2008-03-24,73398.0
2008-03-31,65220.0
2008-04-07,64578.0
2008-04-14,61309.0
2008-04-21,61299.0
2008-04-28,58158.0
2008-05-05,55631.0
2008-05-12,59953.0
2008-05-19,63312.0
2008-05-26,57457.0
2008-06-02,43050.0
2008-06-09,58312.0
2008-06-16,55883.0
2008-06-23,57794.0
2008-06-30,51656.0
2008-07-07,38025.0
2008-07-14,31822.0
2008-07-21,
2008-07-28,
2008-08-04,20753.0
2008-08-11,39241.0
2008-08-18,38749.0
2008-08-25,44121.0
2008-09-01,48252.0
2008-09-08,55755.0
2008-09-15,60417.0
2008-09-22,59501.0
2008-09-29,70070.0
2008-10-06,60225.0
2008-10-13,62504.0
2008-10-20,62977.0
2008-10-27,40829.0
2008-11-03,59969.0
2008-11-10,59162.0
2008-11-17,59837.0
2008-11-24,60562.0
2008-12-01,57171.0
2008-12-08,60507.0
2008-12-15,56946.0
2008-12-22,50319.0
2008-12-29,35954.0
2009-01-05,40769.0
2009-01-12,56571.0
2009-01-19,61001.0
2009-01-26,62047.0
2009-02-02,68606.0
2009-02-09,68121.0
2009-02-16,67770.0
2009-02-23,67479.0
2009-03-02,77320.0
2009-03-09,107814.0
2009-03-16,279749.0
2009-03-23,98133.0
2009-03-30,78035.0
2009-04-06,70437.0
2009-04-13,63695.0
2009-04-20,68380.0
2009-04-27,70069.0
2009-05-04,77701.0
2009-05-11,75446.0
2009-05-18,73220.0
2009-05-25,73811.0
2009-06-01,88441.0
2009-06-08,78426.0
2009-06-15,74415.0
2009-06-22,65288.0
2009-06-29,53640.0
2009-07-06,50242.0
2009-07-13,51931.0
2009-07-20,48835.0
2009-07-27,55315.0
2009-08-03,47343.0
2009-08-10,46977.0
2009-08-17,47037.0
2009-08-24,54972.0
2009-08-31,55145.0
2009-09-07,58620.0
2009-09-14,64753.0
2009-09-21,65727.0
2009-09-28,31823.0
2009-10-05,68211.0
2009-10-12,66854.0
2009-10-19,34772.0
2009-10-26,67368.0
2009-11-02,66644.0
2009-11-09,71392.0
2009-11-16,63201.0
2009-11-23,56365.0
2009-11-30,59260.0
2009-12-07,62935.0
2009-12-14,58631.0
2009-12-21,54529.0
2009-12-28,42946.0
2010-01-04,48551.0
2010-01-11,88932.0
2010-01-18,66380.0
2010-01-25,56183.0
2010-02-01,73971.0
2010-02-08,67898.0
2010-02-15,67320.0
2010-02-22,68903.0
2010-03-01,58011.0
2010-03-08,93251.0
2010-03-15,334864.0
2010-03-22,103743.0
2010-03-29,75127.0
2010-04-05,65057.0
2010-04-12,63719.0
2010-04-19,65206.0
2010-04-26,65055.0
2010-05-03,66926.0
2010-05-10,65570.0
2010-05-17,61039.0
2010-05-24,63644.0
2010-05-31,61358.0
2010-06-07,67676.0
2010-06-14,38101.0
2010-06-21,46636.0
2010-06-28,30014.0
2010-07-05,38417.0
2010-07-12,15743.0
2010-07-19,39060.0
2010-07-26,60080.0
2010-08-02,53340.0
2010-08-09,62510.0
2010-08-16,55960.0
2010-08-23,59466.0
2010-08-30,62941.0
2010-09-06,67830.0
2010-09-13,71515.0
2010-09-20,82268.0
2010-09-27,73386.0
2010-10-04,72026.0
2010-10-11,72784.0
2010-10-18,75794.0
2010-10-25,76163.0
2010-11-01,75101.0
2010-11-08,74144.0
2010-11-15,73396.0
2010-11-22,77210.0
2010-11-29,72835.0
2010-12-06,79504.0
2010-12-13,115925.0
2010-12-20,78680.0
2010-12-27,58261.0
2011-01-03,61878.0
2011-01-10,78517.0
2011-01-17,87014.0
2011-01-24,97744.0
2011-01-31,78009.0
2011-02-07,64018.0
2011-02-14,67089.0
2011-02-21,65843.0
2011-02-28,69116.0
2011-03-07,84306.0
2011-03-14,266672.0
2011-03-21,142385.0
2011-03-28,75204.0
2011-04-04,68576.0
2011-04-11,66035.0
2011-04-18,64068.0
2011-04-25,56410.0
2011-05-02,59918.0
2011-05-09,62294.0
2011-05-16,65097.0
2011-05-23,67032.0
2011-05-30,59757.0
2011-06-06,59265.0
2011-06-13,55047.0
2011-06-20,52556.0
2011-06-27,54720.0
2011-07-04,80055.0
2011-07-11,49212.0
2011-07-18,45729.0
2011-07-25,51227.0
2011-08-01,46759.0
2011-08-08,47791.0
2011-08-15,41341.0
2011-08-22,43300.0
2011-08-29,44077.0
2011-09-05,38475.0
2011-09-12,50062.0
2011-09-19,50460.0
2011-09-26,50944.0
2011-10-03,50928.0
2011-10-10,54488.0
2011-10-17,60083.0
2011-10-24,50258.0
2011-10-31,60994.0
2011-11-07,63774.0
2011-11-14,68890.0
2011-11-21,63505.0
2011-11-28,60365.0
2011-12-05,62585.0
2011-12-12,62080.0
2011-12-19,54734.0
2011-12-26,22458.0
2012-01-02,43758.0
2012-01-09,55030.0
2012-01-16,64220.0
2012-01-23,64433.0
2012-01-30,72549.0
2012-02-06,72422.0
2012-02-13,66054.0
2012-02-20,62957.0
2012-02-27,66745.0
2012-03-05,77069.0
2012-03-12,103910.0
2012-03-19,308998.0
2012-03-26,66346.0
2012-04-02,57040.0
2012-04-09,48845.0
2012-04-16,53436.0
2012-04-23,55986.0
2012-04-30,62501.0
2012-05-07,62737.0
2012-05-14,61639.0
2012-05-21,63523.0
2012-05-28,66042.0
2012-06-04,73230.0
2012-06-11,77003.0
2012-06-18,75368.0
2012-06-25,69473.0
2012-07-02,63921.0
2012-07-09,57415.0
2012-07-16,58164.0
2012-07-23,107977.0
2012-07-30,59709.0
2012-08-06,46861.0
2012-08-13,44416.0
2012-08-20,50232.0
2012-08-27,50378.0
2012-09-03,54153.0
2012-09-10,61156.0
2012-09-17,62069.0
2012-09-24,66118.0
2012-10-01,61586.0
2012-10-08,62475.0
2012-10-15,65148.0
2012-10-22,70828.0
2012-10-29,67843.0
2012-11-05,65579.0
2012-11-12,66311.0
2012-11-19,67623.0
2012-11-26,73690.0
2012-12-03,75564.0
2012-12-10,71475.0
2012-12-17,63309.0
2012-12-24,60504.0
2012-12-31,47755.0
2013-01-07,66272.0
2013-01-14,77666.0
2013-01-21,77028.0
2013-01-28,77418.0
2013-02-04,77002.0
2013-02-11,76669.0
2013-02-18,62218.0
2013-02-25,69125.0
2013-03-04,74204.0
2013-03-11,91608.0
2013-03-18,330882.0
2013-03-25,73929.0
2013-04-01,58352.0
2013-04-08,70075.0
2013-04-15,67360.0
2013-04-22,61971.0
2013-04-29,64615.0
2013-05-06,62558.0
2013-05-13,63231.0
2013-05-20,65936.0
2013-05-27,61239.0
2013-06-03,60317.0
2013-06-10,59921.0
2013-06-17,56759.0
2013-06-24,53330.0
2013-07-01,50526.0
2013-07-08,45424.0
2013-07-15,45160.0
2013-07-22,46285.0
2013-07-29,29409.0
2013-08-05,38769.0
2013-08-12,39734.0
2013-08-19,42360.0
2013-08-26,36601.0
2013-09-02,38823.0
2013-09-09,42278.0
2013-09-16,43005.0
2013-09-23,41045.0
2013-09-30,41770.0
2013-10-07,44957.0
2013-10-14,45881.0
2013-10-21,50016.0
2013-10-28,47303.0
2013-11-04,47793.0
2013-11-11,48741.0
2013-11-18,52077.0
2013-11-25,48630.0
2013-12-02,43599.0
2013-12-09,48226.0
2013-12-16,40440.0
2013-12-23,32858.0
2013-12-30,25645.0
2014-01-06,23422.0
2014-01-13,39589.0
2014-01-20,41663.0
2014-01-27,44934.0
2014-02-03,45818.0
2014-02-10,42327.0
