,pageviews
2007-12-10,154.0
2007-12-17,950.0
2007-12-24,701.0
2007-12-31,584.0
2008-01-07,1048.0
2008-01-14,1113.0
2008-01-21,1154.0
2008-01-28,1250.0
2008-02-04,931.0
2008-02-11,1255.0
2008-02-18,1133.0
2008-02-25,1112.0
2008-03-03,725.0
2008-03-10,1026.0
2008-03-17,1226.0
2008-03-24,974.0
2008-03-31,1020.0
2008-04-07,1115.0
2008-04-14,1067.0
2008-04-21,1112.0
2008-04-28,1067.0
2008-05-05,1159.0
2008-05-12,1147.0
2008-05-19,1345.0
2008-05-26,1302.0
2008-06-02,768.0
2008-06-09,1082.0
2008-06-16,4235.0
2008-06-23,2606.0
2008-06-30,1362.0
2008-07-07,851.0
2008-07-14,741.0
2008-07-21,
2008-07-28,
2008-08-04,448.0
2008-08-11,969.0
2008-08-18,1113.0
2008-08-25,1330.0
2008-09-01,1448.0
2008-09-08,1815.0
2008-09-15,1663.0
2008-09-22,1539.0
2008-09-29,1547.0
2008-10-06,1471.0
2008-10-13,1437.0
2008-10-20,1293.0
2008-10-27,868.0
2008-11-03,1198.0
2008-11-10,1352.0
2008-11-17,1566.0
2008-11-24,1574.0
2008-12-01,1103.0
2008-12-08,1365.0
2008-12-15,1173.0
2008-12-22,1046.0
2008-12-29,630.0
2009-01-05,985.0
2009-01-12,1378.0
2009-01-19,1566.0
2009-01-26,1943.0
2009-02-02,1643.0
2009-02-09,1536.0
2009-02-16,1469.0
2009-02-23,1811.0
2009-03-02,1780.0
2009-03-09,1606.0
2009-03-16,1467.0
2009-03-23,1361.0
2009-03-30,1235.0
2009-04-06,1218.0
2009-04-13,1021.0
2009-04-20,1068.0
2009-04-27,1061.0
2009-05-04,1049.0
2009-05-11,1015.0
2009-05-18,1211.0
2009-05-25,1062.0
2009-06-01,1791.0
2009-06-08,6161.0
2009-06-15,3861.0
2009-06-22,2396.0
2009-06-29,1293.0
2009-07-06,1166.0
2009-07-13,1119.0
2009-07-20,927.0
2009-07-27,1014.0
2009-08-03,1028.0
2009-08-10,1133.0
2009-08-17,1475.0
2009-08-24,1385.0
2009-08-31,1777.0
2009-09-07,1628.0
2009-09-14,2014.0
2009-09-21,1871.0
2009-09-28,867.0
2009-10-05,1579.0
2009-10-12,1473.0
2009-10-19,823.0
2009-10-26,1571.0
2009-11-02,1427.0
2009-11-09,2048.0
2009-11-16,1768.0
2009-11-23,1456.0
2009-11-30,1083.0
2009-12-07,1338.0
2009-12-14,1306.0
2009-12-21,1032.0
2009-12-28,747.0
2010-01-04,983.0
2010-01-11,1588.0
2010-01-18,1382.0
2010-01-25,1661.0
2010-02-01,1966.0
2010-02-08,1630.0
2010-02-15,1511.0
2010-02-22,1487.0
2010-03-01,1281.0
2010-03-08,1655.0
2010-03-15,2013.0
2010-03-22,1809.0
2010-03-29,1860.0
2010-04-05,1612.0
2010-04-12,1532.0
2010-04-19,1998.0
2010-04-26,1730.0
2010-05-03,1665.0
2010-05-10,1690.0
2010-05-17,1561.0
2010-05-24,1558.0
2010-05-31,1422.0
2010-06-07,1496.0
2010-06-14,1445.0
2010-06-21,11177.0
2010-06-28,2557.0
2010-07-05,1510.0
2010-07-12,618.0
2010-07-19,1279.0
