,pageviews
2007-12-20,28
2007-12-21,17
2007-12-22,28
2007-12-23,20
2007-12-24,23
2007-12-25,19
2007-12-26,17
2007-12-27,9
2007-12-28,16
2007-12-29,12
2007-12-19,18
2007-12-18,21
2007-12-31,15
2007-12-30,10
2007-12-15,21
2007-12-14,17
2007-12-17,24
2007-12-16,15
2007-12-11,29
2007-12-10,39
2007-12-13,30
2007-12-12,19
2008-01-30,38
2008-01-16,23
2008-01-17,36
2008-01-14,17
2008-01-15,20
2008-01-12,18
2008-01-13,18
2008-01-10,33
2008-01-11,15
2008-01-18,26
2008-01-19,19
2008-01-29,30
2008-01-28,34
2008-01-27,15
2008-01-26,24
2008-01-25,26
2008-01-24,19
2008-01-23,32
2008-01-22,25
2008-01-21,18
2008-01-20,17
2008-01-05,19
2008-01-04,17
2008-01-07,8
2008-01-06,16
2008-01-01,11
2008-01-03,28
2008-01-02,24
2008-01-09,30
2008-01-08,27
2008-02-28,0
2008-02-26,26
2008-02-29,26
2008-02-01,25
2008-02-02,20
2008-02-03,12
2008-02-04,13
2008-02-05,28
2008-02-06,24
2008-02-07,25
2008-02-08,21
2008-02-09,28
2008-02-24,30
2008-02-25,25
2008-02-22,16
2008-02-23,26
2008-02-20,21
2008-02-21,30
2008-02-27,42
2008-02-17,26
2008-02-16,26
2008-02-15,22
2008-02-14,13
2008-02-13,30
2008-02-12,22
2008-02-11,18
2008-02-10,17
2008-02-19,16
2008-02-18,16
2008-03-14,29
2008-03-15,29
2008-03-16,28
2008-03-17,38
2008-03-10,43
2008-03-11,23
2008-03-12,39
2008-03-13,44
2008-03-18,20
2008-03-19,36
2008-03-30,25
2008-03-09,24
2008-03-31,30
2008-03-03,0
2008-03-02,22
2008-03-01,0
2008-03-07,21
2008-03-06,29
2008-03-05,43
2008-03-04,0
2008-03-21,26
2008-03-20,18
2008-03-23,17
2008-03-22,20
2008-03-25,50
2008-03-24,28
2008-03-27,43
2008-03-26,28
2008-03-29,18
2008-03-28,23
2008-03-08,35
2008-04-30,32
2008-04-15,37
2008-04-14,21
2008-04-17,34
2008-04-16,43
2008-04-11,34
2008-04-10,23
2008-04-13,16
2008-04-12,24
2008-04-19,20
2008-04-18,37
2008-04-28,28
2008-04-29,36
2008-04-20,23
2008-04-21,31
2008-04-22,35
2008-04-23,32
2008-04-24,29
2008-04-25,18
2008-04-26,30
2008-04-27,28
2008-04-06,24
2008-04-07,29
2008-04-04,31
2008-04-05,32
2008-04-02,65
2008-04-03,46
2008-04-01,56
2008-04-08,34
2008-04-09,37
2008-05-12,36
2008-05-13,32
2008-05-10,23
2008-05-11,33
2008-05-16,33
2008-05-31,19
2008-05-14,34
2008-05-15,38
2008-05-18,26
2008-05-19,37
2008-05-29,31
2008-05-28,35
2008-05-23,59
2008-05-22,38
2008-05-21,40
2008-05-20,22
2008-05-27,42
2008-05-26,36
2008-05-25,22
2008-05-24,26
2008-05-01,25
2008-05-03,34
2008-05-02,43
2008-05-05,29
2008-05-04,26
2008-05-07,30
2008-05-06,19
2008-05-09,29
2008-05-08,41
2008-05-17,29
2008-05-30,28
2008-06-21,37
2008-06-27,31
2008-06-24,26
2008-06-25,24
2008-06-13,27
2008-06-12,25
2008-06-11,22
2008-06-10,44
2008-06-17,32
2008-06-16,20
2008-06-15,25
2008-06-14,32
2008-06-30,24
2008-06-19,23
2008-06-18,21
2008-06-28,19
2008-06-29,18
2008-06-08,19
2008-06-09,25
2008-06-04,26
2008-06-05,33
2008-06-06,15
2008-06-07,34
2008-06-26,22
2008-06-01,0
2008-06-02,0
2008-06-03,34
2008-06-22,20
2008-06-23,16
2008-06-20,28
2008-07-10,31
2008-07-11,17
2008-07-12,21
2008-07-07,18
2008-07-06,13
2008-07-05,23
2008-07-04,20
2008-07-03,30
2008-07-02,31
2008-07-09,25
2008-07-08,17
2008-08-04,30
2008-08-31,30
2008-08-30,20
2008-08-11,16
2008-08-10,11
2008-08-13,16
2008-08-12,30
2008-08-15,26
2008-08-14,21
2008-08-17,34
2008-08-16,26
2008-08-19,15
2008-08-18,25
2008-08-05,27
2008-08-02,28
2008-08-03,20
2008-08-26,22
2008-08-01,26
2008-08-06,24
2008-08-21,24
2008-08-22,39
2008-08-23,15
2008-08-08,23
2008-08-09,13
2008-08-28,22
2008-08-29,30
2008-08-24,18
2008-08-25,28
2008-08-27,37
2008-08-20,30
2008-08-07,22
2008-09-02,36
2008-09-27,23
2008-09-26,35
2008-09-25,38
2008-09-24,40
2008-09-09,23
2008-09-22,33
2008-09-21,22
2008-09-20,29
2008-09-05,34
2008-09-23,47
2008-09-07,32
2008-09-06,27
2008-09-01,28
2008-09-03,43
2008-09-28,91
2008-09-08,24
2008-09-04,27
2008-09-30,28
2008-09-29,153
2008-09-18,31
2008-09-19,34
2008-09-16,33
2008-09-17,35
2008-09-14,17
2008-09-15,30
2008-09-12,42
2008-09-13,36
2008-09-10,25
2008-09-11,28
2008-10-09,52
2008-10-08,33
2008-10-03,25
2008-10-02,34
2008-10-01,38
2008-10-07,34
2008-10-06,27
2008-10-05,19
2008-10-04,23
2008-10-21,0
2008-10-20,31
2008-10-23,38
2008-10-22,0
2008-10-25,28
2008-10-24,41
2008-10-27,37
2008-10-26,31
2008-10-29,36
2008-10-28,40
2008-10-30,40
2008-10-31,27
2008-10-14,65
2008-10-15,36
2008-10-16,34
2008-10-17,46
2008-10-10,43
2008-10-11,37
2008-10-12,96
2008-10-13,68
2008-10-18,31
2008-10-19,36
2008-11-28,24
2008-11-07,41
2008-11-17,36
2008-11-16,54
2008-11-15,21
2008-11-14,27
2008-11-13,38
2008-11-12,33
2008-11-11,31
2008-11-10,33
2008-11-30,22
2008-11-19,34
2008-11-18,28
2008-11-26,35
2008-11-01,20
2008-11-02,36
2008-11-03,41
2008-11-04,30
2008-11-05,39
2008-11-06,25
2008-11-29,29
2008-11-08,26
2008-11-27,26
2008-11-24,49
2008-11-25,49
2008-11-22,62
2008-11-23,56
2008-11-20,35
2008-11-21,40
2008-11-09,27
2008-12-29,29
2008-12-28,18
2008-12-27,12
2008-12-26,32
2008-12-25,19
2008-12-24,17
2008-12-23,29
2008-12-22,19
2008-12-21,30
2008-12-20,23
2008-12-05,29
2008-12-04,25
2008-12-07,28
2008-12-06,20
2008-12-01,22
2008-12-03,28
2008-12-02,21
2008-12-09,33
2008-12-08,27
2008-12-30,20
2008-12-31,17
2008-12-16,21
2008-12-17,32
2008-12-14,27
2008-12-15,33
2008-12-12,27
2008-12-13,28
2008-12-10,32
2008-12-11,18
2008-12-18,38
2008-12-19,20
2009-01-29,31
2009-01-19,23
2009-01-18,27
2009-01-13,26
2009-01-12,27
2009-01-11,31
2009-01-10,16
2009-01-17,18
2009-01-16,17
2009-01-15,22
2009-01-14,40
2009-01-31,35
2009-01-30,47
2009-01-24,29
2009-01-22,19
2009-01-23,28
2009-01-20,32
2009-01-21,26
2009-01-27,22
2009-01-04,20
2009-01-05,44
2009-01-06,28
2009-01-07,17
2009-01-26,31
2009-01-01,18
2009-01-02,22
2009-01-25,28
2009-01-28,31
2009-01-03,12
2009-01-08,21
2009-01-09,36
2009-02-23,53
2009-02-08,24
2009-02-09,32
2009-02-22,22
2009-02-21,25
2009-02-20,33
2009-02-27,40
2009-02-26,28
2009-02-25,45
2009-02-24,52
2009-02-01,28
2009-02-03,33
2009-02-02,31
2009-02-05,37
2009-02-04,42
2009-02-07,22
2009-02-06,22
2009-02-28,39
2009-02-18,39
2009-02-19,24
2009-02-12,34
2009-02-13,39
2009-02-10,34
2009-02-11,25
2009-02-16,27
2009-02-17,59
2009-02-14,28
2009-02-15,26
2009-03-19,39
2009-03-18,36
2009-03-31,38
2009-03-30,33
2009-03-15,25
2009-03-14,32
2009-03-17,30
2009-03-16,32
2009-03-11,31
2009-03-10,31
2009-03-13,28
2009-03-12,37
2009-03-26,29
2009-03-27,20
2009-03-28,25
2009-03-29,25
2009-03-20,29
2009-03-21,28
2009-03-22,15
2009-03-23,44
2009-03-24,51
2009-03-25,42
2009-03-08,25
2009-03-09,36
2009-03-06,24
2009-03-07,15
2009-03-04,36
2009-03-05,36
2009-03-02,61
2009-03-03,58
2009-03-01,40
2009-04-09,30
2009-04-18,29
2009-04-19,40
2009-04-14,29
2009-04-15,36
2009-04-30,24
2009-04-17,61
2009-04-10,32
2009-04-11,26
2009-04-12,18
2009-04-13,27
2009-04-16,50
2009-04-03,33
2009-04-02,26
2009-04-01,29
2009-04-07,38
2009-04-06,35
2009-04-05,21
2009-04-04,32
2009-04-21,28
2009-04-20,26
2009-04-23,38
2009-04-22,43
2009-04-25,30
2009-04-24,26
2009-04-27,40
2009-04-26,22
2009-04-29,29
2009-04-28,32
2009-04-08,33
2009-05-08,26
2009-05-09,29
2009-05-01,38
2009-05-02,18
2009-05-03,27
2009-05-04,58
2009-05-05,29
2009-05-06,34
2009-05-07,43
2009-05-26,25
2009-05-27,26
2009-05-24,30
2009-05-25,44
2009-05-22,31
2009-05-23,21
2009-05-20,52
2009-05-21,44
2009-05-28,37
2009-05-29,31
2009-05-19,39
2009-05-18,42
2009-05-17,30
2009-05-16,27
2009-05-15,45
2009-05-14,48
2009-05-13,34
2009-05-12,32
2009-05-11,24
2009-05-10,27
2009-05-31,32
2009-05-30,26
2009-06-29,41
2009-06-28,28
2009-06-30,23
2009-06-18,40
2009-06-19,23
2009-06-16,30
2009-06-17,29
2009-06-14,22
2009-06-15,34
2009-06-12,29
2009-06-13,20
2009-06-10,27
2009-06-11,30
2009-06-23,33
2009-06-22,21
2009-06-27,17
2009-06-26,24
2009-06-25,26
2009-06-24,27
2009-06-09,32
2009-06-08,37
2009-06-21,25
2009-06-20,22
2009-06-05,31
2009-06-04,41
2009-06-07,29
2009-06-06,38
2009-06-01,27
2009-06-03,28
2009-06-02,34
2009-07-02,28
2009-07-03,17
2009-07-24,38
2009-07-01,25
2009-07-06,32
2009-07-07,22
2009-07-04,22
2009-07-05,31
2009-07-08,32
2009-07-09,31
2009-07-28,34
2009-07-26,20
2009-07-27,24
2009-07-20,28
2009-07-21,28
2009-07-25,22
2009-07-22,24
2009-07-23,32
2009-07-31,27
2009-07-30,28
2009-07-11,19
2009-07-10,22
2009-07-13,32
2009-07-12,23
2009-07-15,26
2009-07-14,24
2009-07-17,33
2009-07-16,34
2009-07-19,20
2009-07-18,21
2009-07-29,28
2009-08-07,38
2009-08-06,31
2009-08-05,40
2009-08-04,23
2009-08-03,28
2009-08-02,30
2009-08-01,25
2009-08-25,36
2009-08-24,25
2009-08-27,53
2009-08-26,44
2009-08-21,35
2009-08-20,30
2009-08-09,21
2009-08-08,22
2009-08-29,32
2009-08-28,33
2009-08-10,38
2009-08-11,34
2009-08-12,36
2009-08-13,30
2009-08-14,19
2009-08-15,16
2009-08-16,19
2009-08-17,25
2009-08-18,17
2009-08-19,27
2009-08-30,37
2009-08-31,41
2009-08-23,32
2009-08-22,40
2009-09-15,34
2009-09-04,34
2009-09-28,50
2009-09-29,25
2009-09-08,28
2009-09-09,29
2009-09-23,0
2009-09-22,35
2009-09-05,32
2009-09-20,35
2009-09-21,35
2009-09-26,0
2009-09-27,0
2009-09-02,47
2009-09-03,44
2009-09-07,40
