,pageviews
2007-12-10,130.0
2007-12-17,558.0
2007-12-24,385.0
2007-12-31,261.0
2008-01-07,404.0
2008-01-14,576.0
2008-01-21,687.0
2008-01-28,742.0
2008-02-04,630.0
2008-02-11,742.0
2008-02-18,728.0
2008-02-25,734.0
2008-03-03,509.0
2008-03-10,638.0
2008-03-17,595.0
2008-03-24,603.0
2008-03-31,569.0
2008-04-07,667.0
2008-04-14,730.0
2008-04-21,757.0
2008-04-28,724.0
2008-05-05,670.0
2008-05-12,616.0
2008-05-19,672.0
2008-05-26,554.0
2008-06-02,489.0
2008-06-09,603.0
2008-06-16,544.0
2008-06-23,565.0
2008-06-30,437.0
2008-07-07,342.0
2008-07-14,300.0
2008-07-21,
2008-07-28,
2008-08-04,177.0
2008-08-11,381.0
2008-08-18,378.0
2008-08-25,448.0
2008-09-01,492.0
2008-09-08,480.0
2008-09-15,698.0
2008-09-22,858.0
2008-09-29,933.0
2008-10-06,948.0
2008-10-13,920.0
2008-10-20,1026.0
2008-10-27,593.0
2008-11-03,814.0
2008-11-10,858.0
2008-11-17,740.0
2008-11-24,789.0
2008-12-01,658.0
2008-12-08,697.0
2008-12-15,713.0
2008-12-22,532.0
2008-12-29,281.0
2009-01-05,375.0
2009-01-12,535.0
2009-01-19,665.0
2009-01-26,715.0
2009-02-02,826.0
2009-02-09,890.0
2009-02-16,855.0
2009-02-23,802.0
2009-03-02,878.0
2009-03-09,727.0
2009-03-16,694.0
2009-03-23,739.0
2009-03-30,607.0
2009-04-06,716.0
2009-04-13,718.0
2009-04-20,749.0
2009-04-27,643.0
2009-05-04,680.0
2009-05-11,646.0
2009-05-18,719.0
2009-05-25,512.0
2009-06-01,521.0
2009-06-08,635.0
2009-06-15,541.0
2009-06-22,457.0
2009-06-29,439.0
2009-07-06,385.0
2009-07-13,423.0
2009-07-20,425.0
2009-07-27,395.0
2009-08-03,397.0
2009-08-10,471.0
2009-08-17,411.0
2009-08-24,474.0
2009-08-31,538.0
2009-09-07,643.0
2009-09-14,821.0
2009-09-21,887.0
2009-09-28,420.0
2009-10-05,891.0
2009-10-12,1040.0
2009-10-19,505.0
2009-10-26,1004.0
2009-11-02,836.0
2009-11-09,1023.0
2009-11-16,825.0
2009-11-23,647.0
2009-11-30,658.0
2009-12-07,753.0
2009-12-14,859.0
2009-12-21,583.0
2009-12-28,402.0
2010-01-04,408.0
2010-01-11,596.0
2010-01-18,639.0
2010-01-25,698.0
2010-02-01,843.0
2010-02-08,755.0
2010-02-15,784.0
2010-02-22,825.0
2010-03-01,684.0
2010-03-08,796.0
2010-03-15,890.0
2010-03-22,827.0
2010-03-29,787.0
2010-04-05,737.0
2010-04-12,753.0
2010-04-19,923.0
2010-04-26,828.0
2010-05-03,831.0
2010-05-10,755.0
2010-05-17,620.0
2010-05-24,679.0
2010-05-31,590.0
2010-06-07,676.0
2010-06-14,374.0
2010-06-21,489.0
2010-06-28,337.0
2010-07-05,335.0
2010-07-12,197.0
2010-07-19,445.0
2010-07-26,497.0
2010-08-02,644.0
2010-08-09,611.0
2010-08-16,649.0
2010-08-23,618.0
2010-08-30,714.0
2010-09-06,833.0
2010-09-13,1056.0
2010-09-20,1189.0
2010-09-27,1181.0
2010-10-04,1269.0
2010-10-11,1265.0
2010-10-18,1317.0
2010-10-25,1375.0
2010-11-01,1277.0
2010-11-08,1230.0
2010-11-15,1159.0
2010-11-22,1078.0
2010-11-29,992.0
2010-12-06,905.0
2010-12-13,1103.0
2010-12-20,896.0
2010-12-27,540.0
2011-01-03,543.0
2011-01-10,788.0
2011-01-17,892.0
2011-01-24,1192.0
2011-01-31,988.0
2011-02-07,1209.0
2011-02-14,1080.0
2011-02-21,993.0
