,pageviews
2007-12-10,15.0
2007-12-17,67.0
2007-12-24,47.0
2007-12-31,33.0
2008-01-07,41.0
2008-01-14,42.0
2008-01-21,73.0
2008-01-28,78.0
2008-02-04,64.0
2008-02-11,80.0
2008-02-18,83.0
2008-02-25,53.0
2008-03-03,42.0
2008-03-10,68.0
2008-03-17,61.0
2008-03-24,45.0
2008-03-31,60.0
2008-04-07,77.0
2008-04-14,74.0
2008-04-21,74.0
2008-04-28,76.0
2008-05-05,61.0
2008-05-12,56.0
2008-05-19,45.0
2008-05-26,52.0
2008-06-02,49.0
2008-06-09,38.0
2008-06-16,59.0
2008-06-23,57.0
2008-06-30,57.0
2008-07-07,36.0
2008-07-14,31.0
2008-07-21,
2008-07-28,
2008-08-04,19.0
2008-08-11,48.0
2008-08-18,54.0
2008-08-25,55.0
2008-09-01,63.0
2008-09-08,58.0
2008-09-15,86.0
2008-09-22,96.0
2008-09-29,86.0
2008-10-06,60.0
2008-10-13,80.0
2008-10-20,68.0
2008-10-27,58.0
2008-11-03,77.0
2008-11-10,73.0
2008-11-17,54.0
2008-11-24,64.0
2008-12-01,76.0
2008-12-08,68.0
2008-12-15,50.0
2008-12-22,53.0
2008-12-29,44.0
2009-01-05,28.0
2009-01-12,51.0
2009-01-19,68.0
2009-01-26,78.0
2009-02-02,89.0
2009-02-09,82.0
2009-02-16,90.0
2009-02-23,80.0
2009-03-02,82.0
2009-03-09,76.0
2009-03-16,75.0
2009-03-23,78.0
2009-03-30,82.0
2009-04-06,78.0
2009-04-13,62.0
2009-04-20,81.0
2009-04-27,65.0
2009-05-04,57.0
2009-05-11,58.0
2009-05-18,55.0
2009-05-25,55.0
2009-06-01,74.0
2009-06-08,70.0
2009-06-15,58.0
2009-06-22,39.0
2009-06-29,38.0
2009-07-06,41.0
2009-07-13,35.0
2009-07-20,51.0
2009-07-27,56.0
2009-08-03,50.0
2009-08-10,47.0
2009-08-17,47.0
2009-08-24,44.0
2009-08-31,58.0
2009-09-07,72.0
2009-09-14,66.0
2009-09-21,86.0
2009-09-28,45.0
2009-10-05,104.0
2009-10-12,85.0
2009-10-19,37.0
2009-10-26,97.0
2009-11-02,72.0
2009-11-09,109.0
2009-11-16,59.0
2009-11-23,51.0
2009-11-30,60.0
2009-12-07,65.0
2009-12-14,81.0
2009-12-21,70.0
2009-12-28,87.0
2010-01-04,58.0
2010-01-11,47.0
2010-01-18,51.0
2010-01-25,52.0
2010-02-01,76.0
2010-02-08,54.0
2010-02-15,68.0
2010-02-22,88.0
2010-03-01,57.0
2010-03-08,63.0
2010-03-15,69.0
2010-03-22,71.0
2010-03-29,71.0
2010-04-05,130.0
2010-04-12,106.0
2010-04-19,132.0
2010-04-26,136.0
2010-05-03,134.0
2010-05-10,110.0
2010-05-17,87.0
2010-05-24,113.0
2010-05-31,87.0
2010-06-07,90.0
2010-06-14,50.0
2010-06-21,90.0
2010-06-28,53.0
2010-07-05,56.0
2010-07-12,23.0
2010-07-19,65.0
2010-07-26,62.0
2010-08-02,110.0
2010-08-09,107.0
2010-08-16,119.0
2010-08-23,113.0
2010-08-30,100.0
2010-09-06,114.0
2010-09-13,135.0
2010-09-20,184.0
2010-09-27,162.0
2010-10-04,185.0
2010-10-11,171.0
2010-10-18,156.0
2010-10-25,190.0
2010-11-01,163.0
2010-11-08,151.0
2010-11-15,125.0
2010-11-22,140.0
2010-11-29,134.0
2010-12-06,127.0
2010-12-13,145.0
2010-12-20,123.0
2010-12-27,74.0
2011-01-03,77.0
2011-01-10,109.0
2011-01-17,125.0
2011-01-24,143.0
2011-01-31,126.0
2011-02-07,149.0
2011-02-14,127.0
2011-02-21,102.0
2011-02-28,120.0
2011-03-07,121.0
2011-03-14,95.0
2011-03-21,128.0
2011-03-28,92.0
2011-04-04,102.0
2011-04-11,107.0
2011-04-18,115.0
2011-04-25,94.0
2011-05-02,112.0
2011-05-09,89.0
2011-05-16,123.0
2011-05-23,109.0
2011-05-30,77.0
2011-06-06,86.0
2011-06-13,56.0
2011-06-20,108.0
2011-06-27,92.0
2011-07-04,211.0
2011-07-11,72.0
2011-07-18,44.0
2011-07-25,39.0
2011-08-01,47.0
2011-08-08,45.0
2011-08-15,66.0
2011-08-22,49.0
2011-08-29,52.0
2011-09-05,39.0
2011-09-12,70.0
2011-09-19,79.0
2011-09-26,79.0
2011-10-03,93.0
2011-10-10,80.0
2011-10-17,100.0
2011-10-24,80.0
2011-10-31,164.0
2011-11-07,111.0
2011-11-14,90.0
2011-11-21,130.0
2011-11-28,109.0
2011-12-05,69.0
2011-12-12,105.0
2011-12-19,95.0
2011-12-26,32.0
2012-01-02,66.0
2012-01-09,70.0
2012-01-16,82.0
2012-01-23,84.0
2012-01-30,64.0
2012-02-06,103.0
2012-02-13,68.0
2012-02-20,65.0
2012-02-27,71.0
2012-03-05,61.0
2012-03-12,62.0
2012-03-19,59.0
2012-03-26,68.0
2012-04-02,57.0
2012-04-09,60.0
2012-04-16,60.0
2012-04-23,65.0
2012-04-30,65.0
2012-05-07,73.0
2012-05-14,79.0
2012-05-21,65.0
2012-05-28,56.0
2012-06-04,60.0
2012-06-11,59.0
2012-06-18,69.0
2012-06-25,51.0
2012-07-02,42.0
2012-07-09,65.0
2012-07-16,56.0
2012-07-23,78.0
2012-07-30,55.0
2012-08-06,76.0
2012-08-13,69.0
2012-08-20,64.0
2012-08-27,72.0
2012-09-03,69.0
2012-09-10,76.0
