,pageviews
2007-12-20,61
2007-12-21,33
2007-12-22,26
2007-12-23,27
2007-12-24,23
2007-12-25,15
2007-12-26,39
2007-12-27,40
2007-12-28,30
2007-12-29,25
2007-12-19,65
2007-12-18,87
2007-12-31,37
2007-12-30,18
2007-12-15,15
2007-12-14,83
2007-12-17,65
2007-12-16,37
2007-12-11,76
2007-12-10,83
2007-12-13,85
2007-12-12,85
2008-01-30,67
2008-01-16,83
2008-01-17,57
2008-01-14,85
2008-01-15,71
2008-01-12,36
2008-01-13,49
2008-01-10,70
2008-01-11,55
2008-01-18,49
2008-01-19,25
2008-01-29,89
2008-01-28,66
2008-01-27,49
2008-01-26,47
2008-01-25,103
2008-01-24,74
2008-01-23,75
2008-01-22,77
2008-01-21,89
2008-01-20,23
2008-01-05,24
2008-01-04,40
2008-01-07,42
2008-01-06,36
2008-01-01,21
2008-01-03,65
2008-01-02,46
2008-01-09,74
2008-01-08,101
2008-02-28,0
2008-02-26,81
2008-02-29,88
2008-02-01,57
2008-02-02,25
2008-02-03,41
2008-02-04,73
2008-02-05,97
2008-02-06,88
2008-02-07,82
2008-02-08,66
2008-02-09,43
2008-02-24,64
2008-02-25,91
2008-02-22,103
2008-02-23,69
2008-02-20,97
2008-02-21,88
2008-02-27,101
2008-02-17,35
2008-02-16,27
2008-02-15,79
2008-02-14,102
2008-02-13,103
2008-02-12,55
2008-02-11,73
2008-02-10,40
2008-02-19,80
2008-02-18,64
2008-03-14,77
2008-03-15,47
2008-03-16,49
2008-03-17,76
2008-03-10,101
2008-03-11,97
2008-03-12,141
2008-03-13,120
2008-03-18,70
2008-03-19,86
2008-03-30,115
2008-03-09,39
2008-03-31,152
2008-03-03,0
2008-03-02,61
2008-03-01,0
2008-03-07,95
2008-03-06,80
2008-03-05,106
2008-03-04,0
2008-03-21,69
2008-03-20,77
2008-03-23,27
2008-03-22,31
2008-03-25,89
2008-03-24,64
2008-03-27,89
2008-03-26,85
2008-03-29,35
2008-03-28,71
2008-03-08,56
2008-04-30,92
2008-04-15,108
2008-04-14,122
2008-04-17,86
2008-04-16,113
2008-04-11,93
2008-04-10,95
2008-04-13,70
2008-04-12,63
2008-04-19,52
2008-04-18,95
2008-04-28,125
2008-04-29,103
2008-04-20,50
2008-04-21,118
2008-04-22,115
2008-04-23,97
2008-04-24,113
2008-04-25,82
2008-04-26,51
2008-04-27,44
2008-04-06,42
2008-04-07,110
2008-04-04,84
2008-04-05,38
2008-04-02,100
2008-04-03,79
2008-04-01,124
2008-04-08,107
2008-04-09,102
