,pageviews
2007-12-31,2539
2008-01-31,4608
2008-02-29,3993
2008-03-31,4451
2008-04-30,4931
2008-05-31,5059
2008-06-30,4125
2008-07-31,1400
2008-08-31,3769
2008-09-30,4509
2008-10-31,4716
2008-11-30,4494
2008-12-31,4035
2009-01-31,4506
2009-02-28,4244
2009-03-31,5243
2009-04-30,5030
2009-05-31,4808
2009-06-30,4697
2009-07-31,4161
2009-08-31,4298
2009-09-30,4284
2009-10-31,5226
2009-11-30,4954
2009-12-31,4155
2010-01-31,4760
2010-02-28,5045
2010-03-31,6574
2010-04-30,6326
2010-05-31,6371
2010-06-30,4277
2010-07-31,4405
2010-08-31,6354
2010-09-30,7230
2010-10-31,7515
2010-11-30,7356
2010-12-31,6338
2011-01-31,6731
2011-02-28,6204
2011-03-31,6608
2011-04-30,5902
2011-05-31,5535
2011-06-30,4960
2011-07-31,4602
2011-08-31,4729
2011-09-30,4464
2011-10-31,5550
2011-11-30,6346
2011-12-31,5001
2012-01-31,5955
2012-02-29,5941
2012-03-31,5947
2012-04-30,5582
2012-05-31,6196
2012-06-30,5330
2012-07-31,5197
2012-08-31,5750
2012-09-30,5992
2012-10-31,6299
2012-11-30,6419
2012-12-31,5618
2013-01-31,6190
2013-02-28,6076
2013-03-31,6385
2013-04-30,5913
2013-05-31,5949
2013-06-30,5587
2013-07-31,4805
2013-08-31,4198
2013-09-30,4981
2013-10-31,5864
2013-11-30,5094
2013-12-31,4853
2014-01-31,4780
2014-02-28,5314
2014-03-31,5718
2014-04-30,5385
2014-05-31,5255
2014-06-30,4518
2014-07-31,4623
2014-08-31,4187
2014-09-30,5219
2014-10-31,5721
2014-11-30,6197
2014-12-31,5304
2015-01-31,5415
2015-02-28,4951
2015-03-31,4620
