,pageviews
2007-12-10,31.0
2007-12-17,272.0
2007-12-24,482.0
2007-12-31,149.0
2008-01-07,316.0
2008-01-14,253.0
2008-01-21,288.0
2008-01-28,195.0
2008-02-04,156.0
2008-02-11,443.0
2008-02-18,237.0
2008-02-25,276.0
2008-03-03,154.0
2008-03-10,357.0
2008-03-17,371.0
2008-03-24,260.0
2008-03-31,311.0
2008-04-07,278.0
2008-04-14,357.0
2008-04-21,296.0
2008-04-28,407.0
2008-05-05,298.0
2008-05-12,283.0
2008-05-19,271.0
2008-05-26,258.0
2008-06-02,220.0
2008-06-09,306.0
2008-06-16,273.0
2008-06-23,329.0
2008-06-30,303.0
2008-07-07,213.0
2008-07-14,215.0
2008-07-21,
2008-07-28,
2008-08-04,112.0
2008-08-11,203.0
2008-08-18,521.0
2008-08-25,320.0
2008-09-01,266.0
2008-09-08,304.0
2008-09-15,457.0
2008-09-22,318.0
2008-09-29,350.0
2008-10-06,273.0
2008-10-13,333.0
2008-10-20,421.0
2008-10-27,256.0
2008-11-03,339.0
2008-11-10,401.0
2008-11-17,351.0
2008-11-24,302.0
2008-12-01,260.0
2008-12-08,275.0
2008-12-15,382.0
2008-12-22,231.0
2008-12-29,299.0
2009-01-05,297.0
2009-01-12,272.0
2009-01-19,334.0
2009-01-26,304.0
2009-02-02,331.0
2009-02-09,326.0
2009-02-16,406.0
2009-02-23,374.0
2009-03-02,756.0
2009-03-09,467.0
2009-03-16,439.0
2009-03-23,401.0
2009-03-30,319.0
2009-04-06,409.0
2009-04-13,475.0
2009-04-20,364.0
2009-04-27,407.0
2009-05-04,287.0
2009-05-11,358.0
2009-05-18,386.0
2009-05-25,329.0
2009-06-01,370.0
2009-06-08,349.0
2009-06-15,313.0
2009-06-22,396.0
2009-06-29,340.0
2009-07-06,261.0
2009-07-13,309.0
2009-07-20,291.0
2009-07-27,290.0
2009-08-03,301.0
2009-08-10,385.0
2009-08-17,316.0
2009-08-24,336.0
2009-08-31,368.0
2009-09-07,341.0
2009-09-14,343.0
2009-09-21,341.0
2009-09-28,166.0
2009-10-05,385.0
2009-10-12,396.0
2009-10-19,437.0
2009-10-26,449.0
2009-11-02,450.0
2009-11-09,386.0
2009-11-16,329.0
2009-11-23,289.0
2009-11-30,362.0
2009-12-07,477.0
2009-12-14,343.0
2009-12-21,322.0
2009-12-28,269.0
2010-01-04,306.0
2010-01-11,410.0
2010-01-18,390.0
2010-01-25,322.0
2010-02-01,892.0
2010-02-08,781.0
2010-02-15,458.0
2010-02-22,500.0
2010-03-01,326.0
2010-03-08,466.0
2010-03-15,1039.0
2010-03-22,532.0
2010-03-29,416.0
2010-04-05,423.0
2010-04-12,340.0
2010-04-19,417.0
2010-04-26,378.0
2010-05-03,348.0
2010-05-10,347.0
2010-05-17,332.0
2010-05-24,358.0
2010-05-31,277.0
2010-06-07,333.0
2010-06-14,222.0
2010-06-21,244.0
2010-06-28,180.0
2010-07-05,2109.0
2010-07-12,278.0
2010-07-19,512.0
2010-07-26,447.0
2010-08-02,1528.0
2010-08-09,706.0
2010-08-16,587.0
2010-08-23,567.0
