,pageviews
2007-12-10,516.0
2007-12-17,2958.0
2007-12-24,1589.0
2007-12-31,935.0
2008-01-07,3176.0
2008-01-14,3801.0
2008-01-21,3590.0
2008-01-28,4176.0
2008-02-04,3921.0
2008-02-11,4635.0
2008-02-18,4205.0
2008-02-25,4816.0
2008-03-03,3269.0
2008-03-10,3795.0
2008-03-17,4659.0
2008-03-24,3370.0
2008-03-31,4261.0
2008-04-07,4249.0
2008-04-14,4108.0
2008-04-21,4463.0
2008-04-28,5236.0
2008-05-05,4766.0
2008-05-12,4744.0
2008-05-19,4759.0
2008-05-26,3860.0
2008-06-02,2693.0
2008-06-09,3201.0
2008-06-16,2619.0
2008-06-23,2430.0
2008-06-30,2150.0
2008-07-07,1502.0
2008-07-14,1148.0
2008-07-21,
2008-07-28,
2008-08-04,776.0
2008-08-11,1699.0
2008-08-18,1855.0
2008-08-25,1963.0
2008-09-01,1851.0
2008-09-08,2127.0
2008-09-15,2392.0
2008-09-22,2369.0
2008-09-29,2359.0
2008-10-06,2820.0
2008-10-13,2531.0
2008-10-20,1921.0
2008-10-27,1063.0
2008-11-03,1655.0
2008-11-10,2128.0
2008-11-17,2876.0
2008-11-24,2575.0
2008-12-01,2448.0
2008-12-08,2790.0
2008-12-15,2307.0
2008-12-22,1734.0
2008-12-29,1013.0
2009-01-05,1577.0
2009-01-12,2906.0
2009-01-19,2926.0
2009-01-26,3428.0
2009-02-02,3815.0
2009-02-09,3958.0
2009-02-16,3637.0
2009-02-23,3891.0
2009-03-02,4367.0
2009-03-09,4153.0
2009-03-16,3928.0
2009-03-23,3660.0
2009-03-30,3870.0
2009-04-06,3597.0
2009-04-13,2889.0
2009-04-20,3052.0
2009-04-27,3417.0
2009-05-04,3158.0
2009-05-11,3574.0
2009-05-18,3670.0
2009-05-25,3073.0
2009-06-01,3015.0
2009-06-08,2561.0
2009-06-15,2159.0
2009-06-22,1783.0
2009-06-29,1526.0
2009-07-06,1437.0
2009-07-13,1433.0
2009-07-20,1531.0
2009-07-27,1527.0
2009-08-03,1516.0
2009-08-10,1497.0
2009-08-17,1492.0
2009-08-24,1541.0
2009-08-31,1745.0
2009-09-07,1820.0
2009-09-14,2040.0
2009-09-21,2109.0
2009-09-28,1030.0
2009-10-05,2347.0
2009-10-12,2598.0
2009-10-19,1494.0
2009-10-26,2453.0
2009-11-02,2322.0
2009-11-09,2918.0
2009-11-16,2620.0
2009-11-23,2210.0
2009-11-30,2042.0
2009-12-07,2337.0
2009-12-14,2384.0
2009-12-21,1846.0
2009-12-28,1103.0
2010-01-04,1427.0
2010-01-11,2989.0
2010-01-18,3079.0
2010-01-25,2549.0
2010-02-01,3330.0
2010-02-08,3224.0
2010-02-15,3191.0
2010-02-22,3463.0
2010-03-01,3124.0
2010-03-08,3605.0
2010-03-15,3889.0
2010-03-22,3865.0
2010-03-29,3942.0
2010-04-05,3428.0
2010-04-12,3561.0
2010-04-19,4251.0
2010-04-26,4208.0
2010-05-03,4293.0
2010-05-10,4247.0
2010-05-17,3850.0
2010-05-24,3520.0
2010-05-31,3270.0
2010-06-07,3318.0
2010-06-14,1828.0
2010-06-21,2192.0
2010-06-28,1212.0
2010-07-05,1581.0
2010-07-12,692.0
2010-07-19,1713.0
2010-07-26,2559.0
2010-08-02,2621.0
2010-08-09,2632.0
2010-08-16,2597.0
2010-08-23,2462.0
2010-08-30,2467.0
2010-09-06,2844.0
2010-09-13,2867.0
2010-09-20,2930.0
2010-09-27,3041.0
2010-10-04,3149.0
2010-10-11,3218.0
2010-10-18,3470.0
2010-10-25,3050.0
2010-11-01,2949.0
2010-11-08,3164.0
