,pageviews
2007-12-31,1203
2008-01-31,2209
2008-02-29,2196
2008-03-31,1972
2008-04-30,2589
2008-05-31,2435
2008-06-30,2022
2008-07-31,890
2008-08-31,1748
2008-09-30,2349
2008-10-31,2316
2008-11-30,2562
2008-12-31,2086
2009-01-31,2462
2009-02-28,2629
2009-03-31,2837
2009-04-30,2617
2009-05-31,2587
2009-06-30,2480
2009-07-31,2148
2009-08-31,2171
2009-09-30,2532
2009-10-31,2798
2009-11-30,2971
2009-12-31,2511
2010-01-31,2723
2010-02-28,3241
2010-03-31,4213
2010-04-30,4096
2010-05-31,3859
2010-06-30,2668
2010-07-31,2602
2010-08-31,4106
2010-09-30,4138
2010-10-31,4465
2010-11-30,4176
2010-12-31,3622
2011-01-31,3956
2011-02-28,3833
2011-03-31,4009
2011-04-30,3241
2011-05-31,3373
2011-06-30,3048
2011-07-31,2385
2011-08-31,3108
2011-09-30,2825
2011-10-31,3515
2011-11-30,3985
2011-12-31,2995
2012-01-31,3896
2012-02-29,3657
2012-03-31,3639
2012-04-30,3363
2012-05-31,3463
2012-06-30,3349
2012-07-31,2989
2012-08-31,2889
2012-09-30,3471
2012-10-31,4304
2012-11-30,4143
2012-12-31,3298
2013-01-31,3690
2013-02-28,3763
2013-03-31,3746
2013-04-30,4021
2013-05-31,3805
2013-06-30,3523
2013-07-31,2881
2013-08-31,2868
2013-09-30,3623
2013-10-31,3757
2013-11-30,3243
2013-12-31,3200
2014-01-31,3210
2014-02-28,3111
2014-03-31,3819
2014-04-30,3632
2014-05-31,3407
2014-06-30,2921
2014-07-31,2828
2014-08-31,2766
2014-09-30,3599
2014-10-31,3719
2014-11-30,3774
2014-12-31,3363
2015-01-31,3576
2015-02-28,3488
2015-03-31,3082
