,pageviews
2007-12-31,51301
2008-01-31,108991
2008-02-29,108226
2008-03-31,102055
2008-04-30,119239
2008-05-31,127981
2008-06-30,103306
2008-07-31,26529
2008-08-31,74807
2008-09-30,117519
2008-10-31,115455
2008-11-30,119900
2008-12-31,98525
2009-01-31,130450
2009-02-28,134786
2009-03-31,141342
2009-04-30,121875
2009-05-31,141946
2009-06-30,126125
2009-07-31,90319
2009-08-31,95216
2009-09-30,126820
2009-10-31,129560
2009-11-30,128193
2009-12-31,106252
2010-01-31,135425
2010-02-28,124008
2010-03-31,140859
2010-04-30,126820
2010-05-31,138484
2010-06-30,99674
2010-07-31,73885
2010-08-31,122140
2010-09-30,162267
2010-10-31,159263
2010-11-30,159509
2010-12-31,138199
2011-01-31,178705
2011-02-28,155486
2011-03-31,154005
2011-04-30,125658
2011-05-31,152238
2011-06-30,140988
2011-07-31,104600
2011-08-31,113265
2011-09-30,120117
2011-10-31,139985
2011-11-30,144264
2011-12-31,111558
2012-01-31,153692
2012-02-29,153352
2012-03-31,153033
2012-04-30,114289
2012-05-31,164276
2012-06-30,152373
2012-07-31,118329
2012-08-31,134183
2012-09-30,162696
2012-10-31,164782
2012-11-30,162700
2012-12-31,136391
2013-01-31,183903
2013-02-28,178952
2013-03-31,172150
2013-04-30,173072
2013-05-31,188550
2013-06-30,160851
2013-07-31,112248
2013-08-31,117716
2013-09-30,136219
2013-10-31,217309
2013-11-30,140033
2013-12-31,106127
2014-01-31,99298
2014-02-28,98762
2014-03-31,101684
2014-04-30,93167
2014-05-31,114966
2014-06-30,97103
2014-07-31,73611
2014-08-31,80424
2014-09-30,106054
2014-10-31,102147
2014-11-30,87868
2014-12-31,74782
2015-01-31,100558
2015-02-28,76938
2015-03-31,68173
