,pageviews
2007-12-10,498.0
2007-12-17,2806.0
2007-12-24,1410.0
2007-12-31,1053.0
2008-01-07,2152.0
2008-01-14,3320.0
2008-01-21,3216.0
2008-01-28,3556.0
2008-02-04,3163.0
2008-02-11,3960.0
2008-02-18,3760.0
2008-02-25,3771.0
2008-03-03,2480.0
2008-03-10,3276.0
2008-03-17,2869.0
2008-03-24,2429.0
2008-03-31,2950.0
2008-04-07,3658.0
2008-04-14,4154.0
2008-04-21,3790.0
2008-04-28,3656.0
2008-05-05,3535.0
2008-05-12,3495.0
2008-05-19,3388.0
2008-05-26,3099.0
2008-06-02,2379.0
2008-06-09,2635.0
2008-06-16,2489.0
2008-06-23,2258.0
2008-06-30,1832.0
2008-07-07,489.0
2008-07-14,334.0
2008-07-21,
2008-07-28,
2008-08-04,727.0
2008-08-11,1365.0
2008-08-18,1586.0
2008-08-25,1799.0
2008-09-01,2264.0
2008-09-08,3277.0
2008-09-15,3969.0
2008-09-22,3193.0
2008-09-29,2945.0
2008-10-06,3185.0
2008-10-13,3497.0
2008-10-20,3442.0
2008-10-27,2364.0
2008-11-03,3485.0
2008-11-10,3473.0
2008-11-17,3936.0
2008-11-24,4081.0
2008-12-01,3080.0
2008-12-08,4145.0
2008-12-15,3857.0
2008-12-22,2557.0
2008-12-29,1304.0
2009-01-05,2164.0
2009-01-12,3968.0
2009-01-19,3940.0
2009-01-26,4325.0
2009-02-02,4600.0
2009-02-09,4888.0
2009-02-16,4928.0
2009-02-23,5505.0
2009-03-02,5521.0
2009-03-09,5202.0
2009-03-16,4908.0
2009-03-23,4645.0
2009-03-30,4567.0
2009-04-06,4355.0
2009-04-13,3594.0
2009-04-20,4105.0
2009-04-27,4244.0
2009-05-04,4149.0
2009-05-11,4097.0
2009-05-18,4591.0
2009-05-25,4022.0
2009-06-01,4398.0
2009-06-08,3817.0
2009-06-15,3496.0
2009-06-22,3127.0
2009-06-29,2794.0
2009-07-06,2598.0
2009-07-13,2548.0
2009-07-20,2272.0
2009-07-27,2282.0
2009-08-03,2397.0
2009-08-10,2418.0
2009-08-17,2205.0
2009-08-24,2347.0
2009-08-31,2974.0
2009-09-07,3847.0
2009-09-14,4363.0
2009-09-21,4340.0
2009-09-28,2171.0
2009-10-05,4817.0
2009-10-12,4384.0
2009-10-19,2235.0
2009-10-26,4504.0
2009-11-02,3940.0
2009-11-09,4928.0
2009-11-16,4147.0
2009-11-23,3872.0
2009-11-30,3269.0
2009-12-07,4638.0
2009-12-14,4384.0
2009-12-21,3575.0
2009-12-28,2031.0
2010-01-04,2257.0
2010-01-11,4639.0
2010-01-18,4686.0
2010-01-25,4624.0
2010-02-01,5836.0
2010-02-08,5364.0
2010-02-15,5525.0
2010-02-22,5903.0
2010-03-01,4742.0
2010-03-08,5834.0
2010-03-15,5302.0
2010-03-22,4974.0
2010-03-29,5470.0
2010-04-05,4071.0
2010-04-12,4615.0
2010-04-19,5369.0
2010-04-26,5034.0
2010-05-03,5767.0
2010-05-10,5359.0
2010-05-17,4861.0
2010-05-24,4785.0
2010-05-31,3984.0
2010-06-07,4552.0
2010-06-14,2725.0
2010-06-21,3040.0
2010-06-28,1894.0
2010-07-05,2317.0
2010-07-12,1068.0
2010-07-19,2297.0
2010-07-26,2965.0
2010-08-02,3652.0
2010-08-09,3285.0
2010-08-16,3375.0
2010-08-23,3514.0
2010-08-30,3841.0
2010-09-06,4278.0
2010-09-13,4954.0
2010-09-20,5082.0
2010-09-27,4749.0
2010-10-04,5371.0
2010-10-11,5064.0
2010-10-18,5070.0
2010-10-25,5344.0
2010-11-01,5220.0
2010-11-08,5544.0
2010-11-15,5327.0
2010-11-22,5564.0
2010-11-29,4898.0
2010-12-06,6597.0
2010-12-13,6391.0
2010-12-20,4982.0
2010-12-27,2693.0
2011-01-03,3045.0
2011-01-10,6656.0
2011-01-17,6539.0
2011-01-24,7291.0
2011-01-31,6494.0
2011-02-07,6019.0
2011-02-14,6463.0
2011-02-21,6463.0
2011-02-28,6408.0
2011-03-07,7008.0
2011-03-14,6124.0
2011-03-21,5720.0
2011-03-28,6220.0
2011-04-04,6073.0
2011-04-11,5903.0
2011-04-18,5427.0
2011-04-25,4751.0
2011-05-02,5856.0
2011-05-09,5948.0
2011-05-16,5879.0
2011-05-23,5837.0
2011-05-30,5425.0
2011-06-06,5355.0
2011-06-13,4887.0
2011-06-20,4525.0
2011-06-27,4396.0
2011-07-04,3562.0
2011-07-11,3816.0
2011-07-18,3595.0
2011-07-25,3420.0
2011-08-01,3381.0
2011-08-08,3568.0
2011-08-15,3225.0
2011-08-22,5297.0
2011-08-29,4149.0
2011-09-05,3328.0
2011-09-12,4748.0
2011-09-19,4608.0
2011-09-26,4285.0
2011-10-03,4829.0
2011-10-10,4868.0
2011-10-17,5479.0
2011-10-24,4222.0
2011-10-31,5630.0
2011-11-07,6056.0
2011-11-14,5964.0
2011-11-21,5984.0
2011-11-28,5146.0
2011-12-05,6786.0
2011-12-12,6945.0
2011-12-19,5147.0
2011-12-26,1719.0
2012-01-02,2593.0
2012-01-09,5674.0
2012-01-16,6658.0
2012-01-23,7183.0
2012-01-30,8147.0
2012-02-06,8272.0
2012-02-13,7777.0
2012-02-20,7365.0
2012-02-27,7844.0
2012-03-05,7977.0
2012-03-12,7548.0
2012-03-19,6576.0
2012-03-26,5907.0
2012-04-02,5463.0
2012-04-09,4492.0
2012-04-16,5638.0
2012-04-23,6382.0
2012-04-30,5647.0
2012-05-07,7170.0
2012-05-14,6914.0
2012-05-21,7067.0
2012-05-28,6522.0
2012-06-04,6411.0
2012-06-11,5951.0
2012-06-18,5507.0
2012-06-25,4878.0
2012-07-02,4482.0
2012-07-09,3952.0
2012-07-16,4113.0
2012-07-23,3819.0
2012-07-30,3884.0
2012-08-06,3902.0
2012-08-13,3813.0
2012-08-20,3889.0
2012-08-27,4198.0
2012-09-03,4760.0
2012-09-10,6186.0
2012-09-17,5882.0
2012-09-24,5390.0
2012-10-01,5773.0
2012-10-08,6174.0
2012-10-15,7049.0
2012-10-22,5984.0
2012-10-29,6109.0
2012-11-05,6031.0
2012-11-12,6539.0
2012-11-19,6727.0
2012-11-26,5220.0
2012-12-03,7690.0
2012-12-10,7861.0
2012-12-17,6844.0
2012-12-24,4233.0
2012-12-31,2631.0
2013-01-07,4892.0
2013-01-14,8171.0
2013-01-21,8181.0
2013-01-28,8813.0
2013-02-04,10254.0
2013-02-11,10117.0
2013-02-18,9099.0
2013-02-25,8659.0
2013-03-04,8772.0
2013-03-11,8354.0
2013-03-18,7479.0
2013-03-25,8125.0
2013-04-01,6256.0
2013-04-08,7529.0
2013-04-15,8332.0
2013-04-22,7893.0
2013-04-29,7914.0
2013-05-06,8183.0
2013-05-13,9855.0
2013-05-20,8616.0
2013-05-27,7759.0
2013-06-03,7369.0
2013-06-10,6831.0
2013-06-17,5988.0
2013-06-24,5945.0
2013-07-01,5237.0
2013-07-08,4192.0
2013-07-15,4475.0
2013-07-22,4442.0
2013-07-29,2838.0
2013-08-05,3659.0
2013-08-12,3739.0
2013-08-19,3879.0
2013-08-26,3960.0
2013-09-02,4307.0
2013-09-09,5274.0
2013-09-16,5312.0
2013-09-23,5317.0
