,pageviews
2007-12-31,10327
2008-01-31,23148
2008-02-29,23776
2008-03-31,20819
2008-04-30,20090
2008-05-31,20498
2008-06-30,15857
2008-07-31,4881
2008-08-31,14645
2008-09-30,23950
2008-10-31,23430
2008-11-30,22900
2008-12-31,20740
2009-01-31,27430
2009-02-28,29867
2009-03-31,31982
2009-04-30,25006
2009-05-31,26016
2009-06-30,20098
2009-07-31,17173
2009-08-31,18893
2009-09-30,24802
2009-10-31,28609
2009-11-30,26563
2009-12-31,21704
2010-01-31,27813
2010-02-28,26384
2010-03-31,32289
2010-04-30,28571
2010-05-31,27101
2010-06-30,16745
2010-07-31,15650
2010-08-31,25021
2010-09-30,32746
2010-10-31,35002
2010-11-30,34067
2010-12-31,30457
2011-01-31,39509
2011-02-28,29498
2011-03-31,29918
2011-04-30,21524
2011-05-31,24540
2011-06-30,20228
2011-07-31,17533
2011-08-31,20210
2011-09-30,23300
2011-10-31,30111
2011-11-30,37605
2011-12-31,28610
2012-01-31,45213
2012-02-29,39145
2012-03-31,31440
2012-04-30,22630
2012-05-31,26561
2012-06-30,24571
2012-07-31,22688
2012-08-31,23227
2012-09-30,30316
2012-10-31,36826
2012-11-30,36749
2012-12-31,29695
2013-01-31,43788
2013-02-28,44137
2013-03-31,42425
2013-04-30,38272
2013-05-31,37286
2013-06-30,28603
2013-07-31,22185
2013-08-31,21980
2013-09-30,22163
2013-10-31,31620
2013-11-30,29563
2013-12-31,20976
2014-01-31,20116
2014-02-28,20033
2014-03-31,20028
2014-04-30,17698
2014-05-31,16936
2014-06-30,14286
2014-07-31,12438
2014-08-31,12748
2014-09-30,18328
2014-10-31,18467
2014-11-30,18023
2014-12-31,14132
2015-01-31,16803
2015-02-28,14242
2015-03-31,13369
