,pageviews
2007-12-31,22154
2008-01-31,52440
2008-02-29,60489
2008-03-31,56499
2008-04-30,61941
2008-05-31,51354
2008-06-30,30443
2008-07-31,8283
2008-08-31,30401
2008-09-30,63997
2008-10-31,51567
2008-11-30,48005
2008-12-31,40213
2009-01-31,70643
2009-02-28,72017
2009-03-31,79677
2009-04-30,63920
2009-05-31,53914
2009-06-30,34070
2009-07-31,26416
2009-08-31,33546
2009-09-30,60098
2009-10-31,56336
2009-11-30,53028
2009-12-31,40848
2010-01-31,60177
2010-02-28,60220
2010-03-31,74177
2010-04-30,61316
2010-05-31,50358
2010-06-30,26992
2010-07-31,23690
2010-08-31,44809
2010-09-30,77591
2010-10-31,72669
2010-11-30,67298
2010-12-31,57047
2011-01-31,82597
2011-02-28,68175
2011-03-31,81197
2011-04-30,56005
2011-05-31,55825
2011-06-30,35245
2011-07-31,29276
2011-08-31,38543
2011-09-30,59005
2011-10-31,64970
2011-11-30,69703
2011-12-31,51246
2012-01-31,82874
2012-02-29,89182
2012-03-31,83353
2012-04-30,58388
2012-05-31,68016
2012-06-30,45015
2012-07-31,38484
2012-08-31,49877
2012-09-30,79015
2012-10-31,82246
2012-11-30,74905
2012-12-31,58911
2013-01-31,96821
2013-02-28,92876
2013-03-31,88559
2013-04-30,69886
2013-05-31,50571
2013-06-30,48783
2013-07-31,33787
2013-08-31,38008
2013-09-30,48236
2013-10-31,63268
2013-11-30,63483
2013-12-31,47250
2014-01-31,43138
2014-02-28,43479
2014-03-31,49920
2014-04-30,41472
2014-05-31,37516
2014-06-30,24018
2014-07-31,19565
2014-08-31,21995
2014-09-30,31748
2014-10-31,28624
2014-11-30,22321
2014-12-31,18438
2015-01-31,21663
2015-02-28,23610
2015-03-31,18606
