,pageviews
2007-12-10,1665.0
2007-12-17,10320.0
2007-12-24,6417.0
2007-12-31,3752.0
2008-01-07,7648.0
2008-01-14,13443.0
2008-01-21,12438.0
2008-01-28,13583.0
2008-02-04,11627.0
2008-02-11,16889.0
2008-02-18,13351.0
2008-02-25,14854.0
2008-03-03,10659.0
2008-03-10,13477.0
2008-03-17,15618.0
2008-03-24,11687.0
2008-03-31,14154.0
2008-04-07,15231.0
2008-04-14,13911.0
2008-04-21,13795.0
2008-04-28,13771.0
2008-05-05,13367.0
2008-05-12,12767.0
2008-05-19,12990.0
2008-05-26,10021.0
2008-06-02,7442.0
2008-06-09,9235.0
2008-06-16,7738.0
2008-06-23,7154.0
2008-06-30,6316.0
2008-07-07,4342.0
2008-07-14,3941.0
2008-07-21,
2008-07-28,
2008-08-04,2680.0
2008-08-11,5647.0
2008-08-18,6097.0
2008-08-25,7872.0
2008-09-01,9262.0
2008-09-08,13861.0
2008-09-15,16805.0
2008-09-22,16290.0
2008-09-29,13858.0
2008-10-06,12836.0
2008-10-13,13430.0
2008-10-20,13056.0
2008-10-27,7134.0
2008-11-03,11195.0
2008-11-10,11945.0
2008-11-17,12958.0
2008-11-24,12078.0
2008-12-01,8752.0
2008-12-08,12111.0
2008-12-15,12542.0
2008-12-22,8697.0
2008-12-29,3665.0
2009-01-05,6226.0
2009-01-12,23931.0
2009-01-19,14862.0
2009-01-26,14693.0
2009-02-02,16508.0
2009-02-09,18123.0
2009-02-16,16842.0
2009-02-23,17995.0
2009-03-02,19646.0
2009-03-09,18827.0
2009-03-16,18471.0
2009-03-23,17166.0
2009-03-30,17211.0
2009-04-06,15910.0
2009-04-13,12623.0
2009-04-20,17038.0
2009-04-27,14283.0
2009-05-04,13898.0
2009-05-11,13089.0
2009-05-18,14040.0
2009-05-25,10836.0
2009-06-01,11069.0
2009-06-08,9601.0
2009-06-15,8466.0
2009-06-22,7172.0
2009-06-29,6123.0
2009-07-06,5359.0
2009-07-13,5602.0
2009-07-20,6008.0
2009-07-27,6289.0
2009-08-03,6595.0
2009-08-10,6301.0
2009-08-17,6616.0
2009-08-24,7507.0
2009-08-31,10689.0
2009-09-07,13253.0
2009-09-14,15796.0
2009-09-21,17927.0
2009-09-28,7692.0
2009-10-05,15006.0
2009-10-12,14964.0
2009-10-19,7984.0
2009-10-26,13692.0
2009-11-02,13581.0
2009-11-09,15233.0
2009-11-16,13479.0
2009-11-23,11840.0
2009-11-30,9015.0
2009-12-07,12269.0
2009-12-14,12438.0
2009-12-21,9211.0
2009-12-28,4427.0
2010-01-04,6468.0
2010-01-11,14742.0
2010-01-18,14616.0
2010-01-25,12748.0
2010-02-01,16728.0
2010-02-08,15529.0
2010-02-15,13998.0
2010-02-22,16392.0
2010-03-01,13946.0
2010-03-08,17638.0
2010-03-15,17596.0
2010-03-22,16168.0
2010-03-29,15541.0
2010-04-05,12005.0
2010-04-12,13188.0
2010-04-19,16014.0
2010-04-26,15287.0
2010-05-03,14521.0
2010-05-10,13730.0
2010-05-17,11754.0
2010-05-24,10474.0
2010-05-31,9668.0
2010-06-07,9552.0
2010-06-14,5342.0
2010-06-21,6389.0
2010-06-28,3811.0
2010-07-05,4537.0
2010-07-12,2266.0
2010-07-19,5981.0
2010-07-26,7160.0
2010-08-02,8093.0
2010-08-09,8127.0
2010-08-16,8692.0
2010-08-23,9712.0
2010-08-30,13195.0
2010-09-06,14243.0
2010-09-13,17292.0
2010-09-20,21205.0
2010-09-27,18300.0
2010-10-04,17291.0
2010-10-11,17224.0
2010-10-18,17848.0
2010-10-25,16094.0
2010-11-01,15859.0
2010-11-08,17164.0
2010-11-15,15554.0
2010-11-22,16449.0
2010-11-29,12344.0
2010-12-06,17272.0
2010-12-13,18068.0
2010-12-20,13913.0
2010-12-27,6958.0
2011-01-03,8719.0
2011-01-10,20345.0
2011-01-17,19599.0
2011-01-24,20072.0
2011-01-31,18023.0
2011-02-07,16171.0
2011-02-14,17425.0
2011-02-21,17012.0
2011-02-28,17567.0
2011-03-07,19513.0
2011-03-14,18812.0
2011-03-21,16161.0
2011-03-28,16900.0
2011-04-04,16387.0
2011-04-11,14544.0
2011-04-18,13585.0
2011-04-25,10850.0
2011-05-02,14014.0
2011-05-09,14407.0
2011-05-16,13880.0
2011-05-23,12430.0
2011-05-30,9725.0
2011-06-06,10012.0
2011-06-13,8996.0
2011-06-20,7505.0
2011-06-27,7334.0
2011-07-04,6754.0
