,pageviews
2007-12-31,2050
2008-01-31,6319
2008-02-29,7867
2008-03-31,7575
2008-04-30,9315
2008-05-31,10277
2008-06-30,6994
2008-07-31,2138
2008-08-31,6619
2008-09-30,12071
2008-10-31,12278
2008-11-30,6096
2008-12-31,3056
2009-01-31,3732
2009-02-28,5507
2009-03-31,4949
2009-04-30,6314
2009-05-31,6842
2009-06-30,7101
2009-07-31,5546
2009-08-31,6000
2009-09-30,8682
2009-10-31,10491
2009-11-30,9727
2009-12-31,7516
2010-01-31,10012
2010-02-28,9461
2010-03-31,11925
2010-04-30,10454
2010-05-31,10165
2010-06-30,7236
2010-07-31,6393
2010-08-31,10416
2010-09-30,14321
2010-10-31,14141
2010-11-30,13945
2010-12-31,11677
2011-01-31,16067
2011-02-28,15843
2011-03-31,16871
2011-04-30,14700
2011-05-31,14847
2011-06-30,12480
2011-07-31,9802
2011-08-31,11247
2011-09-30,13982
2011-10-31,16661
2011-11-30,20761
2011-12-31,15708
2012-01-31,25571
2012-02-29,24461
2012-03-31,20778
2012-04-30,18220
2012-05-31,20638
2012-06-30,17058
2012-07-31,14809
2012-08-31,16278
2012-09-30,21984
2012-10-31,23854
2012-11-30,23953
2012-12-31,18932
2013-01-31,28715
2013-02-28,25617
2013-03-31,26598
2013-04-30,25154
2013-05-31,24220
2013-06-30,19141
2013-07-31,14458
2013-08-31,14365
2013-09-30,15211
2013-10-31,17304
2013-11-30,18960
2013-12-31,17364
2014-01-31,17595
2014-02-28,17360
2014-03-31,16880
2014-04-30,14296
2014-05-31,14357
2014-06-30,10758
2014-07-31,9553
2014-08-31,10370
2014-09-30,13773
2014-10-31,12427
2014-11-30,11228
2014-12-31,9034
2015-01-31,11929
2015-02-28,11401
2015-03-31,9646
