,pageviews
2007-12-20,33
2007-12-21,16
2007-12-22,12
2007-12-23,17
2007-12-24,29
2007-12-25,15
2007-12-26,17
2007-12-27,36
2007-12-28,22
2007-12-29,20
2007-12-19,36
2007-12-18,42
2007-12-31,20
2007-12-30,23
2007-12-15,20
2007-12-14,29
2007-12-17,26
2007-12-16,37
2007-12-11,46
2007-12-10,62
2007-12-13,36
2007-12-12,57
2008-01-30,75
2008-01-16,49
2008-01-17,52
2008-01-14,48
2008-01-15,46
2008-01-12,29
2008-01-13,41
2008-01-10,46
2008-01-11,36
2008-01-18,37
2008-01-19,37
2008-01-29,63
2008-01-28,75
2008-01-27,24
2008-01-26,34
2008-01-25,63
2008-01-24,55
2008-01-23,39
2008-01-22,49
2008-01-21,53
2008-01-20,40
2008-01-05,15
2008-01-04,33
2008-01-07,42
2008-01-06,33
2008-01-01,17
2008-01-03,46
2008-01-02,31
2008-01-09,55
2008-01-08,45
2008-02-28,0
2008-02-26,66
2008-02-29,56
2008-02-01,43
2008-02-02,34
2008-02-03,42
2008-02-04,37
2008-02-05,40
2008-02-06,44
2008-02-07,56
2008-02-08,32
2008-02-09,29
2008-02-24,43
2008-02-25,70
2008-02-22,47
2008-02-23,43
2008-02-20,56
2008-02-21,56
2008-02-27,75
2008-02-17,33
2008-02-16,30
2008-02-15,54
2008-02-14,48
2008-02-13,64
2008-02-12,46
2008-02-11,52
2008-02-10,35
2008-02-19,61
2008-02-18,52
2008-03-14,63
2008-03-15,49
2008-03-16,57
2008-03-17,54
2008-03-10,74
2008-03-11,75
2008-03-12,74
2008-03-13,69
2008-03-18,45
2008-03-19,42
2008-03-30,40
2008-03-09,48
2008-03-31,44
2008-03-03,0
2008-03-02,86
2008-03-01,0
2008-03-07,42
2008-03-06,67
2008-03-05,78
2008-03-04,0
2008-03-21,38
2008-03-20,40
2008-03-23,36
2008-03-22,36
2008-03-25,57
2008-03-24,52
2008-03-27,39
2008-03-26,50
2008-03-29,36
2008-03-28,50
2008-03-08,56
2008-04-30,49
2008-04-15,50
2008-04-14,59
2008-04-17,73
2008-04-16,67
2008-04-11,58
2008-04-10,58
2008-04-13,23
2008-04-12,29
2008-04-19,22
2008-04-18,42
2008-04-28,48
2008-04-29,60
2008-04-20,40
2008-04-21,67
2008-04-22,64
2008-04-23,53
2008-04-24,46
2008-04-25,44
2008-04-26,29
2008-04-27,37
2008-04-06,39
2008-04-07,61
2008-04-04,42
2008-04-05,48
2008-04-02,43
2008-04-03,60
2008-04-01,51
2008-04-08,63
2008-04-09,70
2008-05-12,55
2008-05-13,60
2008-05-10,26
