,pageviews
2007-12-10,62.0
2007-12-17,251.0
2007-12-24,185.0
2007-12-31,153.0
2008-01-07,217.0
2008-01-14,300.0
2008-01-21,314.0
2008-01-28,339.0
2008-02-04,294.0
2008-02-11,288.0
2008-02-18,327.0
2008-02-25,376.0
2008-03-03,283.0
2008-03-10,365.0
2008-03-17,441.0
2008-03-24,289.0
2008-03-31,316.0
2008-04-07,344.0
2008-04-14,360.0
2008-04-21,361.0
2008-04-28,321.0
2008-05-05,341.0
2008-05-12,312.0
2008-05-19,383.0
2008-05-26,339.0
2008-06-02,237.0
2008-06-09,355.0
2008-06-16,319.0
2008-06-23,335.0
2008-06-30,332.0
2008-07-07,223.0
2008-07-14,182.0
2008-07-21,
2008-07-28,
2008-08-04,118.0
2008-08-11,314.0
2008-08-18,267.0
2008-08-25,284.0
2008-09-01,348.0
2008-09-08,310.0
2008-09-15,298.0
2008-09-22,382.0
2008-09-29,304.0
2008-10-06,261.0
2008-10-13,253.0
2008-10-20,261.0
2008-10-27,179.0
2008-11-03,255.0
2008-11-10,259.0
2008-11-17,308.0
2008-11-24,280.0
2008-12-01,242.0
2008-12-08,239.0
2008-12-15,248.0
2008-12-22,218.0
2008-12-29,170.0
2009-01-05,204.0
2009-01-12,282.0
2009-01-19,254.0
2009-01-26,230.0
2009-02-02,255.0
2009-02-09,248.0
2009-02-16,252.0
2009-02-23,311.0
2009-03-02,334.0
2009-03-09,326.0
2009-03-16,233.0
2009-03-23,312.0
2009-03-30,240.0
2009-04-06,220.0
2009-04-13,222.0
2009-04-20,281.0
2009-04-27,271.0
2009-05-04,198.0
2009-05-11,234.0
2009-05-18,268.0
2009-05-25,214.0
2009-06-01,231.0
2009-06-08,229.0
2009-06-15,226.0
2009-06-22,213.0
2009-06-29,185.0
2009-07-06,176.0
2009-07-13,189.0
2009-07-20,185.0
2009-07-27,195.0
2009-08-03,163.0
2009-08-10,176.0
2009-08-17,187.0
2009-08-24,163.0
2009-08-31,204.0
2009-09-07,189.0
2009-09-14,233.0
2009-09-21,236.0
2009-09-28,101.0
2009-10-05,258.0
2009-10-12,249.0
2009-10-19,123.0
2009-10-26,218.0
2009-11-02,247.0
2009-11-09,223.0
2009-11-16,207.0
2009-11-23,178.0
2009-11-30,186.0
2009-12-07,191.0
2009-12-14,186.0
2009-12-21,178.0
2009-12-28,122.0
2010-01-04,124.0
2010-01-11,205.0
2010-01-18,204.0
2010-01-25,177.0
2010-02-01,242.0
2010-02-08,238.0
2010-02-15,234.0
2010-02-22,307.0
2010-03-01,225.0
2010-03-08,205.0
2010-03-15,268.0
2010-03-22,259.0
2010-03-29,258.0
2010-04-05,224.0
2010-04-12,241.0
2010-04-19,254.0
2010-04-26,256.0
2010-05-03,270.0
2010-05-10,242.0
2010-05-17,213.0
2010-05-24,190.0
2010-05-31,204.0
2010-06-07,218.0
2010-06-14,110.0
2010-06-21,152.0
2010-06-28,142.0
2010-07-05,164.0
2010-07-12,70.0
2010-07-19,179.0
2010-07-26,222.0
2010-08-02,245.0
2010-08-09,199.0
2010-08-16,175.0
2010-08-23,180.0
2010-08-30,189.0
2010-09-06,170.0
2010-09-13,210.0
2010-09-20,228.0
2010-09-27,333.0
2010-10-04,234.0
2010-10-11,239.0
2010-10-18,254.0
2010-10-25,312.0
2010-11-01,210.0
2010-11-08,214.0
2010-11-15,207.0
2010-11-22,185.0
2010-11-29,205.0
2010-12-06,221.0
2010-12-13,219.0
2010-12-20,198.0
2010-12-27,136.0
2011-01-03,139.0
2011-01-10,204.0
2011-01-17,260.0
2011-01-24,245.0
2011-01-31,227.0
2011-02-07,198.0
2011-02-14,221.0
2011-02-21,216.0
2011-02-28,230.0
2011-03-07,280.0
2011-03-14,205.0
2011-03-21,225.0
2011-03-28,224.0
2011-04-04,178.0
2011-04-11,161.0
2011-04-18,178.0
2011-04-25,187.0
2011-05-02,208.0
2011-05-09,209.0
2011-05-16,180.0
2011-05-23,187.0
2011-05-30,182.0
2011-06-06,182.0
2011-06-13,198.0
2011-06-20,184.0
2011-06-27,176.0
2011-07-04,167.0
2011-07-11,216.0
2011-07-18,140.0
2011-07-25,179.0
2011-08-01,153.0
2011-08-08,154.0
2011-08-15,160.0
2011-08-22,201.0
2011-08-29,184.0
2011-09-05,117.0
2011-09-12,140.0
2011-09-19,165.0
2011-09-26,194.0
2011-10-03,224.0
2011-10-10,234.0
2011-10-17,176.0
2011-10-24,125.0
2011-10-31,193.0
2011-11-07,223.0
2011-11-14,259.0
2011-11-21,237.0
2011-11-28,256.0
2011-12-05,208.0
2011-12-12,214.0
2011-12-19,205.0
2011-12-26,76.0
2012-01-02,180.0
2012-01-09,241.0
2012-01-16,230.0
2012-01-23,193.0
2012-01-30,254.0
2012-02-06,190.0
2012-02-13,201.0
2012-02-20,210.0
2012-02-27,236.0
2012-03-05,247.0
2012-03-12,253.0
2012-03-19,190.0
2012-03-26,218.0
2012-04-02,208.0
2012-04-09,181.0
2012-04-16,236.0
2012-04-23,197.0
2012-04-30,179.0
2012-05-07,216.0
2012-05-14,177.0
2012-05-21,179.0
2012-05-28,159.0
2012-06-04,147.0
2012-06-11,162.0
2012-06-18,170.0
2012-06-25,181.0
2012-07-02,136.0
2012-07-09,194.0
2012-07-16,192.0
2012-07-23,143.0
2012-07-30,148.0
2012-08-06,186.0
2012-08-13,191.0
2012-08-20,147.0
2012-08-27,157.0
2012-09-03,178.0
2012-09-10,209.0
2012-09-17,219.0
2012-09-24,214.0
2012-10-01,202.0
2012-10-08,206.0
2012-10-15,196.0
2012-10-22,213.0
2012-10-29,184.0
2012-11-05,253.0
2012-11-12,220.0
2012-11-19,202.0
2012-11-26,183.0
2012-12-03,222.0
2012-12-10,197.0
2012-12-17,159.0
2012-12-24,362.0
2012-12-31,117.0
2013-01-07,162.0
2013-01-14,224.0
2013-01-21,218.0
2013-01-28,231.0
2013-02-04,296.0
2013-02-11,214.0
2013-02-18,230.0
2013-02-25,275.0
2013-03-04,284.0
2013-03-11,271.0
2013-03-18,257.0
2013-03-25,240.0
2013-04-01,223.0
2013-04-08,230.0
2013-04-15,265.0
2013-04-22,241.0
2013-04-29,241.0
2013-05-06,212.0
2013-05-13,260.0
2013-05-20,285.0
2013-05-27,233.0
2013-06-03,204.0
2013-06-10,184.0
2013-06-17,205.0
2013-06-24,172.0
2013-07-01,198.0
2013-07-08,170.0
2013-07-15,173.0
2013-07-22,195.0
2013-07-29,102.0
2013-08-05,153.0
2013-08-12,143.0
2013-08-19,164.0
2013-08-26,149.0
2013-09-02,166.0
2013-09-09,146.0
2013-09-16,186.0
2013-09-23,201.0
2013-09-30,166.0
2013-10-07,231.0
2013-10-14,226.0
2013-10-21,215.0
2013-10-28,246.0
2013-11-04,190.0
2013-11-11,201.0
2013-11-18,203.0
2013-11-25,222.0
2013-12-02,231.0
2013-12-09,311.0
2013-12-16,204.0
2013-12-23,175.0
2013-12-30,141.0
2014-01-06,104.0
2014-01-13,193.0
2014-01-20,221.0
2014-01-27,222.0
2014-02-03,241.0
2014-02-10,215.0
2014-02-17,209.0
2014-02-24,257.0
2014-03-03,258.0
2014-03-10,193.0
2014-03-17,231.0
2014-03-24,208.0
2014-03-31,229.0
2014-04-07,216.0
2014-04-14,192.0
2014-04-21,159.0
2014-04-28,168.0
2014-05-05,203.0
2014-05-12,174.0
2014-05-19,149.0
2014-05-26,288.0
2014-06-02,175.0
2014-06-09,141.0
2014-06-16,151.0
2014-06-23,170.0
2014-06-30,209.0
2014-07-07,153.0
2014-07-14,146.0
2014-07-21,122.0
2014-07-28,195.0
2014-08-04,99.0
2014-08-11,163.0
2014-08-18,134.0
2014-08-25,185.0
2014-09-01,138.0
2014-09-08,215.0
2014-09-15,223.0
2014-09-22,173.0
2014-09-29,212.0
2014-10-06,193.0
2014-10-13,178.0
2014-10-20,200.0
2014-10-27,193.0
2014-11-03,181.0
2014-11-10,222.0
2014-11-17,197.0
2014-11-24,217.0
2014-12-01,154.0
2014-12-08,266.0
2014-12-15,211.0
2014-12-22,155.0
2014-12-29,102.0
2015-01-05,122.0
2015-01-12,185.0
2015-01-19,160.0
2015-01-26,169.0
2015-02-02,154.0
2015-02-09,213.0
2015-02-16,183.0
2015-02-23,194.0
2015-03-02,224.0
2015-03-09,196.0
2015-03-16,204.0
2015-03-23,175.0
2015-03-30,44.0
