,pageviews
2007-12-10,36.0
2007-12-17,298.0
2007-12-24,200.0
2007-12-31,162.0
2008-01-07,174.0
2008-01-14,258.0
2008-01-21,231.0
2008-01-28,356.0
2008-02-04,323.0
2008-02-11,416.0
2008-02-18,340.0
2008-02-25,343.0
2008-03-03,192.0
2008-03-10,255.0
2008-03-17,271.0
2008-03-24,250.0
2008-03-31,285.0
2008-04-07,286.0
2008-04-14,262.0
2008-04-21,304.0
2008-04-28,272.0
2008-05-05,262.0
2008-05-12,272.0
2008-05-19,249.0
2008-05-26,247.0
2008-06-02,316.0
2008-06-09,247.0
2008-06-16,257.0
2008-06-23,192.0
2008-06-30,193.0
2008-07-07,174.0
2008-07-14,157.0
2008-07-21,
2008-07-28,
2008-08-04,85.0
2008-08-11,166.0
2008-08-18,184.0
2008-08-25,190.0
2008-09-01,236.0
2008-09-08,242.0
2008-09-15,288.0
2008-09-22,279.0
2008-09-29,313.0
2008-10-06,319.0
2008-10-13,309.0
2008-10-20,262.0
2008-10-27,224.0
2008-11-03,299.0
2008-11-10,263.0
2008-11-17,319.0
2008-11-24,285.0
2008-12-01,294.0
2008-12-08,309.0
2008-12-15,302.0
2008-12-22,229.0
2008-12-29,184.0
2009-01-05,161.0
2009-01-12,256.0
2009-01-19,268.0
2009-01-26,271.0
2009-02-02,261.0
2009-02-09,337.0
2009-02-16,314.0
2009-02-23,307.0
2009-03-02,390.0
2009-03-09,327.0
2009-03-16,303.0
2009-03-23,323.0
2009-03-30,264.0
2009-04-06,349.0
2009-04-13,309.0
2009-04-20,348.0
2009-04-27,345.0
2009-05-04,303.0
2009-05-11,319.0
2009-05-18,367.0
2009-05-25,303.0
2009-06-01,367.0
2009-06-08,313.0
2009-06-15,302.0
2009-06-22,311.0
2009-06-29,256.0
2009-07-06,210.0
2009-07-13,206.0
2009-07-20,193.0
2009-07-27,195.0
2009-08-03,209.0
2009-08-10,201.0
2009-08-17,221.0
2009-08-24,212.0
2009-08-31,287.0
2009-09-07,279.0
2009-09-14,255.0
2009-09-21,291.0
2009-09-28,138.0
2009-10-05,273.0
2009-10-12,274.0
2009-10-19,172.0
2009-10-26,331.0
2009-11-02,332.0
2009-11-09,377.0
2009-11-16,291.0
2009-11-23,230.0
2009-11-30,254.0
2009-12-07,290.0
2009-12-14,339.0
2009-12-21,228.0
2009-12-28,183.0
2010-01-04,201.0
2010-01-11,199.0
2010-01-18,395.0
2010-01-25,275.0
2010-02-01,271.0
2010-02-08,250.0
2010-02-15,284.0
2010-02-22,332.0
