,pageviews
2007-12-31,1564
2008-01-31,2673
2008-02-29,2543
2008-03-31,2271
2008-04-30,2749
2008-05-31,2498
2008-06-30,1953
2008-07-31,652
2008-08-31,2161
2008-09-30,2992
2008-10-31,2796
2008-11-30,2646
2008-12-31,2094
2009-01-31,2546
2009-02-28,2577
2009-03-31,2986
2009-04-30,2520
2009-05-31,2456
2009-06-30,2121
2009-07-31,2230
2009-08-31,2648
2009-09-30,2731
2009-10-31,2824
2009-11-30,2733
2009-12-31,2310
2010-01-31,2635
2010-02-28,2490
2010-03-31,3165
2010-04-30,3097
2010-05-31,2922
2010-06-30,2223
2010-07-31,2030
2010-08-31,3749
2010-09-30,4361
2010-10-31,3758
2010-11-30,3819
2010-12-31,3207
2011-01-31,3416
2011-02-28,3073
2011-03-31,3395
2011-04-30,3007
2011-05-31,3136
2011-06-30,2782
2011-07-31,2472
2011-08-31,3536
2011-09-30,3797
2011-10-31,3667
2011-11-30,3913
2011-12-31,2699
2012-01-31,3300
2012-02-29,3366
2012-03-31,3381
2012-04-30,3153
2012-05-31,3454
2012-06-30,2960
2012-07-31,2863
2012-08-31,4574
2012-09-30,4408
2012-10-31,4178
2012-11-30,4378
2012-12-31,3206
2013-01-31,4174
2013-02-28,3809
2013-03-31,4229
2013-04-30,5313
2013-05-31,4097
2013-06-30,3721
2013-07-31,3437
2013-08-31,3754
2013-09-30,3508
2013-10-31,3983
2013-11-30,3661
2013-12-31,3075
2014-01-31,3033
2014-02-28,3193
2014-03-31,3350
2014-04-30,3277
2014-05-31,3372
2014-06-30,3134
2014-07-31,3080
2014-08-31,3066
2014-09-30,3714
2014-10-31,3412
2014-11-30,3468
2014-12-31,2976
2015-01-31,3449
2015-02-28,3011
2015-03-31,2821
