,pageviews
2007-12-20,156
2007-12-21,119
2007-12-22,108
2007-12-23,99
2007-12-24,98
2007-12-25,85
2007-12-26,91
2007-12-27,100
2007-12-28,126
2007-12-29,85
2007-12-19,206
2007-12-18,211
2007-12-31,99
2007-12-30,93
2007-12-15,125
2007-12-14,189
2007-12-17,219
2007-12-16,133
2007-12-11,272
2007-12-10,228
2007-12-13,236
2007-12-12,266
2008-01-30,316
2008-01-16,242
2008-01-17,239
2008-01-14,214
2008-01-15,319
2008-01-12,183
2008-01-13,197
2008-01-10,239
2008-01-11,209
2008-01-18,229
2008-01-19,152
2008-01-29,406
2008-01-28,280
2008-01-27,186
2008-01-26,131
2008-01-25,226
2008-01-24,330
2008-01-23,285
2008-01-22,294
2008-01-21,236
2008-01-20,164
2008-01-05,137
2008-01-04,156
2008-01-07,211
2008-01-06,139
2008-01-01,107
2008-01-03,162
2008-01-02,129
2008-01-09,247
2008-01-08,218
2008-02-28,0
2008-02-26,279
2008-02-29,214
2008-02-01,244
2008-02-02,148
2008-02-03,218
2008-02-04,301
2008-02-05,338
2008-02-06,301
2008-02-07,325
2008-02-08,299
2008-02-09,158
2008-02-24,167
2008-02-25,246
2008-02-22,230
2008-02-23,125
2008-02-20,314
2008-02-21,340
2008-02-27,319
2008-02-17,181
2008-02-16,119
2008-02-15,265
2008-02-14,341
2008-02-13,324
2008-02-12,385
2008-02-11,422
2008-02-10,205
2008-02-19,272
2008-02-18,232
2008-03-14,226
2008-03-15,145
2008-03-16,189
2008-03-17,232
2008-03-10,272
2008-03-11,250
2008-03-12,248
2008-03-13,290
2008-03-18,277
2008-03-19,236
2008-03-30,177
2008-03-09,172
2008-03-31,228
2008-03-03,0
2008-03-02,171
2008-03-01,0
2008-03-07,220
2008-03-06,294
2008-03-05,305
2008-03-04,0
2008-03-21,184
2008-03-20,230
2008-03-23,133
2008-03-22,116
2008-03-25,231
2008-03-24,245
2008-03-27,266
2008-03-26,242
2008-03-29,148
2008-03-28,165
2008-03-08,124
2008-04-30,283
2008-04-15,296
2008-04-14,271
2008-04-17,324
2008-04-16,329
2008-04-11,250
2008-04-10,305
2008-04-13,209
2008-04-12,149
2008-04-19,122
2008-04-18,266
2008-04-28,289
2008-04-29,263
2008-04-20,142
2008-04-21,286
2008-04-22,299
2008-04-23,262
2008-04-24,295
2008-04-25,280
2008-04-26,125
2008-04-27,137
2008-04-06,177
2008-04-07,300
2008-04-04,170
2008-04-05,105
2008-04-02,295
2008-04-03,262
2008-04-01,296
2008-04-08,265
2008-04-09,274
2008-05-12,251
2008-05-13,247
2008-05-10,131
2008-05-11,212
2008-05-16,191
2008-05-31,111
2008-05-14,248
2008-05-15,223
2008-05-18,158
2008-05-19,205
2008-05-29,208
2008-05-28,221
2008-05-23,205
2008-05-22,240
2008-05-21,208
2008-05-20,206
2008-05-27,261
2008-05-26,224
2008-05-25,125
2008-05-24,119
2008-05-01,275
2008-05-03,123
2008-05-02,225
2008-05-05,251
