,pageviews
2007-12-10,228.0
2007-12-17,1440.0
2007-12-24,997.0
2007-12-31,679.0
2008-01-07,1041.0
2008-01-14,1507.0
2008-01-21,1581.0
2008-01-28,1732.0
2008-02-04,1633.0
2008-02-11,2048.0
2008-02-18,1847.0
2008-02-25,1694.0
2008-03-03,983.0
2008-03-10,1387.0
2008-03-17,1580.0
2008-03-24,1421.0
2008-03-31,1457.0
2008-04-07,1605.0
2008-04-14,1723.0
2008-04-21,1765.0
2008-04-28,1687.0
2008-05-05,1617.0
2008-05-12,1530.0
2008-05-19,1392.0
2008-05-26,1327.0
2008-06-02,966.0
2008-06-09,1355.0
2008-06-16,1208.0
2008-06-23,1138.0
2008-06-30,992.0
2008-07-07,722.0
2008-07-14,696.0
2008-07-21,
2008-07-28,
2008-08-04,482.0
2008-08-11,818.0
2008-08-18,853.0
2008-08-25,898.0
2008-09-01,1008.0
2008-09-08,1370.0
2008-09-15,1822.0
2008-09-22,2225.0
2008-09-29,2357.0
2008-10-06,2280.0
2008-10-13,1996.0
2008-10-20,1803.0
2008-10-27,1325.0
2008-11-03,1968.0
2008-11-10,1632.0
2008-11-17,1958.0
2008-11-24,1883.0
2008-12-01,1430.0
2008-12-08,1840.0
2008-12-15,1637.0
2008-12-22,1150.0
2008-12-29,670.0
2009-01-05,850.0
2009-01-12,1424.0
2009-01-19,1735.0
2009-01-26,1913.0
2009-02-02,2132.0
2009-02-09,2408.0
2009-02-16,1676.0
2009-02-23,2148.0
2009-03-02,2334.0
2009-03-09,2280.0
2009-03-16,2010.0
2009-03-23,1897.0
2009-03-30,1834.0
2009-04-06,1811.0
2009-04-13,1810.0
2009-04-20,1985.0
2009-04-27,1966.0
2009-05-04,1895.0
2009-05-11,1882.0
2009-05-18,1841.0
2009-05-25,1602.0
2009-06-01,1560.0
2009-06-08,1495.0
2009-06-15,1391.0
2009-06-22,1295.0
2009-06-29,1839.0
2009-07-06,1087.0
2009-07-13,1199.0
2009-07-20,1231.0
2009-07-27,1448.0
2009-08-03,1399.0
2009-08-10,1221.0
2009-08-17,1242.0
2009-08-24,1280.0
2009-08-31,1504.0
2009-09-07,1734.0
2009-09-14,2238.0
2009-09-21,2684.0
2009-09-28,1574.0
2009-10-05,2920.0
2009-10-12,3017.0
2009-10-19,1327.0
2009-10-26,2637.0
2009-11-02,2611.0
2009-11-09,2604.0
2009-11-16,2310.0
2009-11-23,2089.0
2009-11-30,1907.0
2009-12-07,2264.0
2009-12-14,2261.0
2009-12-21,1615.0
2009-12-28,993.0
2010-01-04,1135.0
2010-01-11,1907.0
2010-01-18,1988.0
2010-01-25,1879.0
2010-02-01,2810.0
2010-02-08,2866.0
2010-02-15,2848.0
2010-02-22,2750.0
2010-03-01,2166.0
2010-03-08,2813.0
2010-03-15,7102.0
2010-03-22,7677.0
2010-03-29,7916.0
2010-04-05,7387.0
2010-04-12,6653.0
2010-04-19,8646.0
2010-04-26,7971.0
2010-05-03,8076.0
2010-05-10,7648.0
2010-05-17,7028.0
2010-05-24,6585.0
2010-05-31,8975.0
2010-06-07,6657.0
2010-06-14,3798.0
2010-06-21,5727.0
2010-06-28,3697.0
2010-07-05,4419.0
2010-07-12,2255.0
2010-07-19,5063.0
2010-07-26,7936.0
2010-08-02,8448.0
2010-08-09,9237.0
2010-08-16,8374.0
2010-08-23,7955.0
2010-08-30,7847.0
2010-09-06,7895.0
2010-09-13,8357.0
2010-09-20,8495.0
2010-09-27,9056.0
2010-10-04,7817.0
2010-10-11,7529.0
2010-10-18,8529.0
2010-10-25,8103.0
2010-11-01,7087.0
2010-11-08,6728.0
2010-11-15,6652.0
2010-11-22,6317.0
2010-11-29,5925.0
2010-12-06,6089.0
2010-12-13,6296.0
2010-12-20,5160.0
2010-12-27,2996.0
2011-01-03,1309.0
2011-01-10,2330.0
2011-01-17,5044.0
2011-01-24,5922.0
2011-01-31,5916.0
2011-02-07,6336.0
2011-02-14,6155.0
2011-02-21,5805.0
2011-02-28,5272.0
2011-03-07,5208.0
2011-03-14,5267.0
2011-03-21,3196.0
2011-03-28,2393.0
2011-04-04,2478.0
2011-04-11,2443.0
2011-04-18,2307.0
2011-04-25,2144.0
2011-05-02,2225.0
2011-05-09,2402.0
2011-05-16,1942.0
2011-05-23,2074.0
2011-05-30,1739.0
2011-06-06,1689.0
2011-06-13,1600.0
2011-06-20,1460.0
2011-06-27,1516.0
2011-07-04,1389.0
2011-07-11,1378.0
2011-07-18,1517.0
2011-07-25,1680.0
2011-08-01,1659.0
2011-08-08,1553.0
2011-08-15,1355.0
2011-08-22,1301.0
2011-08-29,1441.0
2011-09-05,1316.0
2011-09-12,2021.0
2011-09-19,2538.0
2011-09-26,3021.0
2011-10-03,3071.0
2011-10-10,3056.0
2011-10-17,3015.0
2011-10-24,2333.0
2011-10-31,2671.0
2011-11-07,3004.0
2011-11-14,3014.0
2011-11-21,2886.0
2011-11-28,2453.0
2011-12-05,3104.0
2011-12-12,3121.0
2011-12-19,2450.0
2011-12-26,863.0
2012-01-02,1292.0
2012-01-09,1983.0
2012-01-16,2214.0
2012-01-23,2522.0
2012-01-30,3101.0
2012-02-06,3565.0
2012-02-13,3377.0
2012-02-20,3359.0
2012-02-27,3155.0
2012-03-05,2966.0
2012-03-12,2902.0
2012-03-19,2686.0
2012-03-26,2608.0
2012-04-02,2394.0
2012-04-09,2238.0
2012-04-16,2539.0
2012-04-23,2661.0
2012-04-30,2219.0
2012-05-07,2665.0
2012-05-14,2439.0
2012-05-21,2428.0
2012-05-28,2118.0
2012-06-04,2121.0
2012-06-11,2266.0
2012-06-18,1835.0
2012-06-25,1647.0
2012-07-02,1785.0
2012-07-09,1579.0
2012-07-16,1690.0
2012-07-23,1519.0
2012-07-30,1468.0
2012-08-06,1583.0
2012-08-13,1699.0
2012-08-20,1470.0
2012-08-27,1691.0
2012-09-03,1915.0
2012-09-10,2767.0
2012-09-17,3395.0
2012-09-24,4038.0
2012-10-01,3731.0
2012-10-08,3548.0
2012-10-15,3505.0
2012-10-22,3559.0
2012-10-29,3275.0
2012-11-05,2985.0
2012-11-12,4520.0
2012-11-19,3164.0
2012-11-26,2542.0
2012-12-03,3685.0
2012-12-10,4014.0
2012-12-17,3176.0
2012-12-24,2074.0
2012-12-31,1443.0
2013-01-07,2041.0
2013-01-14,2566.0
2013-01-21,2861.0
2013-01-28,3455.0
2013-02-04,3868.0
2013-02-11,4457.0
2013-02-18,4126.0
2013-02-25,3965.0
2013-03-04,3524.0
2013-03-11,3577.0
2013-03-18,3082.0
2013-03-25,3000.0
2013-04-01,2914.0
2013-04-08,3176.0
2013-04-15,3196.0
2013-04-22,3254.0
2013-04-29,3425.0
2013-05-06,3135.0
2013-05-13,2890.0
2013-05-20,2721.0
2013-05-27,2461.0
2013-06-03,2639.0
2013-06-10,2381.0
2013-06-17,2199.0
2013-06-24,2343.0
2013-07-01,2117.0
2013-07-08,1846.0
2013-07-15,2086.0
2013-07-22,2502.0
2013-07-29,1263.0
2013-08-05,1724.0
2013-08-12,1715.0
2013-08-19,1681.0
2013-08-26,1516.0
2013-09-02,1601.0
2013-09-09,2332.0
2013-09-16,3132.0
2013-09-23,3462.0
2013-09-30,3279.0
2013-10-07,3527.0
2013-10-14,3140.0
2013-10-21,3659.0
2013-10-28,3450.0
2013-11-04,3043.0
2013-11-11,3192.0
2013-11-18,3774.0
2013-11-25,3526.0
2013-12-02,2978.0
2013-12-09,3736.0
2013-12-16,3333.0
2013-12-23,1914.0
2013-12-30,1641.0
2014-01-06,1096.0
2014-01-13,2387.0
2014-01-20,2882.0
2014-01-27,3046.0
2014-02-03,3237.0
2014-02-10,3725.0
2014-02-17,3248.0
2014-02-24,3191.0
2014-03-03,3211.0
2014-03-10,3095.0
2014-03-17,2964.0
2014-03-24,2839.0
2014-03-31,3517.0
2014-04-07,3686.0
2014-04-14,3372.0
2014-04-21,2609.0
2014-04-28,2958.0
2014-05-05,2745.0
2014-05-12,2541.0
2014-05-19,2207.0
2014-05-26,1887.0
2014-06-02,2032.0
2014-06-09,1859.0
2014-06-16,1776.0
2014-06-23,1631.0
2014-06-30,1564.0
2014-07-07,1487.0
2014-07-14,1638.0
2014-07-21,1616.0
2014-07-28,1542.0
2014-08-04,1463.0
2014-08-11,1717.0
2014-08-18,1542.0
2014-08-25,1628.0
2014-09-01,1497.0
2014-09-08,2374.0
2014-09-15,3000.0
2014-09-22,3311.0
2014-09-29,3616.0
2014-10-06,3368.0
2014-10-13,3115.0
2014-10-20,3359.0
2014-10-27,3096.0
2014-11-03,2867.0
2014-11-10,3067.0
2014-11-17,3934.0
2014-11-24,3194.0
2014-12-01,2705.0
2014-12-08,3300.0
2014-12-15,2992.0
2014-12-22,2091.0
2014-12-29,1664.0
2015-01-05,1790.0
2015-01-12,2072.0
2015-01-19,2555.0
2015-01-26,3054.0
2015-02-02,2876.0
2015-02-09,3053.0
2015-02-16,2993.0
2015-02-23,3001.0
2015-03-02,2937.0
2015-03-09,3026.0
2015-03-16,2613.0
2015-03-23,2617.0
2015-03-30,953.0
