,pageviews
2007-12-31,9793
2008-01-31,23295
2008-02-29,24918
2008-03-31,19132
2008-04-30,22154
2008-05-31,26224
2008-06-30,22451
2008-07-31,7585
2008-08-31,18216
2008-09-30,28732
2008-10-31,26868
2008-11-30,22540
2008-12-31,16661
2009-01-31,22898
2009-02-28,24167
2009-03-31,25237
2009-04-30,18768
2009-05-31,20875
2009-06-30,19805
2009-07-31,16368
2009-08-31,21585
2009-09-30,21192
2009-10-31,22360
2009-11-30,22746
2009-12-31,15607
2010-01-31,19042
2010-02-28,19462
2010-03-31,22198
2010-04-30,19885
2010-05-31,21825
2010-06-30,13867
2010-07-31,13152
2010-08-31,22486
2010-09-30,25602
2010-10-31,25565
2010-11-30,22270
2010-12-31,10439
2011-01-31,20776
2011-02-28,23744
2011-03-31,25632
2011-04-30,18192
2011-05-31,21571
2011-06-30,20151
2011-07-31,18364
2011-08-31,19975
2011-09-30,20571
2011-10-31,22422
2011-11-30,24668
2011-12-31,17404
2012-01-31,23481
2012-02-29,22672
2012-03-31,22177
2012-04-30,15658
2012-05-31,18385
2012-06-30,17684
2012-07-31,15100
2012-08-31,15284
2012-09-30,19524
2012-10-31,21839
2012-11-30,19898
2012-12-31,16714
2013-01-31,25952
2013-02-28,23636
2013-03-31,18554
2013-04-30,17657
2013-05-31,16149
2013-06-30,18023
2013-07-31,16941
2013-08-31,14149
2013-09-30,15312
2013-10-31,15726
2013-11-30,14050
2013-12-31,11409
2014-01-31,13968
2014-02-28,15070
2014-03-31,15387
2014-04-30,12592
2014-05-31,13400
2014-06-30,13429
2014-07-31,12047
2014-08-31,11890
2014-09-30,14516
2014-10-31,14232
2014-11-30,12456
2014-12-31,10568
2015-01-31,11916
2015-02-28,11026
2015-03-31,10142
