,pageviews
2007-12-31,2015
2008-01-31,4332
2008-02-29,4598
2008-03-31,4282
2008-04-30,4706
2008-05-31,5293
2008-06-30,4074
2008-07-31,1131
2008-08-31,3165
2008-09-30,3789
2008-10-31,2725
2008-11-30,4586
2008-12-31,3817
2009-01-31,5091
2009-02-28,5449
2009-03-31,5662
2009-04-30,4343
2009-05-31,5040
2009-06-30,4183
2009-07-31,3613
2009-08-31,3901
2009-09-30,4658
2009-10-31,5715
2009-11-30,6399
2009-12-31,5197
2010-01-31,6708
2010-02-28,6641
2010-03-31,8521
2010-04-30,8139
2010-05-31,7586
2010-06-30,5466
2010-07-31,4827
2010-08-31,7435
2010-09-30,7663
2010-10-31,8555
2010-11-30,8632
2010-12-31,7008
2011-01-31,9661
2011-02-28,9093
2011-03-31,9914
2011-04-30,8157
2011-05-31,9079
2011-06-30,7769
2011-07-31,7130
2011-08-31,6927
2011-09-30,7363
2011-10-31,9076
2011-11-30,11575
2011-12-31,8562
2012-01-31,12044
2012-02-29,11171
2012-03-31,11415
2012-04-30,8754
2012-05-31,9709
2012-06-30,8484
2012-07-31,7847
2012-08-31,8200
2012-09-30,8653
2012-10-31,10926
2012-11-30,10665
2012-12-31,8445
2013-01-31,10847
2013-02-28,9404
2013-03-31,9296
2013-04-30,3436
2013-05-31,6934
2013-06-30,8860
2013-07-31,7583
2013-08-31,7034
2013-09-30,6832
2013-10-31,8432
2013-11-30,8759
2013-12-31,7127
2014-01-31,8044
2014-02-28,7860
2014-03-31,8847
2014-04-30,7618
2014-05-31,8142
2014-06-30,7715
2014-07-31,7462
2014-08-31,7951
2014-09-30,8798
2014-10-31,8106
2014-11-30,7308
2014-12-31,6415
2015-01-31,7259
2015-02-28,6066
2015-03-31,5805
