,pageviews
2007-12-10,245.0
2007-12-17,890.0
2007-12-24,600.0
2007-12-31,468.0
2008-01-07,680.0
2008-01-14,963.0
2008-01-21,990.0
2008-01-28,1039.0
2008-02-04,835.0
2008-02-11,1113.0
2008-02-18,1173.0
2008-02-25,1072.0
2008-03-03,729.0
2008-03-10,985.0
2008-03-17,1160.0
2008-03-24,906.0
2008-03-31,1166.0
2008-04-07,1148.0
2008-04-14,1149.0
2008-04-21,1330.0
2008-04-28,1329.0
2008-05-05,1222.0
2008-05-12,1251.0
2008-05-19,1244.0
2008-05-26,1157.0
2008-06-02,864.0
2008-06-09,1314.0
2008-06-16,1164.0
2008-06-23,1236.0
2008-06-30,1166.0
2008-07-07,868.0
2008-07-14,718.0
2008-07-21,
2008-07-28,
2008-08-04,441.0
2008-08-11,968.0
2008-08-18,927.0
2008-08-25,936.0
2008-09-01,967.0
2008-09-08,998.0
2008-09-15,1169.0
2008-09-22,1256.0
2008-09-29,1557.0
2008-10-06,1477.0
2008-10-13,1628.0
2008-10-20,1591.0
2008-10-27,1051.0
2008-11-03,1480.0
2008-11-10,1552.0
2008-11-17,1490.0
2008-11-24,1540.0
2008-12-01,1402.0
2008-12-08,1353.0
2008-12-15,1373.0
2008-12-22,1197.0
2008-12-29,575.0
2009-01-05,690.0
2009-01-12,1118.0
2009-01-19,1300.0
2009-01-26,1389.0
2009-02-02,1439.0
2009-02-09,1226.0
2009-02-16,1201.0
2009-02-23,1531.0
2009-03-02,1637.0
2009-03-09,1464.0
2009-03-16,1385.0
2009-03-23,1491.0
2009-03-30,1381.0
2009-04-06,1412.0
2009-04-13,1303.0
2009-04-20,1483.0
2009-04-27,1502.0
2009-05-04,1376.0
2009-05-11,1465.0
2009-05-18,1446.0
2009-05-25,1104.0
2009-06-01,1321.0
2009-06-08,894.0
2009-06-15,1217.0
2009-06-22,1229.0
2009-06-29,1298.0
2009-07-06,1186.0
2009-07-13,1239.0
2009-07-20,1288.0
2009-07-27,1322.0
2009-08-03,1246.0
2009-08-10,1274.0
2009-08-17,1365.0
2009-08-24,1344.0
2009-08-31,1355.0
2009-09-07,1454.0
2009-09-14,1761.0
2009-09-21,1704.0
2009-09-28,869.0
2009-10-05,1898.0
2009-10-12,1971.0
2009-10-19,1044.0
2009-10-26,2025.0
2009-11-02,1883.0
2009-11-09,2075.0
2009-11-16,1774.0
2009-11-23,1584.0
2009-11-30,1504.0
2009-12-07,1717.0
2009-12-14,1706.0
2009-12-21,1364.0
2009-12-28,900.0
2010-01-04,860.0
2010-01-11,1496.0
2010-01-18,1633.0
2010-01-25,1513.0
2010-02-01,1904.0
2010-02-08,1802.0
2010-02-15,2845.0
2010-02-22,3098.0
2010-03-01,2367.0
2010-03-08,2967.0
2010-03-15,2317.0
2010-03-22,2237.0
2010-03-29,2027.0
2010-04-05,1809.0
2010-04-12,1835.0
2010-04-19,2259.0
2010-04-26,2191.0
2010-05-03,2436.0
2010-05-10,2144.0
2010-05-17,1687.0
2010-05-24,1736.0
2010-05-31,1701.0
2010-06-07,1775.0
2010-06-14,1040.0
2010-06-21,1342.0
2010-06-28,958.0
2010-07-05,1144.0
2010-07-12,569.0
2010-07-19,1219.0
2010-07-26,1611.0
2010-08-02,1792.0
2010-08-09,1923.0
2010-08-16,2013.0
2010-08-23,1949.0
2010-08-30,1912.0
2010-09-06,1885.0
2010-09-13,2088.0
2010-09-20,2252.0
2010-09-27,2430.0
2010-10-04,2376.0
2010-10-11,2507.0
2010-10-18,2610.0
2010-10-25,2667.0
2010-11-01,2632.0
2010-11-08,2613.0
2010-11-15,2450.0
2010-11-22,2316.0
2010-11-29,2273.0
2010-12-06,2387.0
2010-12-13,2414.0
2010-12-20,2026.0
2010-12-27,1357.0
2011-01-03,1136.0
2011-01-10,1886.0
2011-01-17,2192.0
2011-01-24,2420.0
2011-01-31,2274.0
2011-02-07,2085.0
2011-02-14,2177.0
2011-02-21,2340.0
2011-02-28,2261.0
2011-03-07,2253.0
2011-03-14,2149.0
2011-03-21,1993.0
2011-03-28,1862.0
2011-04-04,1989.0
2011-04-11,2110.0
2011-04-18,1970.0
2011-04-25,1799.0
2011-05-02,2826.0
2011-05-09,2004.0
2011-05-16,1980.0
2011-05-23,2789.0
2011-05-30,1729.0
2011-06-06,1729.0
2011-06-13,1620.0
2011-06-20,1744.0
2011-06-27,1690.0
2011-07-04,1652.0
2011-07-11,1501.0
2011-07-18,1446.0
2011-07-25,1458.0
2011-08-01,1448.0
2011-08-08,1541.0
2011-08-15,1453.0
2011-08-22,1457.0
2011-08-29,1361.0
2011-09-05,1339.0
2011-09-12,1614.0
2011-09-19,1926.0
2011-09-26,2018.0
2011-10-03,2115.0
2011-10-10,2315.0
2011-10-17,2295.0
2011-10-24,1913.0
2011-10-31,2468.0
2011-11-07,2290.0
2011-11-14,2518.0
2011-11-21,2284.0
2011-11-28,2292.0
2011-12-05,2446.0
2011-12-12,2239.0
2011-12-19,1908.0
2011-12-26,768.0
2012-01-02,1136.0
2012-01-09,1784.0
2012-01-16,2095.0
2012-01-23,1932.0
2012-01-30,2133.0
2012-02-06,2163.0
2012-02-13,2394.0
2012-02-20,2368.0
2012-02-27,2108.0
2012-03-05,2279.0
2012-03-12,2168.0
2012-03-19,2186.0
2012-03-26,2049.0
