,pageviews
2007-12-10,112.0
2007-12-17,634.0
2007-12-24,511.0
2007-12-31,325.0
2008-01-07,466.0
2008-01-14,592.0
2008-01-21,667.0
2008-01-28,733.0
2008-02-04,590.0
2008-02-11,785.0
2008-02-18,668.0
2008-02-25,759.0
2008-03-03,429.0
2008-03-10,545.0
2008-03-17,670.0
2008-03-24,672.0
2008-03-31,714.0
2008-04-07,674.0
2008-04-14,662.0
2008-04-21,640.0
2008-04-28,751.0
2008-05-05,706.0
2008-05-12,659.0
2008-05-19,628.0
2008-05-26,737.0
2008-06-02,562.0
2008-06-09,823.0
2008-06-16,693.0
2008-06-23,713.0
2008-06-30,717.0
2008-07-07,462.0
2008-07-14,394.0
2008-07-21,
2008-07-28,
2008-08-04,358.0
2008-08-11,629.0
2008-08-18,586.0
2008-08-25,567.0
2008-09-01,750.0
2008-09-08,907.0
2008-09-15,826.0
2008-09-22,883.0
2008-09-29,956.0
2008-10-06,824.0
2008-10-13,818.0
2008-10-20,771.0
2008-10-27,530.0
2008-11-03,905.0
2008-11-10,853.0
2008-11-17,885.0
2008-11-24,810.0
2008-12-01,683.0
2008-12-08,799.0
2008-12-15,746.0
2008-12-22,777.0
2008-12-29,483.0
2009-01-05,535.0
2009-01-12,636.0
2009-01-19,775.0
2009-01-26,772.0
2009-02-02,835.0
2009-02-09,878.0
2009-02-16,988.0
2009-02-23,1078.0
2009-03-02,1225.0
2009-03-09,1278.0
2009-03-16,1314.0
2009-03-23,969.0
2009-03-30,813.0
2009-04-06,854.0
2009-04-13,849.0
2009-04-20,1084.0
2009-04-27,907.0
2009-05-04,883.0
2009-05-11,893.0
2009-05-18,900.0
2009-05-25,789.0
2009-06-01,934.0
2009-06-08,852.0
2009-06-15,887.0
2009-06-22,899.0
2009-06-29,815.0
2009-07-06,770.0
2009-07-13,757.0
2009-07-20,761.0
2009-07-27,714.0
2009-08-03,752.0
2009-08-10,709.0
2009-08-17,1846.0
2009-08-24,855.0
2009-08-31,910.0
2009-09-07,933.0
2009-09-14,942.0
2009-09-21,861.0
2009-09-28,356.0
2009-10-05,1156.0
2009-10-12,1227.0
2009-10-19,592.0
2009-10-26,1188.0
2009-11-02,1055.0
2009-11-09,1265.0
2009-11-16,1030.0
2009-11-23,1051.0
2009-11-30,856.0
2009-12-07,934.0
2009-12-14,1033.0
2009-12-21,821.0
2009-12-28,850.0
2010-01-04,712.0
2010-01-11,1127.0
2010-01-18,1049.0
2010-01-25,1021.0
2010-02-01,1287.0
2010-02-08,988.0
2010-02-15,1033.0
2010-02-22,1073.0
2010-03-01,873.0
2010-03-08,971.0
2010-03-15,1141.0
2010-03-22,1091.0
2010-03-29,1180.0
2010-04-05,1050.0
2010-04-12,970.0
2010-04-19,1059.0
2010-04-26,1134.0
2010-05-03,1115.0
2010-05-10,1117.0
2010-05-17,1114.0
2010-05-24,1015.0
2010-05-31,1060.0
2010-06-07,1026.0
2010-06-14,557.0
2010-06-21,766.0
2010-06-28,490.0
2010-07-05,675.0
2010-07-12,256.0
2010-07-19,691.0
2010-07-26,923.0
2010-08-02,1002.0
2010-08-09,1086.0
2010-08-16,1086.0
2010-08-23,1195.0
2010-08-30,1098.0
2010-09-06,1174.0
2010-09-13,1341.0
2010-09-20,1342.0
2010-09-27,1471.0
2010-10-04,1442.0
2010-10-11,1246.0
2010-10-18,1173.0
2010-10-25,1285.0
2010-11-01,1282.0
2010-11-08,1232.0
2010-11-15,1326.0
2010-11-22,1203.0
2010-11-29,1113.0
2010-12-06,1291.0
2010-12-13,1209.0
2010-12-20,1106.0
2010-12-27,816.0
2011-01-03,923.0
2011-01-10,1118.0
2011-01-17,1309.0
2011-01-24,1436.0
2011-01-31,1964.0
2011-02-07,1348.0
2011-02-14,1377.0
2011-02-21,1319.0
2011-02-28,1208.0
2011-03-07,1185.0
2011-03-14,1218.0
2011-03-21,1145.0
2011-03-28,1258.0
2011-04-04,1099.0
2011-04-11,1233.0
2011-04-18,1041.0
2011-04-25,1087.0
2011-05-02,1081.0
2011-05-09,1186.0
2011-05-16,1156.0
2011-05-23,1007.0
2011-05-30,969.0
2011-06-06,1125.0
2011-06-13,1022.0
2011-06-20,902.0
2011-06-27,1001.0
2011-07-04,898.0
2011-07-11,961.0
2011-07-18,1022.0
2011-07-25,945.0
2011-08-01,1038.0
2011-08-08,1252.0
2011-08-15,1040.0
2011-08-22,1043.0
2011-08-29,1015.0
2011-09-05,855.0
2011-09-12,1273.0
2011-09-19,1209.0
2011-09-26,1128.0
2011-10-03,1243.0
2011-10-10,1370.0
2011-10-17,1355.0
2011-10-24,952.0
2011-10-31,1383.0
2011-11-07,1308.0
2011-11-14,3071.0
2011-11-21,1437.0
2011-11-28,1313.0
2011-12-05,1390.0
2011-12-12,1320.0
2011-12-19,1172.0
2011-12-26,494.0
2012-01-02,887.0
2012-01-09,1198.0
2012-01-16,1319.0
2012-01-23,1505.0
2012-01-30,1581.0
2012-02-06,1475.0
2012-02-13,1392.0
2012-02-20,1348.0
2012-02-27,1359.0
2012-03-05,1298.0
2012-03-12,1214.0
2012-03-19,1193.0
2012-03-26,1172.0
2012-04-02,1205.0
2012-04-09,1163.0
2012-04-16,1215.0
2012-04-23,1258.0
2012-04-30,968.0
2012-05-07,1144.0
2012-05-14,1221.0
2012-05-21,1116.0
2012-05-28,1236.0
2012-06-04,995.0
2012-06-11,1072.0
2012-06-18,1022.0
2012-06-25,1018.0
2012-07-02,1011.0
2012-07-09,969.0
2012-07-16,919.0
2012-07-23,1048.0
2012-07-30,1083.0
2012-08-06,919.0
2012-08-13,909.0
2012-08-20,1000.0
2012-08-27,1034.0
2012-09-03,1402.0
2012-09-10,1044.0
2012-09-17,1453.0
2012-09-24,1483.0
2012-10-01,1384.0
2012-10-08,1336.0
2012-10-15,1252.0
2012-10-22,1337.0
2012-10-29,1366.0
2012-11-05,1377.0
2012-11-12,1357.0
2012-11-19,1291.0
2012-11-26,1070.0
2012-12-03,1443.0
2012-12-10,1319.0
2012-12-17,1286.0
2012-12-24,976.0
2012-12-31,843.0
2013-01-07,946.0
2013-01-14,1330.0
2013-01-21,1450.0
2013-01-28,1557.0
2013-02-04,1738.0
2013-02-11,1576.0
2013-02-18,1293.0
2013-02-25,1363.0
2013-03-04,1420.0
2013-03-11,1380.0
2013-03-18,1292.0
2013-03-25,1386.0
2013-04-01,1158.0
2013-04-08,1358.0
2013-04-15,1607.0
2013-04-22,1353.0
2013-04-29,1417.0
2013-05-06,1250.0
2013-05-13,1255.0
2013-05-20,1240.0
2013-05-27,1242.0
2013-06-03,1271.0
2013-06-10,1300.0
2013-06-17,1326.0
2013-06-24,1544.0
2013-07-01,1186.0
2013-07-08,1127.0
2013-07-15,1101.0
2013-07-22,1048.0
2013-07-29,688.0
2013-08-05,1012.0
2013-08-12,919.0
2013-08-19,1023.0
2013-08-26,996.0
2013-09-02,1006.0
2013-09-09,1364.0
2013-09-16,1158.0
2013-09-23,1263.0
2013-09-30,1156.0
2013-10-07,1259.0
2013-10-14,1259.0
2013-10-21,1375.0
2013-10-28,1529.0
2013-11-04,1509.0
2013-11-11,1258.0
2013-11-18,1289.0
2013-11-25,1156.0
2013-12-02,1171.0
2013-12-09,1543.0
2013-12-16,1300.0
2013-12-23,914.0
2013-12-30,748.0
2014-01-06,557.0
2014-01-13,1131.0
2014-01-20,1271.0
2014-01-27,1389.0
2014-02-03,1420.0
2014-02-10,1322.0
2014-02-17,1224.0
2014-02-24,2302.0
2014-03-03,1321.0
2014-03-10,1208.0
2014-03-17,1285.0
2014-03-24,1243.0
2014-03-31,1244.0
2014-04-07,1344.0
2014-04-14,1318.0
2014-04-21,1137.0
2014-04-28,1245.0
2014-05-05,1243.0
2014-05-12,1278.0
2014-05-19,1098.0
2014-05-26,1048.0
2014-06-02,1246.0
2014-06-09,1012.0
2014-06-16,1041.0
2014-06-23,932.0
2014-06-30,959.0
2014-07-07,1019.0
2014-07-14,1025.0
2014-07-21,1024.0
2014-07-28,936.0
2014-08-04,897.0
2014-08-11,854.0
2014-08-18,2525.0
2014-08-25,1443.0
2014-09-01,1088.0
2014-09-08,1380.0
2014-09-15,1393.0
2014-09-22,1419.0
2014-09-29,1472.0
2014-10-06,1412.0
2014-10-13,1338.0
2014-10-20,1319.0
2014-10-27,1490.0
2014-11-03,1363.0
2014-11-10,1286.0
2014-11-17,1320.0
2014-11-24,1258.0
2014-12-01,1117.0
2014-12-08,1452.0
2014-12-15,1210.0
2014-12-22,988.0
2014-12-29,739.0
2015-01-05,850.0
2015-01-12,1054.0
2015-01-19,1332.0
2015-01-26,1303.0
2015-02-02,1387.0
2015-02-09,1386.0
2015-02-16,1371.0
2015-02-23,1348.0
2015-03-02,1279.0
2015-03-09,3128.0
2015-03-16,1130.0
2015-03-23,1181.0
2015-03-30,396.0
