,pageviews
2007-12-31,2816
2008-01-31,4835
2008-02-29,5342
2008-03-31,5714
2008-04-30,5491
2008-05-31,5537
2008-06-30,6010
2008-07-31,1739
2008-08-31,4999
2008-09-30,6762
2008-10-31,7053
2008-11-30,6582
2008-12-31,5650
2009-01-31,6108
2009-02-28,7382
2009-03-31,7466
2009-04-30,6359
2009-05-31,6201
2009-06-30,6810
2009-07-31,5733
2009-08-31,6114
2009-09-30,6009
2009-10-31,7625
2009-11-30,6321
2009-12-31,5166
2010-01-31,6310
2010-02-28,5679
2010-03-31,16126
2010-04-30,17662
2010-05-31,17421
2010-06-30,13170
2010-07-31,13491
2010-08-31,20429
2010-09-30,18640
2010-10-31,18191
2010-11-30,14924
2010-12-31,10965
2011-01-31,11169
2011-02-28,11647
2011-03-31,9557
2011-04-30,6297
2011-05-31,6372
2011-06-30,7339
2011-07-31,5423
2011-08-31,5398
2011-09-30,6618
2011-10-31,7832
2011-11-30,7852
2011-12-31,5761
2012-01-31,7087
2012-02-29,7013
2012-03-31,7722
2012-04-30,6439
2012-05-31,6825
2012-06-30,7807
2012-07-31,5938
2012-08-31,6027
2012-09-30,8581
2012-10-31,9948
2012-11-30,7977
2012-12-31,6242
2013-01-31,7039
2013-02-28,6788
2013-03-31,8136
2013-04-30,7460
2013-05-31,7753
2013-06-30,9048
2013-07-31,6125
2013-08-31,6538
2013-09-30,8130
2013-10-31,10298
2013-11-30,7347
2013-12-31,6429
2014-01-31,6053
2014-02-28,6427
2014-03-31,8176
2014-04-30,6144
2014-05-31,6577
2014-06-30,7156
2014-07-31,5121
2014-08-31,5080
2014-09-30,7345
2014-10-31,8797
2014-11-30,6671
2014-12-31,5556
2015-01-31,5761
2015-02-28,5773
2015-03-31,6385
