,pageviews
2007-12-20,475
2007-12-21,415
2007-12-22,250
2007-12-23,220
2007-12-24,230
2007-12-25,201
2007-12-26,279
2007-12-27,356
2007-12-28,321
2007-12-29,246
2007-12-19,574
2007-12-18,611
2007-12-31,283
2007-12-30,248
2007-12-15,357
2007-12-14,591
2007-12-17,607
2007-12-16,327
2007-12-11,789
2007-12-10,747
2007-12-13,724
2007-12-12,691
2008-01-30,677
2008-01-16,647
2008-01-17,671
2008-01-14,619
2008-01-15,706
2008-01-12,325
2008-01-13,392
2008-01-10,676
2008-01-11,608
2008-01-18,573
2008-01-19,292
2008-01-29,651
2008-01-28,710
2008-01-27,404
2008-01-26,329
2008-01-25,657
2008-01-24,678
2008-01-23,658
2008-01-22,707
2008-01-21,667
2008-01-20,366
2008-01-05,273
2008-01-04,474
2008-01-07,515
2008-01-06,328
2008-01-01,204
2008-01-03,519
2008-01-02,525
2008-01-09,611
2008-01-08,679
2008-02-28,0
2008-02-26,732
2008-02-29,642
2008-02-01,581
2008-02-02,361
2008-02-03,403
2008-02-04,643
2008-02-05,730
2008-02-06,693
2008-02-07,676
2008-02-08,596
2008-02-09,309
2008-02-24,394
2008-02-25,726
2008-02-22,604
2008-02-23,403
2008-02-20,713
2008-02-21,715
2008-02-27,790
2008-02-17,353
2008-02-16,382
2008-02-15,538
2008-02-14,627
2008-02-13,758
2008-02-12,734
2008-02-11,646
2008-02-10,389
2008-02-19,746
2008-02-18,585
2008-03-14,689
2008-03-15,346
2008-03-16,355
2008-03-17,699
2008-03-10,706
2008-03-11,790
2008-03-12,807
2008-03-13,782
2008-03-18,628
2008-03-19,610
2008-03-30,407
2008-03-09,430
2008-03-31,700
2008-03-03,0
2008-03-02,409
2008-03-01,0
2008-03-07,606
2008-03-06,655
2008-03-05,704
2008-03-04,0
2008-03-21,496
2008-03-20,605
2008-03-23,346
2008-03-22,308
2008-03-25,671
2008-03-24,586
2008-03-27,720
2008-03-26,657
2008-03-29,322
2008-03-28,544
2008-03-08,306
2008-04-30,737
2008-04-15,769
2008-04-14,771
2008-04-17,742
2008-04-16,806
2008-04-11,656
2008-04-10,732
2008-04-13,414
2008-04-12,378
2008-04-19,392
2008-04-18,669
2008-04-28,814
2008-04-29,733
2008-04-20,410
2008-04-21,717
2008-04-22,816
2008-04-23,752
2008-04-24,710
2008-04-25,589
2008-04-26,339
2008-04-27,420
2008-04-06,388
2008-04-07,733
2008-04-04,711
2008-04-05,346
2008-04-02,732
2008-04-03,739
2008-04-01,742
2008-04-08,733
2008-04-09,828
2008-05-12,718
2008-05-13,753
2008-05-10,322
2008-05-11,380
2008-05-16,641
2008-05-31,382
2008-05-14,770
2008-05-15,730
2008-05-18,361
2008-05-19,727
2008-05-29,746
2008-05-28,783
2008-05-23,646
2008-05-22,724
2008-05-21,819
2008-05-20,662
2008-05-27,694
2008-05-26,708
2008-05-25,369
2008-05-24,367
2008-05-01,644
2008-05-03,402
2008-05-02,651
2008-05-05,772
2008-05-04,457
2008-05-07,810
2008-05-06,823
2008-05-09,666
2008-05-08,736
2008-05-17,355
2008-05-30,623
2008-06-21,655
2008-06-27,682
2008-06-24,674
2008-06-25,728
2008-06-13,768
2008-06-12,831
2008-06-11,745
2008-06-10,769
2008-06-17,827
2008-06-16,439
2008-06-15,310
2008-06-14,625
2008-06-30,346
2008-06-19,717
2008-06-18,805
2008-06-28,559
2008-06-29,262
2008-06-08,352
2008-06-09,588
2008-06-04,737
2008-06-05,758
2008-06-06,761
2008-06-07,679
2008-06-26,595
2008-06-01,0
2008-06-02,0
2008-06-03,747
2008-06-22,310
2008-06-23,368
2008-06-20,719
2008-07-10,629
2008-07-11,545
2008-07-12,259
2008-07-07,681
2008-07-06,303
2008-07-05,266
2008-07-04,474
2008-07-03,630
2008-07-02,662
2008-07-09,730
2008-07-08,719
2008-08-04,601
2008-08-31,264
2008-08-30,284
2008-08-11,600
2008-08-10,256
2008-08-13,554
2008-08-12,660
2008-08-15,434
2008-08-14,593
2008-08-17,230
2008-08-16,225
2008-08-19,717
2008-08-18,572
2008-08-05,624
2008-08-02,300
2008-08-03,291
2008-08-26,639
2008-08-01,508
2008-08-06,665
2008-08-21,577
2008-08-22,518
2008-08-23,287
2008-08-08,507
2008-08-09,230
2008-08-28,543
2008-08-29,590
2008-08-24,270
2008-08-25,574
2008-08-27,624
2008-08-20,632
2008-08-07,644
2008-09-02,599
2008-09-27,294
2008-09-26,586
2008-09-25,672
2008-09-24,685
2008-09-09,678
2008-09-22,659
2008-09-21,309
2008-09-20,293
2008-09-05,537
2008-09-23,671
2008-09-07,320
2008-09-06,293
2008-09-01,524
2008-09-03,601
2008-09-28,331
2008-09-08,611
2008-09-04,608
2008-09-30,611
2008-09-29,688
2008-09-18,642
2008-09-19,597
2008-09-16,679
2008-09-17,717
2008-09-14,303
2008-09-15,668
2008-09-12,571
2008-09-13,282
2008-09-10,594
2008-09-11,672
2008-10-09,567
2008-10-08,657
2008-10-03,623
2008-10-02,654
2008-10-01,724
2008-10-07,714
2008-10-06,696
2008-10-05,351
2008-10-04,351
2008-10-21,0
2008-10-20,697
2008-10-23,732
2008-10-22,0
2008-10-25,317
2008-10-24,552
2008-10-27,307
2008-10-26,189
2008-10-29,278
2008-10-28,306
2008-10-30,278
2008-10-31,241
2008-10-14,292
2008-10-15,565
2008-10-16,683
2008-10-17,645
2008-10-10,366
2008-10-11,175
2008-10-12,168
2008-10-13,274
2008-10-18,321
2008-10-19,421
2008-11-28,481
2008-11-07,284
2008-11-17,809
2008-11-16,412
2008-11-15,389
2008-11-14,673
2008-11-13,786
2008-11-12,826
2008-11-11,763
2008-11-10,755
2008-11-30,396
2008-11-19,781
2008-11-18,825
2008-11-26,757
2008-11-01,146
2008-11-02,173
2008-11-03,294
2008-11-04,275
2008-11-05,284
2008-11-06,275
2008-11-29,408
2008-11-08,286
2008-11-27,539
2008-11-24,695
2008-11-25,736
2008-11-22,402
2008-11-23,413
2008-11-20,732
2008-11-21,629
2008-11-09,403
2008-12-29,387
2008-12-28,273
2008-12-27,227
2008-12-26,297
2008-12-25,185
2008-12-24,315
2008-12-23,451
2008-12-22,569
2008-12-21,266
2008-12-20,247
2008-12-05,749
2008-12-04,763
2008-12-07,507
2008-12-06,419
2008-12-01,765
2008-12-03,807
2008-12-02,777
2008-12-09,768
2008-12-08,743
2008-12-30,418
2008-12-31,326
2008-12-16,660
2008-12-17,621
2008-12-14,456
2008-12-15,700
2008-12-12,564
2008-12-13,367
2008-12-10,774
2008-12-11,621
2008-12-18,618
2008-12-19,543
2009-01-29,741
