,pageviews
2007-12-31,4923
2008-01-31,7927
2008-02-29,9974
2008-03-31,16487
2008-04-30,10942
2008-05-31,9147
2008-06-30,7526
2008-07-31,2749
2008-08-31,7215
2008-09-30,8258
2008-10-31,8262
2008-11-30,9296
2008-12-31,7869
2009-01-31,9391
2009-02-28,9321
2009-03-31,17895
2009-04-30,9090
2009-05-31,9544
2009-06-30,10377
2009-07-31,8894
2009-08-31,8754
2009-09-30,7829
2009-10-31,9162
2009-11-30,8831
2009-12-31,8748
2010-01-31,9511
2010-02-28,8801
2010-03-31,14469
2010-04-30,11615
2010-05-31,9803
2010-06-30,7053
2010-07-31,7084
2010-08-31,10473
2010-09-30,11720
2010-10-31,12451
2010-11-30,12112
2010-12-31,16053
2011-01-31,13274
2011-02-28,11843
2011-03-31,19227
2011-04-30,12009
2011-05-31,10711
2011-06-30,10646
2011-07-31,9785
2011-08-31,9977
2011-09-30,9293
2011-10-31,11127
2011-11-30,12115
2011-12-31,9536
2012-01-31,11384
2012-02-29,13016
2012-03-31,17382
2012-04-30,13224
2012-05-31,14612
2012-06-30,11766
2012-07-31,23852
2012-08-31,11005
2012-09-30,12054
2012-10-31,13652
2012-11-30,13684
2012-12-31,11956
2013-01-31,14790
2013-02-28,14221
2013-03-31,28214
2013-04-30,16431
2013-05-31,14905
2013-06-30,13634
2013-07-31,11828
2013-08-31,12475
2013-09-30,12386
2013-10-31,27996
2013-11-30,13960
2013-12-31,14757
2014-01-31,11237
2014-02-28,11487
2014-03-31,21172
2014-04-30,11629
2014-05-31,12221
2014-06-30,11600
2014-07-31,10379
2014-08-31,9372
2014-09-30,11379
2014-10-31,11311
2014-11-30,10515
2014-12-31,10218
2015-01-31,11349
2015-02-28,11602
2015-03-31,19201
