,pageviews
2007-12-20,31
2007-12-21,21
2007-12-22,31
2007-12-23,19
2007-12-24,30
2007-12-25,24
2007-12-26,33
2007-12-27,31
2007-12-28,24
2007-12-29,20
2007-12-19,49
2007-12-18,41
2007-12-31,34
2007-12-30,26
2007-12-15,31
2007-12-14,51
2007-12-17,26
2007-12-16,31
2007-12-11,37
2007-12-10,51
2007-12-13,51
2007-12-12,42
2008-01-30,36
2008-01-16,50
2008-01-17,54
2008-01-14,52
2008-01-15,49
2008-01-12,37
2008-01-13,45
2008-01-10,53
2008-01-11,31
2008-01-18,32
2008-01-19,39
2008-01-29,55
2008-01-28,44
2008-01-27,29
2008-01-26,42
2008-01-25,50
2008-01-24,57
2008-01-23,39
2008-01-22,54
2008-01-21,41
2008-01-20,38
2008-01-05,29
2008-01-04,40
2008-01-07,38
2008-01-06,31
2008-01-01,27
2008-01-03,37
2008-01-02,50
2008-01-09,53
2008-01-08,37
2008-02-28,0
2008-02-26,34
2008-02-29,42
2008-02-01,35
2008-02-02,27
2008-02-03,37
2008-02-04,59
2008-02-05,70
2008-02-06,47
2008-02-07,43
2008-02-08,28
2008-02-09,33
2008-02-24,39
2008-02-25,47
2008-02-22,20
2008-02-23,31
2008-02-20,63
2008-02-21,51
2008-02-27,47
2008-02-17,47
2008-02-16,33
2008-02-15,43
2008-02-14,46
2008-02-13,45
2008-02-12,45
2008-02-11,35
2008-02-10,32
2008-02-19,41
2008-02-18,37
2008-03-14,60
2008-03-15,38
2008-03-16,47
2008-03-17,36
2008-03-10,53
2008-03-11,44
2008-03-12,51
2008-03-13,39
2008-03-18,64
2008-03-19,44
2008-03-30,36
2008-03-09,32
2008-03-31,51
2008-03-03,0
2008-03-02,48
2008-03-01,0
2008-03-07,39
2008-03-06,52
2008-03-05,50
2008-03-04,0
2008-03-21,34
2008-03-20,35
2008-03-23,29
2008-03-22,36
2008-03-25,43
2008-03-24,33
2008-03-27,56
2008-03-26,49
2008-03-29,32
2008-03-28,43
2008-03-08,32
2008-04-30,43
2008-04-15,51
2008-04-14,43
2008-04-17,64
2008-04-16,54
2008-04-11,42
2008-04-10,40
2008-04-13,45
2008-04-12,31
2008-04-19,37
2008-04-18,35
2008-04-28,53
2008-04-29,66
2008-04-20,21
2008-04-21,46
2008-04-22,52
2008-04-23,49
2008-04-24,37
2008-04-25,44
2008-04-26,32
2008-04-27,41
2008-04-06,50
2008-04-07,35
2008-04-04,36
2008-04-05,46
2008-04-02,55
2008-04-03,48
2008-04-01,35
2008-04-08,42
2008-04-09,38
2008-05-12,56
2008-05-13,55
2008-05-10,36
2008-05-11,35
2008-05-16,48
2008-05-31,24
2008-05-14,40
2008-05-15,64
2008-05-18,38
2008-05-19,48
2008-05-29,44
2008-05-28,53
2008-05-23,47
2008-05-22,43
2008-05-21,51
2008-05-20,55
2008-05-27,42
2008-05-26,33
2008-05-25,46
2008-05-24,33
2008-05-01,50
2008-05-03,33
2008-05-02,48
2008-05-05,54
2008-05-04,32
2008-05-07,51
2008-05-06,46
2008-05-09,42
2008-05-08,54
2008-05-17,39
2008-05-30,35
2008-06-21,47
2008-06-27,33
2008-06-24,28
2008-06-25,47
2008-06-13,42
2008-06-12,47
2008-06-11,45
2008-06-10,62
2008-06-17,43
2008-06-16,32
2008-06-15,31
2008-06-14,29
2008-06-30,28
2008-06-19,48
2008-06-18,54
2008-06-28,31
2008-06-29,46
2008-06-08,44
2008-06-09,37
2008-06-04,38
2008-06-05,48
2008-06-06,80
2008-06-07,45
2008-06-26,46
2008-06-01,0
2008-06-02,0
2008-06-03,41
2008-06-22,33
2008-06-23,38
2008-06-20,41
2008-07-10,37
2008-07-11,39
2008-07-12,27
2008-07-07,33
2008-07-06,24
2008-07-05,31
2008-07-04,34
2008-07-03,28
2008-07-02,39
2008-07-09,38
2008-07-08,42
2008-08-04,24
2008-08-31,25
2008-08-30,22
2008-08-11,29
2008-08-10,34
2008-08-13,37
2008-08-12,33
2008-08-15,34
2008-08-14,29
2008-08-17,26
2008-08-16,22
2008-08-19,52
2008-08-18,51
2008-08-05,41
2008-08-02,30
2008-08-03,25
2008-08-26,60
2008-08-01,36
2008-08-06,20
2008-08-21,41
2008-08-22,43
2008-08-23,29
2008-08-08,29
2008-08-09,19
2008-08-28,44
2008-08-29,34
2008-08-24,24
2008-08-25,38
2008-08-27,46
2008-08-20,33
2008-08-07,33
2008-09-02,35
2008-09-27,35
2008-09-26,31
2008-09-25,44
2008-09-24,57
2008-09-09,59
2008-09-22,55
2008-09-21,41
2008-09-20,35
2008-09-05,61
2008-09-23,40
2008-09-07,53
2008-09-06,32
2008-09-01,43
2008-09-03,63
2008-09-28,36
2008-09-08,72
2008-09-04,57
2008-09-30,48
2008-09-29,47
2008-09-18,43
2008-09-19,52
2008-09-16,45
2008-09-17,45
2008-09-14,51
2008-09-15,44
2008-09-12,28
2008-09-13,31
2008-09-10,52
2008-09-11,55
2008-10-09,36
2008-10-08,49
2008-10-03,43
2008-10-02,47
2008-10-01,50
2008-10-07,59
2008-10-06,40
2008-10-05,40
2008-10-04,36
2008-10-21,0
2008-10-20,44
2008-10-23,44
2008-10-22,0
2008-10-25,31
2008-10-24,40
2008-10-27,46
2008-10-26,36
2008-10-29,49
2008-10-28,28
2008-10-30,29
2008-10-31,33
2008-10-14,34
2008-10-15,52
2008-10-16,36
2008-10-17,43
2008-10-10,44
2008-10-11,36
2008-10-12,33
2008-10-13,41
2008-10-18,39
2008-10-19,38
2008-11-28,22
2008-11-07,36
2008-11-17,49
2008-11-16,30
2008-11-15,44
2008-11-14,48
2008-11-13,49
2008-11-12,51
2008-11-11,45
2008-11-10,28
2008-11-30,32
2008-11-19,43
2008-11-18,40
2008-11-26,48
2008-11-01,42
2008-11-02,33
2008-11-03,41
2008-11-04,39
2008-11-05,33
2008-11-06,31
2008-11-29,30
2008-11-08,45
2008-11-27,31
2008-11-24,27
2008-11-25,36
2008-11-22,37
2008-11-23,44
2008-11-20,31
2008-11-21,35
2008-11-09,30
2008-12-29,27
2008-12-28,33
2008-12-27,19
2008-12-26,28
2008-12-25,25
2008-12-24,28
2008-12-23,41
2008-12-22,34
2008-12-21,27
2008-12-20,26
2008-12-05,33
2008-12-04,37
2008-12-07,36
2008-12-06,28
2008-12-01,34
2008-12-03,36
2008-12-02,54
2008-12-09,32
2008-12-08,36
2008-12-30,38
2008-12-31,37
2008-12-16,22
2008-12-17,22
2008-12-14,24
2008-12-15,34
2008-12-12,20
2008-12-13,39
2008-12-10,30
2008-12-11,41
2008-12-18,31
2008-12-19,18
2009-01-29,41
2009-01-19,34
2009-01-18,23
2009-01-13,48
2009-01-12,35
2009-01-11,40
2009-01-10,41
2009-01-17,21
2009-01-16,36
2009-01-15,34
2009-01-14,55
2009-01-31,31
2009-01-30,26
2009-01-24,22
2009-01-22,34
2009-01-23,41
2009-01-20,35
2009-01-21,34
2009-01-27,39
2009-01-04,31
2009-01-05,37
2009-01-06,34
2009-01-07,40
2009-01-26,28
2009-01-01,41
2009-01-02,22
2009-01-25,30
2009-01-28,33
2009-01-03,37
2009-01-08,25
2009-01-09,47
2009-02-23,56
2009-02-08,28
2009-02-09,31
2009-02-22,34
2009-02-21,33
2009-02-20,54
2009-02-27,46
2009-02-26,54
2009-02-25,51
2009-02-24,53
2009-02-01,30
2009-02-03,41
2009-02-02,45
2009-02-05,29
2009-02-04,38
2009-02-07,40
2009-02-06,30
2009-02-28,46
2009-02-18,33
2009-02-19,34
2009-02-12,37
2009-02-13,41
2009-02-10,36
2009-02-11,48
2009-02-16,44
2009-02-17,58
2009-02-14,23
2009-02-15,27
2009-03-19,52
2009-03-18,42
2009-03-31,53
2009-03-30,43
2009-03-15,36
2009-03-14,28
2009-03-17,43
2009-03-16,41
2009-03-11,40
2009-03-10,49
2009-03-13,39
2009-03-12,48
2009-03-26,29
2009-03-27,35
2009-03-28,28
2009-03-29,41
2009-03-20,24
2009-03-21,32
2009-03-22,23
2009-03-23,44
2009-03-24,48
2009-03-25,55
2009-03-08,38
2009-03-09,48
2009-03-06,38
2009-03-07,32
2009-03-04,53
2009-03-05,40
2009-03-02,67
2009-03-03,57
2009-03-01,33
2009-04-09,29
2009-04-18,24
2009-04-19,28
2009-04-14,55
2009-04-15,46
2009-04-30,44
2009-04-17,38
2009-04-10,38
2009-04-11,36
2009-04-12,40
2009-04-13,44
2009-04-16,37
2009-04-03,25
2009-04-02,50
2009-04-01,67
2009-04-07,45
2009-04-06,46
2009-04-05,31
2009-04-04,33
