,pageviews
2007-12-10,25.0
2007-12-17,116.0
2007-12-24,89.0
2007-12-31,72.0
2008-01-07,115.0
2008-01-14,110.0
2008-01-21,99.0
2008-01-28,130.0
2008-02-04,116.0
2008-02-11,150.0
2008-02-18,143.0
2008-02-25,137.0
2008-03-03,83.0
2008-03-10,160.0
2008-03-17,137.0
2008-03-24,130.0
2008-03-31,124.0
2008-04-07,164.0
2008-04-14,190.0
2008-04-21,158.0
2008-04-28,150.0
2008-05-05,156.0
2008-05-12,170.0
2008-05-19,161.0
2008-05-26,163.0
2008-06-02,196.0
2008-06-09,202.0
2008-06-16,180.0
2008-06-23,150.0
2008-06-30,182.0
2008-07-07,121.0
2008-07-14,92.0
2008-07-21,
2008-07-28,
2008-08-04,63.0
2008-08-11,167.0
2008-08-18,141.0
2008-08-25,178.0
2008-09-01,149.0
2008-09-08,136.0
2008-09-15,153.0
2008-09-22,181.0
2008-09-29,179.0
2008-10-06,195.0
2008-10-13,212.0
2008-10-20,201.0
2008-10-27,157.0
2008-11-03,212.0
2008-11-10,185.0
2008-11-17,187.0
2008-11-24,183.0
2008-12-01,191.0
2008-12-08,177.0
2008-12-15,150.0
2008-12-22,196.0
2008-12-29,110.0
2009-01-05,136.0
2009-01-12,180.0
2009-01-19,168.0
2009-01-26,177.0
2009-02-02,191.0
2009-02-09,170.0
2009-02-16,180.0
2009-02-23,186.0
2009-03-02,257.0
2009-03-09,201.0
2009-03-16,174.0
2009-03-23,200.0
2009-03-30,236.0
2009-04-06,208.0
2009-04-13,206.0
2009-04-20,176.0
2009-04-27,172.0
2009-05-04,161.0
2009-05-11,155.0
2009-05-18,164.0
2009-05-25,202.0
2009-06-01,164.0
2009-06-08,155.0
2009-06-15,159.0
2009-06-22,157.0
2009-06-29,182.0
2009-07-06,149.0
2009-07-13,150.0
2009-07-20,148.0
2009-07-27,171.0
2009-08-03,127.0
2009-08-10,133.0
2009-08-17,142.0
2009-08-24,112.0
2009-08-31,119.0
2009-09-07,154.0
2009-09-14,139.0
2009-09-21,132.0
2009-09-28,52.0
2009-10-05,128.0
2009-10-12,156.0
2009-10-19,75.0
2009-10-26,163.0
2009-11-02,151.0
2009-11-09,188.0
2009-11-16,130.0
2009-11-23,148.0
2009-11-30,135.0
