,pageviews
2007-12-20,871
2007-12-21,613
2007-12-22,432
2007-12-23,387
2007-12-24,383
2007-12-25,318
2007-12-26,499
2007-12-27,459
2007-12-28,520
2007-12-29,461
2007-12-19,872
2007-12-18,912
2007-12-31,493
2007-12-30,482
2007-12-15,616
2007-12-14,1036
2007-12-17,953
2007-12-16,751
2007-12-11,1428
2007-12-10,1327
2007-12-13,1215
2007-12-12,1345
2008-01-30,1659
2008-01-16,1356
2008-01-17,1344
2008-01-14,1347
2008-01-15,1375
2008-01-12,666
2008-01-13,900
2008-01-10,1156
2008-01-11,975
2008-01-18,1183
2008-01-19,799
2008-01-29,1701
2008-01-28,1575
2008-01-27,1061
2008-01-26,720
2008-01-25,1241
2008-01-24,1455
2008-01-23,1491
2008-01-22,1461
2008-01-21,1206
2008-01-20,1002
2008-01-05,669
2008-01-04,835
2008-01-07,1069
2008-01-06,753
2008-01-01,502
2008-01-03,917
2008-01-02,801
2008-01-09,1264
2008-01-08,1128
2008-02-28,0
2008-02-26,1699
2008-02-29,1228
2008-02-01,1216
2008-02-02,953
2008-02-03,1230
2008-02-04,1551
2008-02-05,1731
2008-02-06,1750
2008-02-07,1541
2008-02-08,1285
2008-02-09,825
2008-02-24,1113
2008-02-25,1511
2008-02-22,1313
2008-02-23,823
2008-02-20,1521
2008-02-21,1477
2008-02-27,1659
2008-02-17,906
2008-02-16,711
2008-02-15,1190
2008-02-14,1448
2008-02-13,1502
2008-02-12,1723
2008-02-11,1744
2008-02-10,1076
2008-02-19,1588
2008-02-18,1363
2008-03-14,1275
2008-03-15,689
2008-03-16,1073
2008-03-17,1315
2008-03-10,1627
2008-03-11,1551
2008-03-12,1581
2008-03-13,1540
2008-03-18,1234
2008-03-19,1815
2008-03-30,1005
2008-03-09,1211
2008-03-31,1340
2008-03-03,0
2008-03-02,1099
2008-03-01,0
2008-03-07,1317
2008-03-06,1533
2008-03-05,1543
2008-03-04,0
2008-03-21,926
2008-03-20,1239
2008-03-23,753
2008-03-22,701
2008-03-25,1411
2008-03-24,1125
2008-03-27,1383
2008-03-26,1284
2008-03-29,871
2008-03-28,1141
2008-03-08,808
2008-04-30,1612
2008-04-15,1655
2008-04-14,1662
2008-04-17,1649
2008-04-16,1570
2008-04-11,1324
2008-04-10,1569
2008-04-13,1096
2008-04-12,833
2008-04-19,792
2008-04-18,1205
2008-04-28,1643
2008-04-29,1693
2008-04-20,1069
2008-04-21,1713
2008-04-22,1664
2008-04-23,1501
2008-04-24,1562
2008-04-25,1240
2008-04-26,718
2008-04-27,1034
2008-04-06,1069
2008-04-07,1728
2008-04-04,1315
2008-04-05,739
