,pageviews
2007-12-31,1528
2008-01-31,2836
2008-02-29,2605
2008-03-31,2374
2008-04-30,2417
2008-05-31,2860
2008-06-30,2435
2008-07-31,600
2008-08-31,1700
2008-09-30,2422
2008-10-31,2437
2008-11-30,2740
2008-12-31,2494
2009-01-31,3523
2009-02-28,2720
2009-03-31,2927
2009-04-30,2531
2009-05-31,3074
2009-06-30,3163
2009-07-31,2236
2009-08-31,2196
2009-09-30,2975
2009-10-31,3775
2009-11-30,3207
2009-12-31,2871
2010-01-31,4311
2010-02-28,3294
2010-03-31,3947
2010-04-30,3923
2010-05-31,4185
2010-06-30,3266
2010-07-31,2781
2010-08-31,4545
2010-09-30,6078
2010-10-31,6048
2010-11-30,5470
2010-12-31,5306
2011-01-31,5658
2011-02-28,6118
2011-03-31,5170
2011-04-30,4182
2011-05-31,5308
2011-06-30,5101
2011-07-31,4334
2011-08-31,5091
2011-09-30,4478
2011-10-31,5244
2011-11-30,5506
2011-12-31,4511
2012-01-31,5784
2012-02-29,6151
2012-03-31,5425
2012-04-30,5183
2012-05-31,5998
2012-06-30,5949
2012-07-31,5459
2012-08-31,5455
2012-09-30,6163
2012-10-31,7049
2012-11-30,5818
2012-12-31,5177
2013-01-31,6089
2013-02-28,5581
2013-03-31,6069
2013-04-30,6142
2013-05-31,6744
2013-06-30,6949
2013-07-31,6064
2013-08-31,6200
2013-09-30,5952
2013-10-31,5728
2013-11-30,5400
2013-12-31,4706
2014-01-31,5374
2014-02-28,5653
2014-03-31,5950
2014-04-30,5916
2014-05-31,6262
2014-06-30,6147
2014-07-31,6921
2014-08-31,6861
2014-09-30,7418
2014-10-31,6849
2014-11-30,6247
2014-12-31,5397
2015-01-31,6002
2015-02-28,5567
2015-03-31,4679
