,pageviews
2007-12-10,77.0
2007-12-17,383.0
2007-12-24,310.0
2007-12-31,196.0
2008-01-07,352.0
2008-01-14,440.0
2008-01-21,486.0
2008-01-28,452.0
2008-02-04,423.0
2008-02-11,480.0
2008-02-18,475.0
2008-02-25,493.0
2008-03-03,350.0
2008-03-10,516.0
2008-03-17,532.0
2008-03-24,485.0
2008-03-31,504.0
2008-04-07,502.0
2008-04-14,545.0
2008-04-21,506.0
2008-04-28,481.0
2008-05-05,461.0
2008-05-12,467.0
2008-05-19,551.0
2008-05-26,430.0
2008-06-02,304.0
2008-06-09,474.0
2008-06-16,367.0
2008-06-23,444.0
2008-06-30,432.0
2008-07-07,282.0
2008-07-14,264.0
2008-07-21,
2008-07-28,
2008-08-04,161.0
2008-08-11,295.0
2008-08-18,289.0
2008-08-25,319.0
2008-09-01,334.0
2008-09-08,465.0
2008-09-15,524.0
2008-09-22,529.0
2008-09-29,500.0
2008-10-06,447.0
2008-10-13,607.0
2008-10-20,563.0
2008-10-27,346.0
2008-11-03,466.0
2008-11-10,451.0
2008-11-17,447.0
2008-11-24,446.0
2008-12-01,443.0
2008-12-08,399.0
2008-12-15,390.0
2008-12-22,311.0
2008-12-29,237.0
2009-01-05,324.0
2009-01-12,402.0
2009-01-19,412.0
2009-01-26,396.0
2009-02-02,440.0
2009-02-09,461.0
2009-02-16,508.0
2009-02-23,425.0
2009-03-02,688.0
2009-03-09,654.0
2009-03-16,538.0
2009-03-23,439.0
2009-03-30,442.0
2009-04-06,524.0
2009-04-13,492.0
2009-04-20,570.0
2009-04-27,466.0
2009-05-04,479.0
2009-05-11,512.0
2009-05-18,525.0
2009-05-25,447.0
2009-06-01,406.0
2009-06-08,319.0
2009-06-15,331.0
2009-06-22,303.0
2009-06-29,264.0
2009-07-06,306.0
2009-07-13,311.0
2009-07-20,293.0
2009-07-27,384.0
2009-08-03,351.0
2009-08-10,325.0
2009-08-17,382.0
2009-08-24,337.0
2009-08-31,451.0
2009-09-07,444.0
2009-09-14,563.0
2009-09-21,449.0
2009-09-28,138.0
2009-10-05,565.0
2009-10-12,535.0
2009-10-19,362.0
2009-10-26,645.0
2009-11-02,642.0
2009-11-09,666.0
2009-11-16,583.0
2009-11-23,528.0
2009-11-30,482.0
2009-12-07,527.0
2009-12-14,525.0
2009-12-21,372.0
2009-12-28,293.0
2010-01-04,400.0
2010-01-11,484.0
2010-01-18,587.0
2010-01-25,496.0
2010-02-01,559.0
2010-02-08,501.0
2010-02-15,570.0
2010-02-22,663.0
2010-03-01,542.0
2010-03-08,632.0
2010-03-15,642.0
2010-03-22,694.0
2010-03-29,683.0
2010-04-05,613.0
2010-04-12,637.0
