,pageviews
2007-12-31,33380
2008-01-31,70881
2008-02-29,71256
2008-03-31,68806
2008-04-30,83935
2008-05-31,97418
2008-06-30,105046
2008-07-31,25251
2008-08-31,79778
2008-09-30,106507
2008-10-31,96319
2008-11-30,100853
2008-12-31,74235
2009-01-31,97121
2009-02-28,96764
2009-03-31,101652
2009-04-30,88816
2009-05-31,102966
2009-06-30,112792
2009-07-31,78183
2009-08-31,87847
2009-09-30,90096
2009-10-31,98897
2009-11-30,102950
2009-12-31,76689
2010-01-31,96808
2010-02-28,85039
2010-03-31,97456
2010-04-30,87118
2010-05-31,92892
2010-06-30,89537
2010-07-31,61110
2010-08-31,108442
2010-09-30,122465
2010-10-31,148440
2010-11-30,127186
2010-12-31,96894
2011-01-31,121987
2011-02-28,90721
2011-03-31,94654
2011-04-30,79716
2011-05-31,98569
2011-06-30,117650
2011-07-31,77992
2011-08-31,84560
2011-09-30,81027
2011-10-31,92856
2011-11-30,107923
2011-12-31,74011
2012-01-31,101111
2012-02-29,96646
2012-03-31,90043
2012-04-30,76190
2012-05-31,110327
2012-06-30,147004
2012-07-31,102377
2012-08-31,107500
2012-09-30,121255
2012-10-31,119595
2012-11-30,126360
2012-12-31,91266
2013-01-31,119736
2013-02-28,109870
2013-03-31,109027
2013-04-30,113897
2013-05-31,128376
2013-06-30,143571
2013-07-31,82136
2013-08-31,84337
2013-09-30,76431
2013-10-31,96425
2013-11-30,101720
2013-12-31,67277
2014-01-31,57081
2014-02-28,55917
2014-03-31,60702
2014-04-30,53903
2014-05-31,61190
2014-06-30,70828
2014-07-31,46972
2014-08-31,50216
2014-09-30,55558
2014-10-31,52551
2014-11-30,54645
2014-12-31,44492
2015-01-31,46238
2015-02-28,54825
2015-03-31,38030
