,pageviews
2007-12-10,55.0
2007-12-17,364.0
2007-12-24,312.0
2007-12-31,236.0
2008-01-07,304.0
2008-01-14,323.0
2008-01-21,387.0
2008-01-28,424.0
2008-02-04,379.0
2008-02-11,480.0
2008-02-18,385.0
2008-02-25,455.0
2008-03-03,278.0
2008-03-10,438.0
2008-03-17,438.0
2008-03-24,406.0
2008-03-31,438.0
2008-04-07,433.0
2008-04-14,403.0
2008-04-21,477.0
2008-04-28,425.0
2008-05-05,658.0
2008-05-12,568.0
2008-05-19,453.0
2008-05-26,443.0
2008-06-02,288.0
2008-06-09,339.0
2008-06-16,410.0
2008-06-23,297.0
2008-06-30,318.0
2008-07-07,286.0
2008-07-14,233.0
2008-07-21,
2008-07-28,
2008-08-04,241.0
2008-08-11,254.0
2008-08-18,254.0
2008-08-25,305.0
2008-09-01,287.0
2008-09-08,282.0
2008-09-15,277.0
2008-09-22,296.0
2008-09-29,297.0
2008-10-06,293.0
2008-10-13,364.0
2008-10-20,356.0
2008-10-27,213.0
2008-11-03,310.0
2008-11-10,319.0
2008-11-17,272.0
2008-11-24,350.0
2008-12-01,345.0
2008-12-08,361.0
2008-12-15,351.0
2008-12-22,310.0
2008-12-29,269.0
2009-01-05,242.0
2009-01-12,353.0
2009-01-19,305.0
2009-01-26,337.0
2009-02-02,297.0
2009-02-09,314.0
2009-02-16,388.0
2009-02-23,394.0
2009-03-02,308.0
2009-03-09,387.0
2009-03-16,337.0
2009-03-23,365.0
2009-03-30,321.0
2009-04-06,334.0
2009-04-13,353.0
2009-04-20,333.0
2009-04-27,412.0
2009-05-04,353.0
2009-05-11,464.0
2009-05-18,401.0
2009-05-25,388.0
2009-06-01,430.0
2009-06-08,368.0
2009-06-15,288.0
2009-06-22,352.0
2009-06-29,310.0
2009-07-06,237.0
2009-07-13,244.0
2009-07-20,312.0
2009-07-27,318.0
2009-08-03,359.0
2009-08-10,307.0
2009-08-17,250.0
2009-08-24,299.0
2009-08-31,267.0
2009-09-07,340.0
2009-09-14,311.0
2009-09-21,279.0
2009-09-28,84.0
2009-10-05,334.0
2009-10-12,293.0
2009-10-19,156.0
2009-10-26,358.0
2009-11-02,416.0
2009-11-09,429.0
2009-11-16,291.0
2009-11-23,302.0
2009-11-30,294.0
2009-12-07,266.0
2009-12-14,244.0
2009-12-21,234.0
2009-12-28,241.0
2010-01-04,283.0
2010-01-11,261.0
2010-01-18,235.0
2010-01-25,257.0
2010-02-01,376.0
2010-02-08,348.0
2010-02-15,351.0
2010-02-22,454.0
2010-03-01,328.0
2010-03-08,428.0
2010-03-15,744.0
2010-03-22,667.0
2010-03-29,703.0
2010-04-05,653.0
2010-04-12,604.0
2010-04-19,780.0
2010-04-26,716.0
2010-05-03,716.0
2010-05-10,727.0
2010-05-17,703.0
2010-05-24,665.0
2010-05-31,644.0
2010-06-07,616.0
2010-06-14,363.0
2010-06-21,504.0
2010-06-28,255.0
2010-07-05,454.0
2010-07-12,181.0
2010-07-19,437.0
