,pageviews
2007-12-10,34.0
2007-12-17,267.0
2007-12-24,198.0
2007-12-31,158.0
2008-01-07,178.0
2008-01-14,232.0
2008-01-21,243.0
2008-01-28,246.0
2008-02-04,213.0
2008-02-11,264.0
2008-02-18,253.0
2008-02-25,207.0
2008-03-03,150.0
2008-03-10,213.0
2008-03-17,260.0
2008-03-24,208.0
2008-03-31,181.0
2008-04-07,214.0
2008-04-14,224.0
2008-04-21,224.0
2008-04-28,251.0
2008-05-05,241.0
2008-05-12,244.0
2008-05-19,262.0
2008-05-26,245.0
2008-06-02,168.0
2008-06-09,206.0
2008-06-16,220.0
2008-06-23,168.0
2008-06-30,233.0
2008-07-07,135.0
2008-07-14,140.0
2008-07-21,
2008-07-28,
2008-08-04,109.0
2008-08-11,145.0
2008-08-18,159.0
2008-08-25,156.0
2008-09-01,148.0
2008-09-08,172.0
2008-09-15,175.0
2008-09-22,209.0
2008-09-29,224.0
2008-10-06,166.0
2008-10-13,191.0
2008-10-20,218.0
2008-10-27,164.0
2008-11-03,221.0
2008-11-10,201.0
2008-11-17,173.0
2008-11-24,220.0
2008-12-01,184.0
2008-12-08,243.0
2008-12-15,197.0
2008-12-22,211.0
2008-12-29,170.0
2009-01-05,168.0
2009-01-12,166.0
2009-01-19,187.0
2009-01-26,223.0
2009-02-02,199.0
2009-02-09,217.0
2009-02-16,239.0
2009-02-23,229.0
2009-03-02,294.0
2009-03-09,259.0
2009-03-16,325.0
2009-03-23,338.0
2009-03-30,226.0
2009-04-06,228.0
2009-04-13,243.0
2009-04-20,210.0
2009-04-27,234.0
2009-05-04,221.0
2009-05-11,238.0
2009-05-18,279.0
2009-05-25,224.0
2009-06-01,221.0
2009-06-08,226.0
2009-06-15,209.0
2009-06-22,232.0
2009-06-29,208.0
2009-07-06,125.0
2009-07-13,183.0
2009-07-20,254.0
2009-07-27,214.0
2009-08-03,208.0
2009-08-10,187.0
2009-08-17,177.0
2009-08-24,143.0
2009-08-31,178.0
2009-09-07,156.0
2009-09-14,189.0
2009-09-21,177.0
2009-09-28,68.0
2009-10-05,201.0
2009-10-12,212.0
2009-10-19,113.0
2009-10-26,228.0
2009-11-02,236.0
2009-11-09,221.0
2009-11-16,200.0
2009-11-23,193.0
2009-11-30,192.0
2009-12-07,156.0
2009-12-14,192.0
2009-12-21,203.0
2009-12-28,135.0
2010-01-04,135.0
2010-01-11,185.0
2010-01-18,218.0
2010-01-25,139.0
2010-02-01,192.0
2010-02-08,177.0
2010-02-15,270.0
2010-02-22,424.0
2010-03-01,262.0
2010-03-08,214.0
2010-03-15,251.0
2010-03-22,269.0
2010-03-29,241.0
2010-04-05,207.0
2010-04-12,244.0
2010-04-19,248.0
2010-04-26,236.0
2010-05-03,283.0
2010-05-10,222.0
2010-05-17,259.0
2010-05-24,211.0
2010-05-31,230.0
2010-06-07,219.0
2010-06-14,134.0
2010-06-21,198.0
2010-06-28,102.0
2010-07-05,180.0
2010-07-12,48.0
2010-07-19,168.0
2010-07-26,258.0
2010-08-02,230.0
2010-08-09,245.0
2010-08-16,218.0
2010-08-23,252.0
2010-08-30,205.0
2010-09-06,234.0
2010-09-13,243.0
2010-09-20,221.0
2010-09-27,250.0
2010-10-04,259.0
2010-10-11,227.0
2010-10-18,241.0
2010-10-25,244.0
2010-11-01,249.0
2010-11-08,245.0
2010-11-15,233.0
2010-11-22,215.0
2010-11-29,236.0
2010-12-06,234.0
2010-12-13,220.0
2010-12-20,239.0
2010-12-27,178.0
2011-01-03,187.0
2011-01-10,179.0
2011-01-17,237.0
2011-01-24,238.0
2011-01-31,245.0
2011-02-07,227.0
2011-02-14,307.0
2011-02-21,243.0
2011-02-28,230.0
2011-03-07,285.0
2011-03-14,220.0
2011-03-21,194.0
2011-03-28,251.0
2011-04-04,211.0
2011-04-11,240.0
2011-04-18,206.0
2011-04-25,203.0
2011-05-02,254.0
2011-05-09,214.0
2011-05-16,186.0
2011-05-23,179.0
2011-05-30,215.0
2011-06-06,173.0
2011-06-13,159.0
2011-06-20,195.0
2011-06-27,149.0
2011-07-04,177.0
2011-07-11,145.0
2011-07-18,161.0
2011-07-25,191.0
2011-08-01,163.0
2011-08-08,182.0
2011-08-15,173.0
2011-08-22,151.0
2011-08-29,145.0
2011-09-05,141.0
2011-09-12,159.0
2011-09-19,171.0
2011-09-26,166.0
2011-10-03,195.0
2011-10-10,224.0
2011-10-17,177.0
2011-10-24,143.0
2011-10-31,208.0
2011-11-07,225.0
2011-11-14,229.0
2011-11-21,278.0
2011-11-28,291.0
2011-12-05,190.0
2011-12-12,189.0
2011-12-19,288.0
2011-12-26,100.0
2012-01-02,183.0
2012-01-09,233.0
2012-01-16,238.0
2012-01-23,198.0
2012-01-30,231.0
2012-02-06,183.0
2012-02-13,242.0
2012-02-20,222.0
2012-02-27,199.0
2012-03-05,235.0
2012-03-12,206.0
2012-03-19,190.0
2012-03-26,178.0
2012-04-02,212.0
2012-04-09,258.0
2012-04-16,223.0
2012-04-23,190.0
2012-04-30,188.0
2012-05-07,281.0
2012-05-14,196.0
2012-05-21,233.0
2012-05-28,216.0
2012-06-04,224.0
2012-06-11,176.0
2012-06-18,208.0
2012-06-25,188.0
2012-07-02,224.0
2012-07-09,228.0
2012-07-16,190.0
2012-07-23,209.0
2012-07-30,188.0
2012-08-06,214.0
2012-08-13,171.0
2012-08-20,177.0
2012-08-27,159.0
2012-09-03,215.0
2012-09-10,211.0
2012-09-17,206.0
2012-09-24,215.0
2012-10-01,212.0
2012-10-08,222.0
2012-10-15,212.0
2012-10-22,234.0
2012-10-29,230.0
2012-11-05,287.0
2012-11-12,252.0
2012-11-19,255.0
2012-11-26,203.0
2012-12-03,196.0
2012-12-10,183.0
2012-12-17,217.0
2012-12-24,170.0
2012-12-31,202.0
2013-01-07,255.0
2013-01-14,243.0
2013-01-21,231.0
2013-01-28,168.0
2013-02-04,206.0
2013-02-11,185.0
2013-02-18,186.0
2013-02-25,189.0
2013-03-04,213.0
2013-03-11,261.0
2013-03-18,248.0
2013-03-25,231.0
2013-04-01,176.0
2013-04-08,171.0
2013-04-15,152.0
2013-04-22,140.0
2013-04-29,174.0
2013-05-06,158.0
2013-05-13,154.0
2013-05-20,217.0
2013-05-27,221.0
2013-06-03,204.0
2013-06-10,197.0
2013-06-17,205.0
2013-06-24,167.0
2013-07-01,207.0
2013-07-08,174.0
2013-07-15,218.0
2013-07-22,203.0
2013-07-29,151.0
2013-08-05,181.0
2013-08-12,159.0
2013-08-19,156.0
2013-08-26,139.0
2013-09-02,166.0
2013-09-09,176.0
2013-09-16,190.0
2013-09-23,186.0
2013-09-30,152.0
2013-10-07,185.0
2013-10-14,179.0
2013-10-21,166.0
2013-10-28,176.0
2013-11-04,162.0
2013-11-11,224.0
2013-11-18,156.0
2013-11-25,159.0
2013-12-02,172.0
2013-12-09,208.0
2013-12-16,177.0
2013-12-23,130.0
2013-12-30,390.0
2014-01-06,125.0
2014-01-13,187.0
2014-01-20,221.0
2014-01-27,165.0
2014-02-03,173.0
2014-02-10,209.0
2014-02-17,214.0
2014-02-24,226.0
2014-03-03,227.0
2014-03-10,214.0
2014-03-17,588.0
2014-03-24,352.0
2014-03-31,225.0
2014-04-07,194.0
2014-04-14,180.0
2014-04-21,172.0
2014-04-28,203.0
2014-05-05,196.0
2014-05-12,189.0
2014-05-19,178.0
2014-05-26,194.0
2014-06-02,197.0
2014-06-09,171.0
2014-06-16,205.0
2014-06-23,170.0
2014-06-30,155.0
2014-07-07,159.0
2014-07-14,182.0
2014-07-21,183.0
2014-07-28,166.0
2014-08-04,195.0
2014-08-11,144.0
2014-08-18,182.0
2014-08-25,123.0
2014-09-01,120.0
2014-09-08,205.0
2014-09-15,190.0
2014-09-22,175.0
2014-09-29,201.0
2014-10-06,200.0
2014-10-13,222.0
2014-10-20,185.0
2014-10-27,219.0
2014-11-03,213.0
2014-11-10,197.0
2014-11-17,216.0
2014-11-24,222.0
2014-12-01,175.0
2014-12-08,217.0
2014-12-15,157.0
2014-12-22,190.0
2014-12-29,149.0
2015-01-05,185.0
2015-01-12,192.0
2015-01-19,187.0
2015-01-26,205.0
2015-02-02,219.0
2015-02-09,193.0
2015-02-16,222.0
2015-02-23,175.0
2015-03-02,187.0
2015-03-09,237.0
2015-03-16,196.0
2015-03-23,163.0
2015-03-30,66.0
