,revisions
2007-12-31,25.0
2008-01-31,86.0
2008-02-29,40.0
2008-03-31,77.0
2008-04-30,65.0
2008-05-31,54.0
2008-06-30,49.0
2008-07-31,18.0
2008-08-31,19.0
2008-09-30,49.0
2008-10-31,40.0
2008-11-30,38.0
2008-12-31,20.0
2009-01-31,44.0
2009-02-28,76.0
2009-03-31,71.0
2009-04-30,33.0
2009-05-31,51.0
2009-06-30,16.0
2009-07-31,24.0
2009-08-31,22.0
2009-09-30,25.0
2009-10-31,44.0
2009-11-30,21.0
2009-12-31,38.0
2010-01-31,73.0
2010-02-28,60.0
2010-03-31,77.0
2010-04-30,26.0
2010-05-31,17.0
2010-06-30,7.0
2010-07-31,13.0
2010-08-31,11.0
2010-09-30,22.0
2010-10-31,18.0
2010-11-30,29.0
2010-12-31,10.0
2011-01-31,42.0
2011-02-28,45.0
2011-03-31,63.0
2011-04-30,47.0
2011-05-31,26.0
2011-06-30,15.0
2011-07-31,6.0
2011-08-31,14.0
2011-09-30,25.0
2011-10-31,26.0
2011-11-30,36.0
2011-12-31,17.0
2012-01-31,35.0
2012-02-29,49.0
2012-03-31,29.0
2012-04-30,13.0
2012-05-31,38.0
2012-06-30,25.0
2012-07-31,20.0
2012-08-31,21.0
2012-09-30,15.0
2012-10-31,23.0
2012-11-30,50.0
2012-12-31,29.0
2013-01-31,21.0
2013-02-28,20.0
2013-03-31,39.0
2013-04-30,28.0
2013-05-31,6.0
2013-06-30,17.0
2013-07-31,14.0
2013-08-31,22.0
2013-09-30,24.0
2013-10-31,9.0
2013-11-30,21.0
2013-12-31,12.0
2014-01-31,23.0
2014-02-28,11.0
2014-03-31,8.0
2014-04-30,8.0
2014-05-31,15.0
2014-06-30,3.0
2014-07-31,7.0
2014-08-31,5.0
2014-09-30,20.0
2014-10-31,10.0
2014-11-30,5.0
2014-12-31,14.0
2015-01-31,41.0
2015-02-28,20.0
2015-03-31,5.0
