,revisions
2007-12-10,0.0
2007-12-17,2.0
2007-12-24,2.0
2007-12-31,6.0
2008-01-07,6.0
2008-01-14,0.0
2008-01-21,7.0
2008-01-28,3.0
2008-02-04,1.0
2008-02-11,0.0
2008-02-18,5.0
2008-02-25,4.0
2008-03-03,16.0
2008-03-10,7.0
2008-03-17,12.0
2008-03-24,2.0
2008-03-31,6.0
2008-04-07,6.0
2008-04-14,0.0
2008-04-21,9.0
2008-04-28,2.0
2008-05-05,1.0
2008-05-12,1.0
2008-05-19,12.0
2008-05-26,0.0
2008-06-02,1.0
2008-06-09,1.0
2008-06-16,5.0
2008-06-23,1.0
2008-06-30,3.0
2008-07-07,1.0
2008-07-14,1.0
2008-07-21,
2008-07-28,
2008-08-04,3.0
2008-08-11,2.0
2008-08-18,39.0
2008-08-25,2.0
2008-09-01,16.0
2008-09-08,5.0
2008-09-15,9.0
2008-09-22,7.0
2008-09-29,6.0
2008-10-06,2.0
2008-10-13,41.0
2008-10-20,9.0
2008-10-27,128.0
2008-11-03,24.0
2008-11-10,2.0
2008-11-17,10.0
2008-11-24,17.0
2008-12-01,5.0
2008-12-08,4.0
2008-12-15,47.0
2008-12-22,0.0
2008-12-29,4.0
2009-01-05,8.0
2009-01-12,4.0
2009-01-19,10.0
2009-01-26,6.0
2009-02-02,8.0
2009-02-09,4.0
2009-02-16,2.0
2009-02-23,5.0
2009-03-02,10.0
2009-03-09,13.0
2009-03-16,4.0
2009-03-23,12.0
2009-03-30,2.0
2009-04-06,5.0
2009-04-13,2.0
2009-04-20,14.0
2009-04-27,1.0
2009-05-04,2.0
2009-05-11,5.0
2009-05-18,2.0
2009-05-25,3.0
2009-06-01,4.0
2009-06-08,6.0
2009-06-15,4.0
2009-06-22,0.0
2009-06-29,7.0
2009-07-06,1.0
2009-07-13,0.0
2009-07-20,0.0
2009-07-27,10.0
2009-08-03,10.0
2009-08-10,0.0
2009-08-17,0.0
2009-08-24,0.0
2009-08-31,9.0
2009-09-07,6.0
2009-09-14,0.0
2009-09-21,3.0
2009-09-28,5.0
2009-10-05,4.0
2009-10-12,5.0
2009-10-19,8.0
2009-10-26,0.0
2009-11-02,10.0
2009-11-09,2.0
2009-11-16,1.0
2009-11-23,3.0
2009-11-30,3.0
2009-12-07,11.0
2009-12-14,4.0
2009-12-21,9.0
2009-12-28,10.0
2010-01-04,1.0
2010-01-11,7.0
2010-01-18,0.0
2010-01-25,3.0
2010-02-01,3.0
2010-02-08,10.0
2010-02-15,4.0
2010-02-22,2.0
2010-03-01,6.0
2010-03-08,5.0
2010-03-15,4.0
2010-03-22,3.0
2010-03-29,3.0
2010-04-05,7.0
2010-04-12,2.0
2010-04-19,7.0
2010-04-26,0.0
2010-05-03,3.0
2010-05-10,4.0
2010-05-17,0.0
2010-05-24,6.0
2010-05-31,5.0
2010-06-07,2.0
2010-06-14,3.0
2010-06-21,0.0
2010-06-28,2.0
2010-07-05,3.0
2010-07-12,3.0
2010-07-19,7.0
2010-07-26,0.0
2010-08-02,3.0
2010-08-09,0.0
2010-08-16,0.0
2010-08-23,6.0
2010-08-30,0.0
2010-09-06,4.0
2010-09-13,6.0
2010-09-20,8.0
2010-09-27,0.0
2010-10-04,1.0
2010-10-11,2.0
2010-10-18,0.0
2010-10-25,2.0
2010-11-01,4.0
2010-11-08,0.0
2010-11-15,3.0
2010-11-22,0.0
2010-11-29,0.0
2010-12-06,1.0
2010-12-13,4.0
2010-12-20,0.0
2010-12-27,3.0
2011-01-03,3.0
2011-01-10,4.0
2011-01-17,0.0
2011-01-24,2.0
2011-01-31,4.0
2011-02-07,3.0
2011-02-14,3.0
2011-02-21,13.0
2011-02-28,0.0
2011-03-07,0.0
2011-03-14,6.0
2011-03-21,3.0
2011-03-28,0.0
2011-04-04,4.0
2011-04-11,2.0
2011-04-18,0.0
2011-04-25,2.0
2011-05-02,1.0
2011-05-09,5.0
2011-05-16,12.0
2011-05-23,9.0
2011-05-30,0.0
2011-06-06,2.0
2011-06-13,0.0
2011-06-20,1.0
2011-06-27,0.0
2011-07-04,1.0
2011-07-11,0.0
2011-07-18,3.0
2011-07-25,1.0
2011-08-01,7.0
2011-08-08,4.0
2011-08-15,0.0
2011-08-22,1.0
2011-08-29,10.0
2011-09-05,8.0
2011-09-12,11.0
2011-09-19,0.0
2011-09-26,0.0
2011-10-03,13.0
2011-10-10,3.0
2011-10-17,5.0
2011-10-24,4.0
2011-10-31,33.0
2011-11-07,4.0
2011-11-14,5.0
2011-11-21,7.0
2011-11-28,1.0
2011-12-05,3.0
2011-12-12,10.0
2011-12-19,2.0
2011-12-26,0.0
2012-01-02,3.0
2012-01-09,0.0
2012-01-16,0.0
2012-01-23,4.0
2012-01-30,22.0
2012-02-06,9.0
2012-02-13,0.0
2012-02-20,0.0
2012-02-27,6.0
2012-03-05,4.0
2012-03-12,6.0
2012-03-19,5.0
2012-03-26,0.0
2012-04-02,2.0
2012-04-09,0.0
2012-04-16,3.0
2012-04-23,2.0
2012-04-30,19.0
2012-05-07,2.0
2012-05-14,0.0
2012-05-21,15.0
2012-05-28,2.0
2012-06-04,2.0
2012-06-11,0.0
2012-06-18,2.0
2012-06-25,3.0
2012-07-02,0.0
2012-07-09,0.0
2012-07-16,0.0
2012-07-23,0.0
2012-07-30,0.0
2012-08-06,2.0
2012-08-13,1.0
2012-08-20,0.0
2012-08-27,2.0
2012-09-03,0.0
2012-09-10,2.0
2012-09-17,0.0
2012-09-24,0.0
2012-10-01,0.0
2012-10-08,0.0
2012-10-15,5.0
2012-10-22,2.0
2012-10-29,3.0
2012-11-05,0.0
2012-11-12,2.0
2012-11-19,2.0
2012-11-26,8.0
2012-12-03,5.0
2012-12-10,0.0
2012-12-17,2.0
2012-12-24,2.0
2012-12-31,0.0
2013-01-07,0.0
2013-01-14,1.0
2013-01-21,8.0
2013-01-28,0.0
2013-02-04,8.0
2013-02-11,2.0
2013-02-18,4.0
