,revisions
2007-12-10,0.0
2007-12-17,1.0
2007-12-24,1.0
2007-12-31,3.0
2008-01-07,2.0
2008-01-14,4.0
2008-01-21,0.0
2008-01-28,2.0
2008-02-04,0.0
2008-02-11,0.0
2008-02-18,2.0
2008-02-25,3.0
2008-03-03,3.0
2008-03-10,7.0
2008-03-17,8.0
2008-03-24,0.0
2008-03-31,2.0
2008-04-07,3.0
2008-04-14,0.0
2008-04-21,6.0
2008-04-28,2.0
2008-05-05,0.0
2008-05-12,5.0
2008-05-19,4.0
2008-05-26,2.0
2008-06-02,0.0
2008-06-09,0.0
2008-06-16,2.0
2008-06-23,0.0
2008-06-30,0.0
2008-07-07,3.0
2008-07-14,3.0
2008-07-21,
2008-07-28,
2008-08-04,1.0
2008-08-11,0.0
2008-08-18,2.0
2008-08-25,3.0
2008-09-01,0.0
2008-09-08,0.0
2008-09-15,0.0
2008-09-22,2.0
2008-09-29,10.0
2008-10-06,0.0
2008-10-13,3.0
2008-10-20,6.0
2008-10-27,5.0
2008-11-03,4.0
2008-11-10,11.0
2008-11-17,3.0
2008-11-24,1.0
2008-12-01,1.0
2008-12-08,5.0
2008-12-15,0.0
2008-12-22,0.0
2008-12-29,4.0
2009-01-05,5.0
2009-01-12,0.0
2009-01-19,14.0
2009-01-26,4.0
2009-02-02,2.0
2009-02-09,1.0
2009-02-16,0.0
2009-02-23,3.0
2009-03-02,2.0
2009-03-09,2.0
2009-03-16,4.0
2009-03-23,0.0
2009-03-30,2.0
2009-04-06,4.0
2009-04-13,0.0
2009-04-20,12.0
2009-04-27,0.0
2009-05-04,0.0
2009-05-11,0.0
2009-05-18,1.0
2009-05-25,5.0
2009-06-01,2.0
2009-06-08,6.0
2009-06-15,2.0
2009-06-22,1.0
2009-06-29,9.0
2009-07-06,2.0
2009-07-13,0.0
2009-07-20,5.0
2009-07-27,0.0
2009-08-03,0.0
2009-08-10,2.0
2009-08-17,0.0
2009-08-24,1.0
2009-08-31,7.0
2009-09-07,1.0
2009-09-14,1.0
2009-09-21,0.0
2009-09-28,7.0
2009-10-05,2.0
2009-10-12,0.0
2009-10-19,2.0
2009-10-26,5.0
2009-11-02,1.0
2009-11-09,3.0
2009-11-16,4.0
2009-11-23,16.0
2009-11-30,14.0
2009-12-07,2.0
2009-12-14,0.0
2009-12-21,1.0
2009-12-28,0.0
2010-01-04,0.0
2010-01-11,0.0
2010-01-18,1.0
2010-01-25,0.0
2010-02-01,1.0
2010-02-08,1.0
2010-02-15,2.0
2010-02-22,1.0
2010-03-01,1.0
2010-03-08,2.0
2010-03-15,7.0
2010-03-22,0.0
2010-03-29,5.0
2010-04-05,0.0
2010-04-12,4.0
2010-04-19,1.0
2010-04-26,4.0
2010-05-03,2.0
2010-05-10,3.0
2010-05-17,6.0
2010-05-24,2.0
2010-05-31,1.0
2010-06-07,2.0
2010-06-14,2.0
2010-06-21,1.0
2010-06-28,0.0
2010-07-05,3.0
2010-07-12,3.0
2010-07-19,1.0
2010-07-26,7.0
2010-08-02,1.0
2010-08-09,1.0
2010-08-16,1.0
2010-08-23,1.0
2010-08-30,1.0
2010-09-06,0.0
2010-09-13,1.0
2010-09-20,0.0
2010-09-27,0.0
2010-10-04,1.0
2010-10-11,0.0
2010-10-18,4.0
2010-10-25,3.0
2010-11-01,1.0
2010-11-08,0.0
2010-11-15,5.0
2010-11-22,0.0
2010-11-29,0.0
2010-12-06,1.0
2010-12-13,0.0
2010-12-20,2.0
2010-12-27,0.0
2011-01-03,0.0
2011-01-10,0.0
2011-01-17,3.0
2011-01-24,0.0
2011-01-31,1.0
2011-02-07,1.0
2011-02-14,0.0
2011-02-21,7.0
2011-02-28,0.0
2011-03-07,3.0
2011-03-14,4.0
2011-03-21,0.0
2011-03-28,1.0
2011-04-04,0.0
2011-04-11,4.0
2011-04-18,1.0
2011-04-25,2.0
2011-05-02,2.0
2011-05-09,0.0
2011-05-16,3.0
2011-05-23,0.0
2011-05-30,0.0
2011-06-06,5.0
2011-06-13,2.0
2011-06-20,0.0
2011-06-27,1.0
2011-07-04,0.0
2011-07-11,0.0
2011-07-18,0.0
2011-07-25,4.0
2011-08-01,3.0
2011-08-08,0.0
2011-08-15,1.0
2011-08-22,3.0
2011-08-29,2.0
2011-09-05,0.0
2011-09-12,2.0
2011-09-19,1.0
2011-09-26,2.0
2011-10-03,0.0
2011-10-10,1.0
2011-10-17,3.0
2011-10-24,0.0
2011-10-31,3.0
2011-11-07,10.0
2011-11-14,4.0
2011-11-21,2.0
2011-11-28,2.0
2011-12-05,3.0
2011-12-12,2.0
2011-12-19,0.0
2011-12-26,1.0
2012-01-02,0.0
2012-01-09,2.0
2012-01-16,0.0
2012-01-23,2.0
2012-01-30,2.0
2012-02-06,3.0
2012-02-13,0.0
2012-02-20,0.0
2012-02-27,0.0
2012-03-05,2.0
2012-03-12,0.0
2012-03-19,0.0
2012-03-26,2.0
2012-04-02,0.0
2012-04-09,7.0
2012-04-16,0.0
2012-04-23,1.0
2012-04-30,3.0
2012-05-07,2.0
2012-05-14,1.0
2012-05-21,0.0
2012-05-28,1.0
2012-06-04,0.0
2012-06-11,3.0
2012-06-18,1.0
2012-06-25,0.0
2012-07-02,0.0
2012-07-09,0.0
2012-07-16,4.0
2012-07-23,0.0
2012-07-30,0.0
2012-08-06,4.0
2012-08-13,0.0
2012-08-20,0.0
2012-08-27,1.0
2012-09-03,0.0
2012-09-10,2.0
2012-09-17,0.0
2012-09-24,6.0
2012-10-01,0.0
2012-10-08,4.0
2012-10-15,1.0
2012-10-22,0.0
2012-10-29,1.0
2012-11-05,1.0
2012-11-12,0.0
2012-11-19,2.0
2012-11-26,0.0
2012-12-03,1.0
2012-12-10,0.0
2012-12-17,0.0
2012-12-24,2.0
2012-12-31,0.0
2013-01-07,2.0
2013-01-14,6.0
2013-01-21,2.0
2013-01-28,1.0
2013-02-04,0.0
2013-02-11,0.0
2013-02-18,7.0
2013-02-25,5.0
2013-03-04,3.0
2013-03-11,0.0
2013-03-18,1.0
2013-03-25,1.0
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,0.0
2013-04-22,0.0
2013-04-29,7.0
2013-05-06,7.0
2013-05-13,0.0
2013-05-20,1.0
