,revisions
2007-12-31,55.0
2008-01-31,108.0
2008-02-29,85.0
2008-03-31,106.0
2008-04-30,59.0
2008-05-31,59.0
2008-06-30,85.0
2008-07-31,18.0
2008-08-31,39.0
2008-09-30,69.0
2008-10-31,85.0
2008-11-30,83.0
2008-12-31,75.0
2009-01-31,76.0
2009-02-28,99.0
2009-03-31,93.0
2009-04-30,59.0
2009-05-31,34.0
2009-06-30,39.0
2009-07-31,32.0
2009-08-31,27.0
2009-09-30,37.0
2009-10-31,40.0
2009-11-30,66.0
2009-12-31,61.0
2010-01-31,65.0
2010-02-28,82.0
2010-03-31,69.0
2010-04-30,54.0
2010-05-31,80.0
2010-06-30,64.0
2010-07-31,23.0
2010-08-31,33.0
2010-09-30,34.0
2010-10-31,38.0
2010-11-30,63.0
2010-12-31,33.0
2011-01-31,61.0
2011-02-28,64.0
2011-03-31,56.0
2011-04-30,46.0
2011-05-31,35.0
2011-06-30,32.0
2011-07-31,18.0
2011-08-31,28.0
2011-09-30,20.0
2011-10-31,43.0
2011-11-30,31.0
2011-12-31,30.0
2012-01-31,32.0
2012-02-29,35.0
2012-03-31,45.0
2012-04-30,25.0
2012-05-31,24.0
2012-06-30,15.0
2012-07-31,14.0
2012-08-31,18.0
2012-09-30,42.0
2012-10-31,38.0
2012-11-30,15.0
2012-12-31,1.0
2013-01-31,2.0
2013-02-28,19.0
2013-03-31,26.0
2013-04-30,44.0
2013-05-31,13.0
2013-06-30,11.0
2013-07-31,18.0
2013-08-31,18.0
2013-09-30,23.0
2013-10-31,16.0
2013-11-30,28.0
2013-12-31,0.0
2014-01-31,3.0
2014-02-28,3.0
2014-03-31,2.0
2014-04-30,0.0
2014-05-31,4.0
2014-06-30,2.0
2014-07-31,11.0
2014-08-31,3.0
2014-09-30,5.0
2014-10-31,14.0
2014-11-30,12.0
2014-12-31,14.0
2015-01-31,4.0
2015-02-28,0.0
2015-03-31,0.0
