,count,inflections
circuitri,3,circuitries
orthogon,25,orthogonal
galactica,1,Galactica
*luo:,1,*Luo:
|author6=,1,|author6=
four,157,"four, Four"
note_id=10150168632408280|author=pop,1,note_id=10150168632408280|author=Pope
authorit,17,authoritative
==overview==,63,"==Overview==, ==OverView=="
onself,1,onself
oeb,2,OEB
jell-o,1,Jell-O
lorn,2,Lorne
lori,1,Lori
jzzz.info,1,jzzz.info
lore,33,lore
lord,167,"lord, LORD, Lord"
further2,1,further2
//www.love-songs.info,2,//www.love-songs.info
stright,1,stright
965,2,965
===simpl,1,===Simple
"wood,",1,"Wood,"
lumin,23,luminous
delv,1,delved
/sup,1,/sup
interchang,2,"interchangeable, interchangeably"
scholar,23,"scholars, Scholars"
pragma|pragma,2,Pragma|Pragma
polyamori,50,Polyamory
theology|theologian,154,"Theology|theologian, Theology|theologians"
"remains,",1,"remains,"
fantaz,1,fantazing
croatian,2,Croatian
tired,1,tiredness
journal|author=,2,journal|author=
miller,4,Miller
seper,4,"seperated, seperate, seperating"
"clarinette,",1,"Clarinette,"
non-western,2,Non-Western
second,108,"seconds, second, Second"
275,132,275
bacot,1,bacot
pp-semi-protected|small=y,1,pp-semi-protected|small=yes
"nature,",1,"nature,"
nature.,5,nature.
baglione.jpg|right|thumb|200px|,2,baglione.jpg|right|thumb|200px|
gujarati,2,Gujarati
|enlighten,77,|enlightenment
''aijin,12,''aijin
ac'hanout,1,ac'hanout
intellectu,6,"intellectually, intellectual"
hero,2,"heroes, hero"
//www.thefamousquotations.com/subjects/love-and-romance-quotations.htm,4,//www.thefamousquotations.com/subjects/love-and-romance-quotations.htm
culd,1,culd
//www.healthnewsblog.com,27,//www.healthnewsblog.com
suga,1,suga
here,274,"Here, here"
"fire,",9,"fire,"
chine,614,Chinese
lgbt,1,LGBT
ching,2,CHING
kyndal,1,Kyndall
china,123,China
===interperson,59,===Interpersonal
averi,7,AVERY
caru,3,caru
"perspective,",1,"perspective,"
unseemli,10,unseemly
deterior,78,deteriorates
personifi,112,personified
k,163,"K, k"
robin,1,Robin
kidd,1,kidd
unangwa'ta,3,unangwa'ta
ความรัก,24,ความรัก
re-emerg,1,re-emerges
controversi,7,"controversy, controversial, Controversy"
golden,3,Golden
05.,3,05.
960,2,960
ichema,1,ichema
9b,24,9B
unif,13,Unification
upādāna|attach,6,Upādāna|attachment
brought,6,brought
andfwfwfqfqf,1,andfwfwfqfqf
érō,1,érōs
txt,1,txt
//www.bakerpublishinggroup.com/me2/dirmod.asp,4,//www.bakerpublishinggroup.com/ME2/dirmod.asp
unit,99,"United, unite"
adarsh,1,adarsh
"fame,",2,"fame,"
brittani,12,"BRITTANY, Brittany"
spoke,19,spoke
"concept,",2,"concept,"
exhort,3,exhorts
angier,1,Angier
music,150,"music, musical"
9\,1,9\
jpg|right|thumb|200px|,1,jpg|right|thumb|200px|
strike,46,striking
l'histoir,1,l'histoire
friendship-lov,1,friendship-love
until,19,"untill, until"
euphoria|,1,euphoria|
relax,6,"relax, relaxation"
“birth,1,“birth
georgian,2,Georgian
relat,634,"relations, Relations, relation, Related, relational, relates, relating, related"
28hinduism,44,28Hinduism
notic,2,"notices, noticed"
hurt,20,"hurting, HURTS, hurts, hurt"
99,92,99
glass,1,glass
g-spot,4,"G-spot, g-spot"
